batch_size,peak,persistent
1.0,578.5517578125,335.7353515625
2.0,810.759765625,336.57421875
3.0,1048.11083984375,341.35546875
4.0,1275.78662109375,338.818359375
5.0,1507.22705078125,340.28369140625
6.0,1739.8583984375,343.00341796875
7.0,1974.92138671875,342.70751953125
8.0,2206.88037109375,343.80615234375
9.0,2433.70751953125,341.072265625
10.0,2665.0810546875,343.2392578125
11.0,2899.43017578125,345.07666015625
12.0,3127.8447265625,344.96923828125
13.0,3360.67724609375,346.85595703125
14.0,3613.9892578125,348.74951171875
15.0,3834.25244140625,343.62841796875
16.0,4053.38916015625,346.68505859375
17.0,4284.5595703125,347.36962890625
18.0,4518.10302734375,349.77880859375
19.0,4750.2724609375,352.22998046875
20.0,4991.73681640625,348.25146484375
21.0,5211.58544921875,350.4375
22.0,5446.7001953125,349.59619140625
23.0,5675.8388671875,351.34521484375
24.0,5906.8232421875,348.97900390625
25.0,6142.748046875,352.25390625
26.0,6368.81103515625,350.2841796875
27.0,6605.46826171875,354.30908203125
28.0,6848.6904296875,361.4814453125
29.0,7076.8564453125,361.943359375
30.0,7328.486328125,361.9833984375
31.0,7560.7470703125,356.28759765625
32.0,7767.18505859375,358.4248046875
33.0,7998.45068359375,358.6494140625
34.0,8243.587890625,359.158203125
35.0,8475.13037109375,359.01416015625
36.0,8718.37939453125,359.23681640625
37.0,8926.5224609375,362.83203125
38.0,9166.232421875,360.88134765625
39.0,9414.97705078125,363.32080078125
40.0,9651.9560546875,364.6416015625
41.0,9854.4208984375,366.22607421875
42.0,10113.47802734375,365.9833984375
43.0,10337.095703125,365.2236328125
44.0,10579.0244140625,367.61083984375
45.0,10794.8671875,367.53662109375
46.0,11023.8505859375,369.5869140625
47.0,11261.01904296875,371.3642578125
48.0,11494.427734375,371.83740234375
49.0,11711.5576171875,370.68310546875
50.0,11952.51318359375,371.61572265625
51.0,12187.39404296875,373.853515625
52.0,12421.69677734375,377.97412109375
53.0,12666.890625,378.06640625
54.0,12906.23828125,384.0517578125
55.0,13116.96923828125,379.52685546875
56.0,13339.3603515625,382.00634765625
57.0,13591.06396484375,382.95947265625
58.0,13833.15380859375,382.44580078125
59.0,14047.35107421875,378.42529296875
60.0,14274.24951171875,375.81494140625
61.0,14510.34521484375,381.412109375
62.0,14739.37255859375,376.22802734375
63.0,14970.08154296875,380.4775390625
64.0,15193.44482421875,375.9599609375
65.0,15433.78564453125,377.54931640625
66.0,15664.14794921875,378.599609375
67.0,15895.60107421875,376.82177734375
68.0,16138.09423828125,381.09375
69.0,16365.60888671875,378.62060546875
70.0,16587.40380859375,377.42626953125
71.0,16823.27392578125,379.6708984375
72.0,17053.58740234375,378.7587890625
73.0,17281.24609375,379.1337890625
74.0,17515.84521484375,379.56689453125
75.0,17742.7900390625,383.5517578125
76.0,17986.14501953125,382.72900390625
77.0,18211.4248046875,381.44189453125
78.0,18440.271484375,382.8330078125
79.0,18676.96337890625,387.38916015625
80.0,18909.39111328125,385.8662109375
81.0,19141.478515625,388.07958984375
82.0,19371.01708984375,388.05908203125
83.0,19613.796875,391.6357421875
84.0,19836.30419921875,388.6044921875
85.0,20071.39892578125,394.67578125
86.0,20301.14013671875,392.33984375
87.0,20537.62890625,395.740234375
88.0,20761.447265625,391.02099609375
89.0,20998.8193359375,392.0029296875
90.0,21228.36962890625,394.603515625
91.0,21464.625,391.33056640625
92.0,21697.3662109375,390.1123046875
93.0,21920.33837890625,390.603515625
94.0,22155.26611328125,393.45849609375
95.0,22388.4423828125,392.89599609375
96.0,22623.5244140625,394.84033203125
97.0,22852.36328125,394.482421875
98.0,23089.9853515625,394.87158203125
99.0,23310.4521484375,393.62060546875
100.0,23548.2509765625,396.640625
101.0,23779.748046875,395.1904296875
102.0,24011.93505859375,398.912109375
103.0,24251.5302734375,397.47021484375
104.0,24476.8896484375,399.6025390625
105.0,24715.943359375,399.41845703125
106.0,24948.513671875,399.08056640625
107.0,25176.97412109375,400.697265625
108.0,25401.361328125,400.79638671875
109.0,25635.37841796875,401.0361328125
110.0,25868.93017578125,404.97314453125
111.0,26099.294921875,400.89453125
112.0,26335.03662109375,405.525390625
113.0,26572.986328125,405.6875
114.0,26798.22412109375,407.28515625
115.0,27031.79443359375,411.42138671875
116.0,27258.376953125,408.25732421875
117.0,27490.64501953125,409.3193359375
118.0,27719.552734375,412.04736328125
119.0,27959.16064453125,407.98974609375
120.0,28181.15673828125,407.79638671875
121.0,28429.751953125,412.29296875
122.0,28646.0869140625,411.62109375
123.0,28876.26318359375,409.779296875
124.0,29108.953125,410.6591796875
125.0,29351.49609375,413.37060546875
126.0,29568.05859375,410.59619140625
127.0,29810.51025390625,413.3623046875
128.0,30048.396484375,417.87255859375
129.0,30270.5712890625,415.30224609375
130.0,30500.376953125,414.5712890625
131.0,30736.04052734375,418.701171875
132.0,30965.609375,418.6201171875
133.0,31198.91748046875,419.33203125
134.0,31432.04248046875,419.34814453125
135.0,31665.78173828125,420.13818359375
136.0,31902.88671875,419.76416015625
137.0,32131.365234375,419.86669921875
138.0,32358.78857421875,420.56298828125
139.0,32588.9580078125,421.03369140625
140.0,32819.78759765625,421.22705078125
141.0,33059.41162109375,420.28662109375
142.0,33292.3955078125,421.2197265625
143.0,33521.1201171875,422.7744140625
144.0,33748.3837890625,422.07763671875
145.0,33981.80078125,424.44482421875
146.0,34213.57421875,423.46240234375
147.0,34447.88330078125,424.275390625
148.0,34680.1279296875,423.1689453125
149.0,34915.74755859375,426.19677734375
150.0,35146.79931640625,424.4375
151.0,35371.248046875,425.8837890625
152.0,35605.98974609375,425.291015625
153.0,35839.32275390625,429.63671875
154.0,36081.5712890625,425.064453125
155.0,36302.041015625,428.64599609375
156.0,36528.9111328125,427.62841796875
157.0,36765.23292732876,428.72816955377914
158.0,37003.2353515625,428.16357421875
159.0,37228.730351818245,429.70702812685596
160.0,37476.77490234375,430.8447265625
161.0,37700.91015625,430.1455078125
162.0,37923.95665017412,431.1669037126993
163.0,38155.693459391856,431.6512856349746
164.0,38387.42762349247,432.134545920747
165.0,38619.15914247596,432.61668457001645
166.0,38850.88801634235,433.097701582783
167.0,39082.61424509162,433.5775969590466
168.0,39314.33782872377,434.05637069880737
169.0,39546.058767238814,434.5340228020652
170.0,39777.77706063674,435.0105532688201
171.0,40009.49270891755,435.4859620990721
172.0,40241.205712081246,435.9602492928211
173.0,40472.91607012783,436.43341485006727
174.0,40704.623783057286,436.9054587708105
175.0,40936.32885086964,437.37638105505084
176.0,41168.03127356488,437.8461817027883
177.0,41399.731051143,438.3148607140228
178.0,41631.42818360401,438.7824180887544
179.0,41863.122670947894,439.24885382698307
180.0,42094.81451317467,439.71416792870883
181.0,42326.503710284334,440.1783603939317
182.0,42558.19026227688,440.64143122265165
183.0,42789.87416915232,441.10338041486864
184.0,43021.55543091064,441.56420797058274
185.0,43253.234047551836,442.023913889794
186.0,43484.91001907592,442.48249817250223
187.0,43716.5833454829,442.9399608187076
188.0,43948.25402677275,443.3963018284101
189.0,44179.9220629455,443.85152120160967
190.0,44411.58745400112,444.3056189383063
191.0,44643.25019993964,444.7585950385
192.0,44874.91030076104,445.21044950219084
193.0,45106.56775646532,445.66118232937873
194.0,45338.22256705249,446.1107935200637
195.0,45569.87473252255,446.5592830742458
196.0,45801.52425287548,447.0066509919249
197.0,46033.17112811131,447.45289727310114
198.0,46264.81535823002,447.8980219177745
199.0,46496.45694323161,448.34202492594494
200.0,46728.0958831161,448.78490629761245
201.0,46959.73217788347,449.226666032777
202.0,47191.365827533715,449.6673041314387
203.0,47422.99683206685,450.1068205935975
204.0,47654.62519148287,450.5452154192533
205.0,47886.25090578177,450.98248860840624
206.0,48117.87397496357,451.41864016105626
207.0,48349.49439902824,451.8536700772034
208.0,48581.11217797581,452.2875783568476
209.0,48812.72731180626,452.7203649999889
210.0,49044.339800519585,453.15203000662723
211.0,49275.949644115804,453.58257337676275
212.0,49507.55684259491,454.0119951103952
213.0,49739.16139595689,454.4402952075249
214.0,49970.76330420177,454.8674736681516
215.0,50202.36256732953,455.2935304922754
216.0,50433.95918534017,455.7184656798963
217.0,50665.5531582337,456.1422792310143
218.0,50897.14448601012,456.5649711456294
219.0,51128.73316866941,456.9865414237415
220.0,51360.3192062116,457.4069900653508
221.0,51591.90259863666,457.8263170704571
222.0,51823.48334594462,458.2445224390605
223.0,52055.061448135464,458.661606171161
224.0,52286.63690520918,459.0775682667586
225.0,52518.209717165795,459.4924087258533
226.0,52749.77988400529,459.90612754844506
227.0,52981.34740572767,460.31872473453393
228.0,53212.91228233294,460.73020028411986
229.0,53444.47451382109,461.14055419720285
230.0,53676.034100192126,461.54978647378294
231.0,53907.591041446045,461.95789711386016
232.0,54139.14533758286,462.3648861174345
233.0,54370.69698860254,462.7707534845058
234.0,54602.24599450512,463.1754992150743
235.0,54833.79235529058,463.57912330913985
236.0,55065.33607095893,463.98162576670245
237.0,55296.877141510166,464.3830065877622
238.0,55528.41556694428,464.78326577231894
239.0,55759.95134726128,465.1824033203729
240.0,55991.48448246117,465.5804192319239
241.0,56223.01497254394,465.97731350697194
242.0,56454.5428175096,466.37308614551705
243.0,56686.06801735815,466.7677371475593
244.0,56917.590572089575,467.16126651309867
245.0,57149.11048170389,467.55367424213506
246.0,57380.62774620109,467.9449603346685
247.0,57612.142365581174,468.3351247906991
248.0,57843.65433984414,468.7241676102268
249.0,58075.16366898999,469.1120887932516
250.0,58306.67035301874,469.49888833977343
251.0,58538.17439193036,469.88456624979233
252.0,58769.67578572487,470.2691225233084
253.0,59001.174534402264,470.6525571603215
254.0,59232.67063796255,471.0348701608317
255.0,59464.16409640571,471.41606152483894
256.0,59695.65490973176,471.79613125234334
