batch_size,peak,persistent
1.0,164.69257813413037,136.98429289318352
2.0,186.03604615160145,137.55034897748249
3.0,207.3794832935326,138.11650670155842
4.0,228.72288955992383,138.68276606541139
5.0,250.06626495077518,139.24912706904135
6.0,271.4096094660865,139.81558971244831
7.0,292.75292310585803,140.38215399563228
8.0,314.09620587008965,140.94881991859327
9.0,335.4394577587813,141.51558748133124
10.0,356.7826787719331,142.08245668384623
11.0,378.1258689095449,142.64942752613823
12.0,399.4690281716168,143.21650000820722
13.0,420.81215655814884,143.7836741300532
14.0,442.1552540691409,144.3509498916762
15.0,463.4983207045931,144.91832729307623
16.0,486.1806640625,144.50439453125
17.0,506.18436134887764,146.05338701520725
18.0,527.5273353577102,146.62106933593827
19.0,548.8702784910026,147.1888532964463
20.0,570.2131907487553,147.75673889673135
21.0,591.556072130968,148.32472613679337
22.0,612.8989226376407,148.8928150166324
23.0,634.2417422687736,149.46100553624845
24.0,655.5845310243665,150.0292976956415
25.0,676.9272889044195,150.59769149481156
26.0,698.2700159089326,151.1661869337586
27.0,719.6127120379059,151.7347840124827
28.0,740.9553772913391,152.30348273098375
29.0,762.2980116692324,152.87228308926183
30.0,783.640615171586,153.44118508731688
31.0,804.9831877983994,154.01018872514896
32.0,827.14794921875,155.1123046875
33.0,847.6682404254068,155.14850092014416
34.0,869.0107204256005,155.71780947730724
35.0,890.3531695502544,156.28721967424735
36.0,911.6955877993685,156.85673151096444
37.0,933.0379751729424,157.42634498745855
38.0,954.3803316709766,157.99606010372966
39.0,975.7226572934708,158.56587685977777
40.0,997.0649520404252,159.1357952556029
41.0,1018.4072159118394,159.70581529120503
42.0,1039.749448907714,160.27593696658414
43.0,1061.0916510280485,160.84616028174028
44.0,1082.4338222728431,161.41648523667342
45.0,1103.775962642098,161.98691183138357
46.0,1125.1180721358128,162.5574400658707
47.0,1146.4601507539876,163.12806994013488
48.0,1166.365234375,164.23583984375
49.0,1189.1442153637176,164.2696346079942
50.0,1210.4862013552727,164.84056940158936
51.0,1231.8281564712881,165.41160583496153
52.0,1253.1700807117634,165.9827439081107
53.0,1274.5119740766986,166.55398362103688
54.0,1295.8538365660943,167.12532497374008
55.0,1317.1956681799497,167.69676796622025
56.0,1338.5374689182654,168.26831259847745
57.0,1359.8792387810413,168.83995887051165
58.0,1381.220977768277,169.41170678232285
59.0,1402.5626858799728,169.98355633391105
60.0,1423.9043631161292,170.55550752527628
61.0,1445.246009476745,171.12756035641848
62.0,1466.5876249618211,171.69971482733771
63.0,1487.9292095713577,172.27197093803395
64.0,1508.00439453125,173.21875
65.0,1530.6122861638103,173.4167880787574
66.0,1551.9537781467268,173.98934910878464
67.0,1573.2952392541033,174.5620117785889
68.0,1594.63666948594,175.13477608817016
69.0,1615.9780688422368,175.7076420375284
70.0,1637.3194373229937,176.28060962666365
71.0,1658.6607749282105,176.8536788555759
72.0,1680.0020816578876,177.42684972426517
73.0,1701.3433575120248,178.00012223273146
74.0,1722.6846024906217,178.57349638097472
75.0,1744.0258165936793,179.146972168995
76.0,1765.3669998211965,179.7205495967923
77.0,1786.7081521731739,180.29422866436659
78.0,1808.0492736496117,180.86800937171787
79.0,1829.390364250509,181.44189171884616
80.0,1855.31591796875,181.7802734375
81.0,1872.0724528256846,182.58996133243377
82.0,1893.4134507999624,183.1641485988931
83.0,1914.7544178987007,183.7384375051294
84.0,1936.0953541218985,184.31282805114273
85.0,1957.4362594695567,184.88732023693305
86.0,1978.777133941675,185.4619140625004
87.0,2000.1179775382532,186.03660952784472
88.0,2021.4587902592914,186.61140663296607
89.0,2042.79957210479,187.18630537786441
90.0,2064.1403230747483,187.76130576253973
91.0,2085.481043169167,188.33640778699208
92.0,2106.8217323880463,188.91161145122146
93.0,2128.1623907313847,189.4869167552278
94.0,2149.5030181991833,190.0623236990112
95.0,2170.8436147914426,190.63783228257157
96.0,2188.849609375,192.37255859375
97.0,2213.5247153493406,191.78915436902332
98.0,2234.86521931498,192.3649678719147
99.0,2256.2056924050794,192.94088301458308
100.0,2277.546134619639,193.5168997970285
101.0,2298.886545958658,194.0930182192509
102.0,2320.226926422138,194.66923828125027
103.0,2341.5672760100774,195.24555998302668
104.0,2362.9075947224774,195.8219833245801
105.0,2384.247882559337,196.39850830591052
106.0,2405.588139520657,196.97513492701793
107.0,2426.928365606437,197.55186318790237
108.0,2448.268560816677,198.1286930885638
109.0,2469.6087251513773,198.70562462900222
110.0,2490.9488586105376,199.28265780921765
111.0,2512.288961194158,199.85979262921012
