batch_size,peak,persistent
1.0,394.42757123009477,291.46524415430406
2.0,502.3361256320792,292.0473280962793
3.0,610.2440574583732,292.6294200736952
4.0,718.1513667089766,293.2115200865519
5.0,826.0580533838896,293.79362813484937
6.0,933.9641174831123,294.3757442185875
7.0,1041.8695590066445,294.95786833776646
8.0,1149.7743779544862,295.54000049238607
9.0,1257.6785743266378,296.12214068244646
10.0,1365.5821481230985,296.7042889079476
11.0,1473.485099343869,297.2864451688895
12.0,1581.387427988949,297.8686094652721
13.0,1689.2891340583387,298.45078179709543
14.0,1797.1902175520377,299.0329621643595
15.0,1905.0906784700464,299.61515056706435
16.0,2015.42041015625,300.1591796875
17.0,2120.889732578992,300.7795514787962
18.0,2228.78832576993,301.3617639878232
19.0,2336.686296385177,301.943984532291
20.0,2444.5836444247334,302.5262131121995
21.0,2552.4803698886,303.10844972754876
22.0,2660.3764727767752,303.6906943783388
23.0,2768.2719530892605,304.2729470645695
24.0,2876.166810826055,304.855207786241
25.0,2984.061045987159,305.43747654335317
26.0,3091.9546585725734,306.01975333590616
27.0,3199.847648582297,306.6020381638998
28.0,3307.7400160163297,307.1843310273343
29.0,3415.631760874672,307.7666319262094
30.0,3523.522883157325,308.3489408605253
31.0,3631.4133828642866,308.931257830282
32.0,3740.4814453125,309.53271484375
33.0,3847.1925145511386,310.0959158761175
34.0,3955.081146531029,310.6782569521963
35.0,4062.969155935229,311.26060606371595
36.0,4170.856542763739,311.84296321067626
37.0,4278.743307016557,312.42532839307734
38.0,4386.629448693686,313.0077016109191
39.0,4494.514967795124,313.5900828642017
40.0,4602.3998643208715,314.172472152925
41.0,4710.284138270929,314.754869477089
42.0,4818.167789645297,315.3372748366938
43.0,4926.050818443973,315.9196882317393
44.0,5033.933224666959,316.50210966222556
45.0,5141.815008314255,317.0845391281525
46.0,5249.69616938586,317.66697662952026
47.0,5357.576707881774,318.2494221663287
48.0,5463.35498046875,318.09375
49.0,5573.335917146533,319.41433734626787
50.0,5681.214587915376,319.9968069893985
51.0,5789.092636108529,320.57928466796994
52.0,5896.970061725992,321.16177038198214
53.0,6004.846864767764,321.744264131435
54.0,6112.723045233845,322.32676591632867
55.0,6220.598603124236,322.909275736663
56.0,6328.473538438938,323.4917935924381
57.0,6436.347851177948,324.074319483654
58.0,6544.221541341268,324.6568534103106
59.0,6652.094608928897,325.2393953724079
60.0,6759.967053940837,325.821945369946
61.0,6867.838876377085,326.4045034029248
62.0,6975.710076237643,326.98706947134434
63.0,7083.580653522511,327.5696435752046
64.0,7186.541015625,326.27978515625
65.0,7299.319940365175,328.7348158892474
66.0,7407.188649922971,329.31741409942987
67.0,7515.056736905078,329.9000203450531
68.0,7622.924201311493,330.4826346261171
69.0,7730.791043142219,331.06525694262183
70.0,7838.657262397253,331.6478872945673
71.0,7946.522859076597,332.23052568195345
72.0,8054.387833180252,332.8131721047804
73.0,8162.252184708214,333.39582656304805
74.0,8270.115913660487,333.9784890567565
75.0,8377.97902003707,334.5611595859056
76.0,8485.841503837963,335.1438381504955
77.0,8593.703365063164,335.7265247505261
78.0,8701.564603712673,336.3092193859975
79.0,8809.425219786495,336.8919220569096
80.0,8929.8525390625,341.02880859375
81.0,9025.144584207066,338.05735150505603
82.0,9133.003332553815,338.64007828229035
83.0,9240.861458324875,339.2228130949654
84.0,9348.718961520244,339.8055559430812
85.0,9456.57584213992,340.38830682663774
86.0,9564.432100183909,340.971065745635
87.0,9672.287735652206,341.55383270007303
88.0,9780.142748544813,342.13660768995175
89.0,9887.997138861729,342.71939071527123
90.0,9995.850906602955,343.3021817760315
91.0,10103.704051768489,343.88498087223246
92.0,10211.556574358336,344.46778800387415
93.0,10319.40847437249,345.0506031709566
94.0,10427.259751810954,345.6334263734798
95.0,10535.11040667373,346.2162576114437
96.0,10637.85107421875,347.58984375
97.0,10750.809848672205,347.38194419369376
98.0,10858.658635807906,347.9647995379799
99.0,10966.506800367919,348.5476629177068
100.0,11074.35434235224,349.1305343328744
101.0,11182.201261760873,349.71341378348274
102.0,11290.047558593813,350.29630126953185
