batch_size,peak,persistent
1.0,2051.8694009221895,1588.8927462495028
2.0,2121.8058083928922,1589.4449222340324
3.0,2191.742474365433,1589.99727153618
4.0,2261.6793988398117,1590.5497941559456
5.0,2331.616581816029,1591.1024900933294
6.0,2401.5540232940843,1591.655359348331
7.0,2471.4917232739776,1592.208401920951
8.0,2541.4296817557097,1592.761617811189
9.0,2611.3678987392796,1593.315007019045
10.0,2681.3063742246877,1593.868569544519
11.0,2751.245108211934,1594.4223053876112
12.0,2821.184100701019,1594.9762145483214
13.0,2891.123351691942,1595.5302970266496
14.0,2961.0628611847033,1596.084552822596
15.0,3031.002629179303,1596.6389819361602
16.0,3101.33203125,1597.25341796875
17.0,3170.882940674016,1597.7483601161432
18.0,3240.82348417413,1598.3033091825616
19.0,3310.7642861760824,1598.8584315665983
20.0,3380.705346679873,1599.413727268253
21.0,3450.646665685502,1599.9691962875258
22.0,3520.5882431929685,1600.5248386244166
23.0,3590.5300792022736,1601.0806542789255
24.0,3660.4721737134178,1601.6366432510524
25.0,3730.4145267263993,1602.1928055407973
26.0,3800.357138241219,1602.7491411481603
27.0,3870.300008257877,1603.3056500731416
28.0,3940.2431367763734,1603.8623323157408
29.0,4010.1865237967077,1604.419187875958
30.0,4080.1301693188807,1604.9762167537933
31.0,4150.074073342892,1605.5334189492467
32.0,4220.64306640625,1606.814453125
33.0,4289.962656896429,1606.6483432930074
34.0,4359.907336425954,1607.206065441315
35.0,4429.852274457318,1607.7639609072407
36.0,4499.79747099052,1608.3220296907843
37.0,4569.742926025561,1608.8802717919461
38.0,4639.688639562439,1609.438687210726
39.0,4709.6346116011555,1609.9972759471239
40.0,4779.580842141711,1610.5560380011398
41.0,4849.527331184105,1611.1149733727736
42.0,4919.474078728335,1611.6740820620257
43.0,4989.421084774405,1612.233364068896
44.0,5059.368349322313,1612.792819393384
45.0,5129.315872372059,1613.3524480354904
46.0,5199.263653923644,1613.9122499952146
47.0,5269.211693977067,1614.4722252725571
48.0,5338.8603515625,1615.03173828125
49.0,5409.108549589426,1615.592695780096
50.0,5479.057365148365,1616.1531910102924
51.0,5549.006439209139,1616.713859558107
52.0,5618.9557717717535,1617.27470142354
53.0,5688.905362836205,1617.8357166065905
54.0,5758.855212402495,1618.3969051072593
55.0,5828.805320470623,1618.9582669255462
56.0,5898.755687040591,1619.5198020614512
57.0,5968.706312112396,1620.081510514974
58.0,6038.657195686039,1620.6433922861152
59.0,6108.60833776152,1621.2054473748744
60.0,6178.559738338839,1621.7676757812515
61.0,6248.511397417997,1622.330077505247
62.0,6318.463314998992,1622.89265254686
63.0,6388.415491081828,1623.4554009060914
64.0,6456.64013671875,1622.9990234375
65.0,6528.32061875301,1624.5814175774085
66.0,6598.27357034136,1625.144685889494
67.0,6668.226780431547,1625.7081275191977
68.0,6738.180249023572,1626.2717424665193
69.0,6808.133976117435,1626.8355307314591
70.0,6878.087961713138,1627.399492314017
71.0,6948.042205810678,1627.9636272141927
72.0,7017.996708410055,1628.5279354319866
73.0,7087.951469511272,1629.0924169673988
74.0,7157.906489114327,1629.6570718204287
75.0,7227.86176721922,1630.221899991077
76.0,7297.817303825951,1630.786901479343
77.0,7367.77309893452,1631.3520762852274
78.0,7437.729152544928,1631.9174244087296
79.0,7507.685464657174,1632.48294584985
80.0,7577.95166015625,1633.029296875
81.0,7647.598864387181,1633.614508684945
82.0,7717.555952004941,1634.1805500789196
83.0,7787.51329812454,1634.746764790512
84.0,7857.470902745977,1635.313152819723
85.0,7927.428765869252,1635.8797141665516
86.0,7997.3868874943655,1636.4464488309984
87.0,8067.345267621317,1637.0133568130634
88.0,8137.303906250107,1637.5804381127464
89.0,8207.262803380734,1638.1476927300473
90.0,8277.2219590132,1638.7151206649664
91.0,8347.181373147505,1639.2827219175035
92.0,8417.141045783648,1639.8504964876586
93.0,8487.100976921629,1640.4184443754318
94.0,8557.061166561449,1640.9865655808233
95.0,8627.021614703106,1641.5548601038327
96.0,8697.4501953125,1642.24658203125
97.0,8766.943286491936,1642.6919691027056
98.0,8836.90451013911,1643.260783578569
99.0,8906.86599228812,1643.8297713720508
100.0,8976.827732938968,1644.3989324831505
101.0,9046.789732091655,1644.9682669118683
102.0,9116.751989746179,1645.5377746582042
103.0,9186.714505902542,1646.107455722158
104.0,9256.677280560743,1646.67731010373
105.0,9326.640313720784,1647.24733780292
106.0,9396.603605382661,1647.817538819728
107.0,9466.567155546378,1648.3879131541541
108.0,9536.530964211932,1648.9584608061982
109.0,9606.495031379325,1649.5291817758605
110.0,9676.459357048556,1650.100076063141
111.0,9746.423941219626,1650.6711436680393
112.0,9815.79248046875,1650.0888671875
113.0,9886.353885067278,1651.8137988306903
114.0,9956.319244743861,1652.3853863884428
115.0,10026.284862922284,1652.9571472638136
116.0,10096.250739602543,1653.5290814568023
117.0,10166.216874784643,1654.101188967409
118.0,10236.18326846858,1654.6734697956338
119.0,10306.149920654354,1655.2459239414766
120.0,10376.116831341968,1655.8185514049376
121.0,10446.084000531418,1656.3913521860165
122.0,10516.051428222707,1656.9643262847137
123.0,10586.019114415834,1657.5374737010288
124.0,10655.987059110801,1658.110794434962
125.0,10725.955262307607,1658.6842884865132
126.0,10795.923724006248,1659.2579558556827
127.0,10865.89244420673,1659.83179654247
128.0,10936.759765625,1661.49365234375
129.0,11005.830660113204,1660.9799978688989
130.0,11075.8001558192,1661.5543585085406
131.0,11145.769910027033,1662.1288924658002
132.0,11215.739922736708,1662.7035997406779
133.0,11285.710193948216,1663.2784803331738
134.0,11355.680723661564,1663.8535342432874
135.0,11425.651511876751,1664.4287614710195
136.0,11495.622558593775,1665.0041620163693
137.0,11565.593863812639,1665.5797358793372
138.0,11635.56542753334,1666.1554830599234
139.0,11705.537249755878,1666.7314035581276
140.0,11775.509330480258,1667.3074973739497
141.0,11845.481669706474,1667.88376450739
142.0,11915.454267434527,1668.4602049584485
143.0,11985.42712366442,1669.0368187271247
144.0,12054.8837890625,1669.21142578125
145.0,12125.373611629719,1670.1905662173317
146.0,12195.347243365126,1670.7676999388623
147.0,12265.321133602372,1671.345006978011
148.0,12335.295282341454,1671.9224873347778
149.0,12405.269689582377,1672.5001410091625
150.0,12475.244355325136,1673.0779680011653
151.0,12545.219279569734,1673.6559683107862
152.0,12615.19446231617,1674.2341419380252
153.0,12685.169903564445,1674.8124888828822
154.0,12755.145603314557,1675.3910091453572
155.0,12825.12156156651,1675.9697027254504
156.0,12895.097778320298,1676.5485696231617
157.0,12965.074253575925,1677.1276098384908
158.0,13035.050987333392,1677.7068233714383
159.0,13105.027979592694,1678.2862102220035
160.0,13174.88232421875,1678.8037109375
161.0,13244.982739616817,1679.4455038759886
162.0,13314.960507381638,1680.0254106794082
163.0,13384.938533648294,1680.6054908004458
164.0,13454.916818416788,1681.1857442391015
165.0,13524.895361687122,1681.7661709953752
166.0,13594.874163459293,1682.346771069267
167.0,13664.853223733302,1682.927544460777
168.0,13734.83254250915,1683.508491169905
169.0,13804.812119786837,1684.089611196651
170.0,13874.791955566363,1684.670904541015
171.0,13944.772049847725,1685.2523712029972
172.0,14014.752402630926,1685.8340111825976
173.0,14084.733013915964,1686.4158244798157
174.0,14154.713883702841,1686.9978110946522
175.0,14224.695011991556,1687.5799710271065
176.0,14295.162109375,1688.67724609375
177.0,14364.658044074504,1688.7448108448696
178.0,14434.639947868734,1689.3274907301782
179.0,14504.622110164803,1689.9103439331047
180.0,14574.604530962708,1690.4933704536495
181.0,14644.587210262453,1691.0765702918122
182.0,14714.570148064036,1691.6599434475932
183.0,14784.553344367458,1692.243489920992
184.0,14854.536799172716,1692.8272097120089
185.0,14924.520512479816,1693.411102820644
186.0,14994.504484288753,1693.9951692468971
187.0,15064.488714599525,1694.5794089907681
188.0,15134.473203412139,1695.1638220522575
189.0,15204.457950726588,1695.7484084313646
190.0,15274.442956542878,1696.33316812809
191.0,15344.428220861004,1696.9181011424334
192.0,15415.75439453125,1698.86328125
193.0,15484.399525002775,1698.0884871239743
194.0,15554.385564826416,1698.673940091172
195.0,15624.371863151897,1699.2595663759878
196.0,15694.358419979215,1699.8453659784213
197.0,15764.34523530837,1700.431338898473
198.0,15834.332309139365,1701.017485136143
199.0,15904.319641472199,1701.603804691431
200.0,15974.30723230687,1702.190297564337
201.0,16044.29508164338,1702.7769637548608
202.0,16114.283189481728,1703.363803263003
203.0,16184.271555821913,1703.950816088763
204.0,16254.260180663938,1704.5380022321415
205.0,16324.2490640078,1705.1253616931376
206.0,16394.2382058535,1705.712894471752
207.0,16464.22760620104,1706.3006005679845
208.0,16533.72216796875,1706.4248046875
