batch_size,peak,persistent
1.0,2178.051727123839,1650.2824724982777
2.0,2309.5773789348555,1650.8317677217383
3.0,2441.103538859273,1651.3812352797574
4.0,2572.6302068970926,1651.9308751723356
5.0,2704.157383048314,1652.4806873994726
6.0,2835.6850673129366,1653.0306719611683
7.0,2967.213259690961,1653.5808288574228
8.0,3098.7419601823867,1654.1311580882364
9.0,3230.2711687872143,1654.6816596536087
10.0,3361.800885505444,1655.2323335535395
11.0,3493.3311103370747,1655.7831797880294
12.0,3624.861843282107,1656.3341983570783
13.0,3756.3930843405415,1656.8853892606858
14.0,3887.9248335123775,1657.4367524988522
15.0,4019.457090797615,1657.9882880715772
16.0,4149.6943359375,1659.38525390625
17.0,4282.523129708295,1659.091876220704
18.0,4414.056911333737,1659.6439287971057
19.0,4545.591201072581,1660.1961537080663
20.0,4677.1259989248265,1660.7485509535854
21.0,4808.661304890473,1661.3011205336636
22.0,4940.197118969522,1661.8538624483006
23.0,5071.733441161973,1662.4067766974963
24.0,5203.270271467825,1662.959863281251
25.0,5334.807609887079,1663.5131221995644
26.0,5466.345456419735,1664.0665534524367
27.0,5597.883811065792,1664.6201570398678
28.0,5729.42267382525,1665.1739329618576
29.0,5860.962044698111,1665.7278812184063
30.0,5992.501923684373,1666.2820018095138
31.0,6124.042310784036,1666.8362947351802
32.0,6259.50537109375,1667.0712890625
33.0,6387.124609323569,1667.9453975901893
34.0,6518.666520763437,1668.500207519532
35.0,6650.208940316707,1669.055189783434
36.0,6781.751867983378,1669.6103443818943
37.0,6913.295303763452,1670.1656713149137
38.0,7044.839247656927,1670.7211705824916
39.0,7176.383699663804,1671.2768421846285
40.0,7307.928659784082,1671.8326861213243
41.0,7439.474128017762,1672.388702392579
42.0,7571.020104364843,1672.9448909983923
43.0,7702.566588825326,1673.5012519387647
44.0,7834.113581399211,1674.0577852136958
45.0,7965.661082086498,1674.6144908231856
46.0,8097.209090887186,1675.1713687672343
47.0,8228.757607801275,1675.7284190458417
48.0,8360.44140625,1676.35107421875
49.0,8491.85616596966,1676.8430366067332
50.0,8623.406207223954,1677.4006038890172
51.0,8754.956756591651,1677.95834350586
