batch_size,peak,persistent
1.0,1654.9836179424706,1475.8505475371023
2.0,1814.7619019086421,1476.587682732001
3.0,1974.5403591189788,1477.323627412346
4.0,2134.318989573481,1478.0583815781376
5.0,2294.097793272148,1478.7919452293759
6.0,2453.87677021498,1479.524318366061
7.0,2613.655920401977,1480.2555009881924
8.0,2773.43524383314,1480.9854930957704
9.0,2933.214740508467,1481.7142946887952
10.0,3092.99441042796,1482.4419057672665
11.0,3252.7742535916173,1483.1683263311843
12.0,3412.5542699994403,1483.8935563805487
13.0,3572.3344596514285,1484.61759591536
14.0,3732.1148225475813,1485.3404449356176
15.0,3891.8953586878993,1486.0621034413218
16.0,4058.685546875,1486.55712890625
17.0,4211.456950701031,1487.5018489090703
18.0,4371.238006573845,1488.2199358711143
19.0,4531.019235690823,1488.9368323186052
20.0,4690.800638051967,1489.6525382515424
21.0,4850.582213657277,1490.3670536699265
22.0,5010.36396250675,1491.080378573757
23.0,5170.14588460039,1491.792512963034
24.0,5329.927979938194,1492.5034568377578
25.0,5489.710248520163,1493.213210197928
26.0,5649.492690346298,1493.9217730435448
27.0,5809.275305416597,1494.6291453746085
28.0,5969.0580937310615,1495.3353271911185
29.0,6128.841055289692,1496.0403184930753
30.0,6288.624190092487,1496.7441192804786
31.0,6448.407498139447,1497.4467295533284
32.0,6601.58251953125,1496.6806640625
33.0,6767.974633965862,1498.848378555368
34.0,6927.7584617453185,1499.547417284558
35.0,7087.542462768938,1500.2452654991941
36.0,7247.326637036725,1500.9419231992772
37.0,7407.110984548675,1501.6373903848066
38.0,7566.895505304791,1502.3316670557829
39.0,7726.680199305072,1503.0247532122055
40.0,7886.465066549518,1503.7166488540747
41.0,8046.2501070381295,1504.4073539813908
42.0,8206.035320770907,1505.0968685941532
43.0,8365.820707747847,1505.7851926923624
44.0,8525.606267968953,1506.472326276018
45.0,8685.392001434226,1507.1582693451205
46.0,8845.177908143662,1507.8430218996693
47.0,9004.963988097265,1508.526583939665
48.0,9157.3935546875,1512.11669921875
49.0,9324.536667736964,1509.8901364759959
50.0,9484.323267423062,1510.570126972331
51.0,9644.110040353324,1511.2489269541131
52.0,9803.896986527752,1511.9265364213416
