batch_size,peak,persistent
1.0,223.1015625,92.35595703125
2.0,346.6689453125,92.93408203125
3.0,472.70849609375,93.51220703125
4.0,597.578125,94.68408203125
5.0,728.1298828125,94.66845703125
6.0,845.712890625,95.54296875
7.0,968.9267578125,96.50390625
8.0,1093.7412109375,96.40234375
9.0,1223.6220703125,96.98046875
10.0,1343.0048828125,98.27734375
11.0,1486.828125,98.33935546875
12.0,1616.224609375,99.91748046875
13.0,1726.373046875,99.29248046875
14.0,1862.9375,99.87060546875
15.0,1981.11083984375,100.44873046875
16.0,2106.1201171875,101.9326171875
17.0,2246.8095703125,101.6044921875
18.0,2364.48388671875,102.1826171875
19.0,2479.345703125,102.7607421875
20.0,2614.4375,103.9482421875
21.0,2721.89990234375,103.9169921875
22.0,2856.6953125,104.49462890625
23.0,2997.82861328125,105.95947265625
24.0,3098.623046875,105.96337890625
25.0,3235.70361328125,106.51025390625
26.0,3348.17333984375,107.16259765625
27.0,3477.37744140625,108.05078125
28.0,3592.30517578125,107.97265625
29.0,3743.1533203125,108.595703125
30.0,3855.20068359375,110.1279296875
31.0,3979.3583984375,110.12158203125
32.0,4111.3818359375,110.71240234375
33.0,4222.6220703125,111.1982421875
34.0,4378.890625,112.33642578125
35.0,4488.552734375,112.2109375
36.0,4610.59716796875,112.61279296875
37.0,4722.4716796875,113.98193359375
38.0,4845.78173828125,114.4423828125
39.0,4965.1640625,114.615234375
40.0,5127.52978515625,115.4462890625
41.0,5234.88330078125,117.28955078125
42.0,5362.66064453125,116.2041015625
43.0,5477.36279296875,117.03857421875
44.0,5600.99267578125,118.75439453125
45.0,5739.91162109375,118.35009765625
46.0,5861.66357421875,119.16064453125
47.0,5976.90625,119.69384765625
48.0,6108.89599609375,121.3046875
49.0,6220.810546875,122.265625
50.0,6383.0439453125,122.2421875
51.0,6497.20361328125,123.56201171875
52.0,6603.7783203125,122.6875
53.0,6732.42431640625,122.8984375
54.0,6840.33544921875,124.72216796875
55.0,7000.2373046875,124.38134765625
56.0,7112.1865234375,124.40185546875
57.0,7238.3994140625,124.72607421875
58.0,7354.3662109375,126.68115234375
59.0,7462.49951171875,126.3037109375
60.0,7595.3466796875,126.8134765625
61.0,7735.60986328125,128.11669921875
62.0,7869.1552734375,128.2412109375
63.0,7956.10986328125,128.2294921875
64.0,8096.33984375,128.86572265625
65.0,8228.84619140625,130.98095703125
66.0,8372.98779296875,130.5234375
67.0,8486.00634765625,130.74072265625
68.0,8599.85595703125,132.5537109375
69.0,8724.271484375,132.0419921875
70.0,8850.7470703125,133.16650390625
71.0,8982.103515625,132.93798828125
72.0,9099.853515625,134.35400390625
73.0,9211.35302734375,134.33056640625
74.0,9336.626953125,134.55322265625
75.0,9461.33447265625,136.064453125
76.0,9600.57421875,136.068359375
77.0,9719.9775390625,136.40380859375
78.0,9841.85986328125,136.865234375
79.0,9957.9599609375,138.294921875
80.0,10089.7333984375,138.58349609375
81.0,10227.52880859375,138.67626953125
82.0,10365.7431640625,140.47021484375
83.0,10474.09716796875,140.361328125
84.0,10564.748046875,140.34326171875
85.0,10699.0068359375,140.9453125
86.0,10835.32666015625,142.1640625
87.0,10976.19970703125,142.1279296875
88.0,11089.11962890625,144.2197265625
89.0,11222.10888671875,144.24755859375
90.0,11343.59814453125,144.7451171875
91.0,11470.93359375,144.90625
92.0,11597.99609375,144.98486328125
93.0,11711.0068359375,146.21337890625
94.0,11818.35693359375,146.83251953125
95.0,11952.6455078125,147.53173828125
96.0,12089.68505859375,148.44140625
97.0,12222.7177734375,148.46923828125
98.0,12338.06005859375,149.50244140625
99.0,12460.86669921875,149.0703125
100.0,12608.560546875,150.552734375
101.0,12711.25439453125,150.4775390625
102.0,12855.759765625,151.24560546875
103.0,12970.00439453125,152.26708984375
104.0,13095.5947265625,152.42529296875
105.0,13191.5966796875,154.36865234375
106.0,13324.52734375,153.31982421875
107.0,13445.48583984375,154.6494140625
108.0,13589.29052734375,154.6279296875
109.0,13701.32958984375,155.09814453125
110.0,13821.3115234375,157.03759765625
111.0,13946.53466796875,156.85791015625
112.0,14072.708984375,157.49462890625
113.0,14222.05078125,157.77587890625
114.0,14333.71484375,158.72900390625
115.0,14493.736328125,159.18115234375
116.0,14609.6025390625,159.49462890625
117.0,14735.56103515625,160.34814453125
118.0,14868.0478515625,160.5927734375
119.0,14977.2666015625,161.26953125
120.0,15085.23388671875,161.650390625
121.0,15215.66845703125,162.5390625
122.0,15327.33740234375,162.564453125
123.0,15470.6796875,163.19873046875
124.0,15582.283203125,164.53271484375
125.0,15690.4453125,164.2744140625
126.0,15811.9482421875,164.89208984375
127.0,15935.353515625,165.18896484375
128.0,16090.77197265625,168.0478515625
129.0,16202.80712890625,166.6396484375
130.0,16324.6826171875,166.93505859375
131.0,16436.857421875,169.1015625
132.0,16561.6572265625,169.08935546875
133.0,16699.23095703125,169.52392578125
134.0,16835.80224609375,169.2353515625
135.0,16948.3173828125,170.6962890625
136.0,17101.97216796875,170.7197265625
137.0,17218.33544921875,171.1826171875
138.0,17347.32568359375,172.44140625
139.0,17477.490234375,172.78662109375
140.0,17581.15234375,172.70361328125
141.0,17695.1650390625,173.68701171875
142.0,17823.8408203125,174.57470703125
143.0,17941.2001953125,174.51220703125
144.0,18083.84912109375,175.65625
145.0,18199.0791015625,177.314453125
146.0,18313.35693359375,177.09765625
147.0,18432.8388671875,176.99462890625
148.0,18553.05712890625,178.2734375
149.0,18701.228515625,178.451171875
150.0,18818.0546875,179.11279296875
151.0,18937.43212890625,179.20361328125
152.0,19050.9970703125,180.46826171875
153.0,19174.38427734375,181.75830078125
154.0,19299.568359375,180.91357421875
155.0,19451.4970703125,182.3701171875
156.0,19557.60595703125,182.9052734375
157.0,19701.52587890625,182.5302734375
158.0,19824.84228515625,183.9150390625
159.0,19968.513671875,185.125
160.0,20113.37890625,185.07666015625
161.0,20212.1162109375,185.32568359375
162.0,20318.7783203125,186.39697265625
163.0,20445.80322265625,186.9775390625
164.0,20569.15234375,186.93408203125
165.0,20697.4482421875,187.94677734375
166.0,20818.85498046875,188.587890625
167.0,20906.365234375,188.802734375
168.0,21041.33154296875,188.974609375
169.0,21169.5576171875,191.00244140625
170.0,21314.77685546875,190.8916015625
171.0,21425.96875,190.91748046875
172.0,21552.19921875,191.38037109375
173.0,21662.92041015625,192.5224609375
174.0,21787.4208984375,192.54638671875
175.0,21908.2978515625,193.03955078125
176.0,22056.36181640625,195.1611328125
177.0,22182.30126953125,194.47802734375
178.0,22332.3935546875,194.7099609375
179.0,22456.1474609375,195.51025390625
180.0,22580.87841796875,197.0009765625
181.0,22722.552734375,197.40869140625
182.0,22805.42813041452,197.526668371884
183.0,22929.858758439324,198.09894190228061
184.0,23054.286230249963,198.67113585555512
185.0,23178.710545846436,199.24325023170758
186.0,23303.131705228734,199.8152850307379
187.0,23427.549708396873,200.3872402526461
188.0,23551.964555350838,200.95911589743227
189.0,23676.376246090636,201.5309119650963
190.0,23800.784780616268,202.10262845563824
191.0,23925.190158927733,202.6742653690581
192.0,24049.592381025024,203.24582270535583
193.0,24173.991446908156,203.8173004645315
194.0,24298.387356577114,204.38869864658506
195.0,24422.780110031905,204.96001725151652
196.0,24547.16970727253,205.53125627932587
197.0,24671.556148298987,206.10241573001315
198.0,24795.939433111278,206.67349560357832
199.0,24920.319561709395,207.2444959000214
200.0,25044.696534093346,207.8154166193424
201.0,25169.07035026313,208.3862577615413
202.0,25293.441010218754,208.95701932661805
203.0,25417.808513960204,209.52770131457274
204.0,25542.17286148748,210.09830372540534
205.0,25666.534052800598,210.66882655911584
206.0,25790.89208789954,211.23926981570423
207.0,25915.246966784318,211.80963349517054
208.0,26039.598689454928,212.37991759751478
209.0,26163.94725591137,212.95012212273687
210.0,26288.292666153648,213.5202470708369
211.0,26412.63492018175,214.09029244181482
212.0,26536.974017995693,214.66025823567065
213.0,26661.309959595463,215.23014445240437
214.0,26785.642744981073,215.79995109201602
215.0,26909.97237415251,216.36967815450555
216.0,27034.298847109778,216.939325639873
217.0,27158.622163852873,217.50889354811835
218.0,27282.942324381802,218.0783818792416
219.0,27407.25932869657,218.64779063324272
220.0,27531.573176797167,219.2171198101218
221.0,27655.883868683595,219.78636940987877
222.0,27780.191404355857,220.35553943251364
223.0,27904.495783813945,220.9246298780264
224.0,28028.797007057874,221.49364074641704
225.0,28153.095074087636,222.06257203768564
226.0,28277.389984903224,222.6314237518321
227.0,28401.681739504646,223.2001958888565
228.0,28525.9703378919,223.7688884487588
229.0,28650.25578006498,224.337501431539
230.0,28774.538066023903,224.90603483719707
231.0,28898.817195768657,225.47448866573308
232.0,29023.09316929923,226.04286291714698
233.0,29147.365986615652,226.61115759143877
234.0,29271.6356477179,227.1793726886085
235.0,29395.90215260598,227.74750820865611
236.0,29520.165501279887,228.31556415158164
237.0,29644.425693739635,228.88354051738506
238.0,29768.68272998521,229.45143730606637
239.0,29892.936610016615,230.01925451762563
240.0,30017.187333833856,230.58699215206275
241.0,30141.43490143693,231.1546502093778
242.0,30265.679312825836,231.72222868957073
243.0,30389.92056800057,232.28972759264158
244.0,30514.158666961142,232.8571469185903
245.0,30638.393609707542,233.42448666741694
246.0,30762.625396239775,233.99174683912153
247.0,30886.85402655784,234.55892743370399
248.0,31011.07950066174,235.12602845116436
249.0,31135.301818551467,235.6930498915026
250.0,31259.520980227033,236.25999175471878
251.0,31383.736985688425,236.82685404081286
252.0,31507.94983493565,237.39363674978483
253.0,31632.15952796871,237.96033988163472
254.0,31756.366064787602,238.5269634363625
255.0,31880.56944539232,239.0935074139682
256.0,32004.76966978288,239.65997181445178
