batch_size,peak,persistent
1,48.6884765625,29.83642578125
2,66.51513671875,31.16455078125
3,80.28369140625,30.99267578125
4,96.12841796875,31.57080078125
5,111.6669921875,32.67333984375
6,128.02490234375,33.0625
7,144.220703125,33.3046875
8,159.43408203125,33.8828125
9,175.02099609375,34.4609375
10,192.72216796875,35.865234375
11,203.80322265625,35.85498046875
12,219.43017578125,36.19482421875
13,235.93115234375,36.77294921875
14,254.2734375,37.35107421875
15,266.19384765625,38.65966796875
16,282.73779296875,38.6630859375
17,298.51953125,39.0849609375
18,317.0634765625,39.6630859375
19,330.14794921875,40.2412109375
20,347.376953125,41.5234375
21,361.8505859375,41.40869140625
22,377.37109375,42.09375
23,394.79833984375,43.41650390625
24,412.84375,43.52783203125
25,428.32421875,43.92529296875
26,440.552734375,44.8369140625
27,460.01513671875,46.0185546875
28,474.095703125,45.53955078125
29,485.595703125,46.89404296875
30,507.5751953125,48.35302734375
31,520.75634765625,47.76318359375
32,534.8603515625,47.89599609375
33,549.6826171875,48.7646484375
34,570.28955078125,50.19140625
35,583.251953125,50.39697265625
36,603.947265625,50.06787109375
37,616.609375,51.4775390625
38,634.6396484375,51.58837890625
39,645.5048828125,52.0947265625
40,660.0185546875,52.7802734375
41,681.8623046875,54.564453125
42,696.7177734375,53.9755859375
43,717.3935546875,54.83740234375
44,727.41357421875,56.84619140625
45,744.505859375,56.71435546875
46,756.6767578125,55.84814453125
47,771.57421875,57.283203125
48,784.9833984375,58.923828125
49,806.060546875,58.0283203125
50,819.01220703125,58.16015625
51,836.5615234375,60.25634765625
52,849.306640625,59.47802734375
53,873.51611328125,59.89453125
54,886.3828125,62.33056640625
55,897.94091796875,62.1728515625
56,912.5439453125,61.62841796875
57,932.06396484375,62.5458984375
58,947.55810546875,63.5361328125
59,973.46435546875,63.6796875
60,980.69384765625,64.50439453125
61,997.74560546875,65.90283203125
62,1021.4794921875,66.01416015625
63,1031.80712890625,66.9921875
64,1047.8994140625,66.53369140625
65,1059.69384765625,67.76318359375
66,1070.927734375,67.544921875
67,1087.8642578125,67.9873046875
68,1101.9765625,70.185546875
69,1115.65087890625,69.5556640625
70,1131.3291015625,69.72119140625
71,1154.7783203125,70.29931640625
72,1168.26806640625,71.56787109375
73,1190.06884765625,71.53759765625
74,1202.56298828125,72.03369140625
75,1217.146484375,73.544921875
76,1233.10791015625,74.47705078125
77,1242.95703125,73.767578125
78,1257.2724609375,74.345703125
79,1274.0791015625,75.93994140625
80,1291.31201171875,75.78076171875
81,1305.4404296875,76.087890625
82,1327.4521484375,77.57177734375
83,1338.60205078125,78.51904296875
84,1357.74462890625,78.29150390625
85,1372.8916015625,78.4609375
86,1391.8095703125,80.521484375
87,1401.2080078125,80.49755859375
88,1420.62353515625,80.1259765625
89,1447.62548828125,82.1533203125
90,1455.44873046875,82.31103515625
91,1466.05810546875,82.78369140625
92,1477.7275390625,82.43798828125
93,1493.14013671875,84.3720703125
94,1501.30224609375,83.97607421875
95,1536.837890625,85.6318359375
96,1549.47412109375,85.625
97,1564.0419921875,85.9130859375
98,1578.54345703125,86.7265625
99,1588.9248046875,86.484375
100,1602.4423828125,88.529296875
101,1615.6572265625,87.86865234375
102,1631.6484375,88.21826171875
103,1671.73193359375,89.65185546875
104,1681.64208984375,89.65576171875
105,1690.998046875,90.958984375
106,1725.13232421875,90.8759765625
107,1736.42822265625,91.6669921875
108,1748.56640625,91.6865234375
109,1755.78662109375,92.2646484375
110,1767.880859375,94.6337890625
111,1775.83349609375,93.6826171875
112,1788.82373046875,93.99853515625
113,1803.22216796875,94.57666015625
114,1817.33447265625,96.63671875
115,1833.845703125,95.73291015625
116,1847.162109375,97.09912109375
117,1865.9677734375,97.70556640625
118,1901.31640625,98.38916015625
119,1908.353515625,98.044921875
120,1919.92822265625,98.623046875
121,1954.84326171875,99.96728515625
122,1966.544921875,100.1416015625
123,1980.61572265625,100.35693359375
124,1992.466796875,102.1474609375
