batch_size,peak,persistent
1.0,1285.5190877098664,1047.799016734532
2.0,1520.7447660175312,1047.976326424735
3.0,1756.0264489856663,1048.159565789359
4.0,1991.3641366142715,1048.348734828404
5.0,2226.757828903347,1048.54383354187
6.0,2462.207525852892,1048.7448619297572
7.0,2697.713227462908,1048.9518199920653
8.0,2933.2749337333944,1049.1647077287946
9.0,3168.8926446643504,1049.3835251399448
10.0,3404.566360255777,1049.6082722255162
11.0,3640.2960805076727,1049.8389489855085
12.0,3876.08180542004,1050.0755554199218
13.0,4111.923534992877,1050.3180915287562
14.0,4347.821269226184,1050.5665573120116
15.0,4583.775008119961,1050.8209527696881
16.0,4830.59765625,1053.08837890625
17.0,5055.850499888926,1051.3475327083042
18.0,5291.972252764114,1051.6197171892438
19.0,5528.150010299772,1051.8978313446046
20.0,5764.3837724959,1052.181875174386
21.0,6000.673539352499,1052.471848678589
22.0,6237.019310869567,1052.7677518572125
23.0,6473.421087047106,1053.0695847102575
24.0,6709.878867885114,1053.3773472377231
25.0,6946.392653383593,1053.69103943961
26.0,7182.962443542543,1054.010661315918
27.0,7419.588238361962,1054.336212866647
28.0,7656.270037841851,1054.6676940917969
29.0,7893.007841982212,1055.005104991368
30.0,8129.801650783042,1055.34844556536
31.0,8366.651464244344,1055.697715813773
32.0,8593.34619140625,1051.0869140625
33.0,8840.519105148353,1056.4140453338623
34.0,9077.536932591065,1056.7811046055385
35.0,9314.610764694246,1057.1540935516357
36.0,9551.740601457896,1057.533012172154
37.0,9788.926442882017,1057.9178604670933
38.0,10026.168288966608,1058.3086384364537
39.0,10263.46613971167,1058.7053460802351
40.0,10500.819995117203,1059.1079833984375
41.0,10738.229855183205,1059.516550391061
42.0,10975.695719909676,1059.9310470581054
43.0,11213.21758929662,1060.351473399571
44.0,11450.795463344031,1060.7778294154575
45.0,11688.429342051915,1061.2101151057652
46.0,11926.119225420269,1061.6483304704939
47.0,12163.86511344909,1062.0924755096435
48.0,12367.4228515625,1065.39794921875
49.0,12639.524903488147,1062.998554611206
50.0,12877.438805498381,1063.4604886736188
51.0,13115.408712169085,1063.9283524104526
52.0,13353.43462350026,1064.4021458217076
53.0,13591.516539491902,1064.8818689073835
54.0,13829.654460144018,1065.3675216674803
55.0,14067.848385456602,1065.8591041019984
56.0,14306.098315429657,1066.3566162109375
57.0,14544.404250063182,1066.8600579942974
58.0,14782.766189357179,1067.3694294520785
59.0,15021.184133311644,1067.8847305842808
60.0,15259.658081926578,1068.405961390904
61.0,15498.188035201985,1068.933121871948
62.0,15736.773993137862,1069.4662120274133
63.0,15975.415955734206,1070.0052318572998
64.0,16269.98388671875,1071.708984375
65.0,16452.86789490831,1071.1010605403355
66.0,16691.677871486063,1071.6578693934848
67.0,16930.543852724295,1072.2206079210553
68.0,17169.465838622993,1072.7892761230469
69.0,17408.443829182157,1073.3638739994592
