batch_size,peak,persistent
1.0,2051.9705153180284,1588.8927462495021
2.0,2121.9040477080353,1589.4449222340318
3.0,2191.837866980373,1589.9972715361794
4.0,2261.7719731350417,1590.549794155945
5.0,2331.7063661720417,1591.1024900933287
6.0,2401.6410460913726,1591.6553593483306
7.0,2471.576012893034,1592.2084019209503
8.0,2541.5112665770275,1592.7616178111884
9.0,2611.4468071433516,1593.3150070190443
10.0,2681.3826345920065,1593.8685695445183
11.0,2751.3187489229927,1594.4223053876105
12.0,2821.25515013631,1594.9762145483207
13.0,2891.191838231958,1595.530297026649
14.0,2961.1288132099376,1596.0845528225952
15.0,3031.0660750702477,1596.6389819361596
16.0,3101.33203125,1597.25341796875
17.0,3170.941459437862,1597.7483601161425
18.0,3240.8795819451652,1598.3033091825612
19.0,3310.8179913347994,1598.8584315665978
20.0,3380.7566876067654,1599.4137272682524
21.0,3450.6956707610625,1599.9691962875252
22.0,3520.6349407976895,1600.524838624416
23.0,3590.5744977166487,1601.0806542789248
24.0,3660.514341517938,1601.6366432510517
25.0,3730.4544722015594,1602.1928055407968
26.0,3800.3948897675114,1602.7491411481599
27.0,3870.335594215794,1603.305650073141
28.0,3940.276585546408,1603.86233231574
29.0,4010.2178637593533,1604.4191878759573
30.0,4080.1594288546294,1604.9762167537926
31.0,4150.101280832237,1605.533418949246
32.0,4220.64306640625,1606.814453125
33.0,4289.985845434444,1606.648343293007
34.0,4359.928558059044,1607.2060654413144
35.0,4429.871557565975,1607.76396090724
36.0,4499.814843955239,1608.322029690784
37.0,4569.758417226832,1608.8802717919457
38.0,4639.702277380757,1609.4386872107254
39.0,4709.646424417012,1609.9972759471232
40.0,4779.590858335599,1610.5560380011393
41.0,4849.535579136516,1611.1149733727732
42.0,4919.480586819765,1611.6740820620253
43.0,4989.425881385345,1612.2333640688953
44.0,5059.3714628332555,1612.7928193933835
45.0,5129.317331163497,1613.35244803549
46.0,5199.26348637607,1613.912249995214
47.0,5269.209928470975,1614.4722252725564
48.0,5338.8603515625,1615.03173828125
49.0,5409.103673307775,1615.5926957800955
50.0,5479.050976049673,1616.153191010292
51.0,5548.998565673901,1616.7138595581066
52.0,5618.9464421804605,1617.2747014235395
53.0,5688.8946055693505,1617.83571660659
54.0,5758.843055840572,1618.3969051072588
55.0,5828.791792994125,1618.9582669255458
56.0,5898.740817030008,1619.5198020614507
57.0,5968.690127948223,1620.0815105149738
58.0,6038.639725748768,1620.6433922861147
59.0,6108.589610431644,1621.205447374874
60.0,6178.539781996852,1621.7676757812512
61.0,6248.490240444391,1622.3300775052464
62.0,6318.440985774261,1622.8926525468596
63.0,6388.392017986461,1623.455400906091
64.0,6456.64013671875,1622.9990234375
65.0,6528.2949430578565,1624.581417577408
66.0,6598.24683591705,1625.1446858894935
67.0,6668.199015658575,1625.7081275191972
68.0,6738.151482282431,1626.2717424665188
69.0,6808.104235788618,1626.8355307314587
70.0,6878.057276177136,1627.3994923140165
71.0,6948.010603447986,1627.9636272141925
72.0,7017.964217601167,1628.5279354319864
73.0,7087.918118636677,1629.0924169673983
74.0,7157.87230655452,1629.6570718204284
75.0,7227.826781354694,1630.2218999910765
76.0,7297.7815430371975,1630.7869014793428
77.0,7367.7365916020335,1631.352076285227
78.0,7437.6919270492,1631.9174244087294
79.0,7507.6475493786975,1632.4829458498498
80.0,7577.95166015625,1633.029296875
81.0,7647.559654684686,1633.6145086849447
82.0,7717.516137661176,1634.1805500789192
83.0,7787.472907519998,1634.7467647905119
84.0,7857.429964261151,1635.3131528197225
85.0,7927.3873078846345,1635.8797141665514
86.0,7997.34493839045,1636.4464488309982
87.0,8067.3028557785965,1637.013356813063
