batch_size,peak,persistent
1.0,2176.141230302593,1650.9118295884232
2.0,2307.6576065296035,1651.4389438282356
3.0,2439.1749192317648,1651.9665036197346
4.0,2570.6931684090773,1652.4945089629198
5.0,2702.212354061541,1653.0229598577916
6.0,2833.7324761891555,1653.55185630435
7.0,2965.253534791921,1654.0811983025947
8.0,3096.7755298698376,1654.610985852526
9.0,3228.298461422905,1655.1412189541438
10.0,3359.8223294511236,1655.6718976074478
11.0,3491.347133954493,1656.2030218124387
12.0,3622.872874933014,1656.7345915691158
13.0,3754.399552386685,1657.2666068774793
14.0,3885.9271663155077,1657.7990677375294
15.0,4017.4557167194816,1658.331974149266
16.0,4149.6943359375,1659.38525390625
17.0,4280.515626952882,1659.3991236277984
18.0,4412.0469867823085,1659.9333666945945
19.0,4543.579283086887,1660.468055313077
20.0,4675.112515866615,1661.003189483246
21.0,4806.646685121495,1661.5387692051013
22.0,4938.181790851526,1662.074794478643
23.0,5069.717833056707,1662.6112653038715
24.0,5201.254811737039,1663.1481816807864
25.0,5332.792726892523,1663.6855436093877
26.0,5464.331578523159,1664.2233510896754
27.0,5595.871366628944,1664.7616041216495
28.0,5727.412091209881,1665.3003027053103
29.0,5858.953752265968,1665.8394468406575
30.0,5990.496349797208,1666.3790365276911
31.0,6122.039883803597,1666.9190717664112
32.0,6252.56787109375,1667.0712890625
33.0,6385.12976124183,1668.0004788989108
34.0,6516.676104673673,1668.5418507926904
35.0,6648.223384580667,1669.0836682381564
36.0,6779.771600962811,1669.6259312353088
37.0,6911.320753820108,1670.168639784148
38.0,7042.870843152555,1670.7117938846734
39.0,7174.421868960152,1671.2553935368853
40.0,7305.973831242902,1671.7994387407837
41.0,7437.526730000801,1672.3439294963684
42.0,7569.080565233852,1672.8888658036399
43.0,7700.635336942055,1673.4342476625975
44.0,7832.191045125407,1673.9800750732418
45.0,7963.7476897839115,1674.5263480355727
46.0,8095.305270917566,1675.0730665495898
47.0,8226.863788526372,1675.6202306152934
48.0,8359.31640625,1676.35107421875
49.0,8489.983633169437,1676.7158954017602
50.0,8621.544960203697,1677.2643961225235
51.0,8753.107223713107,1677.813342394973
52.0,8884.670423697668,1678.3627342191091
53.0,9016.23456015738,1678.9125715949315
54.0,9147.799633092243,1679.4628545224405
55.0,9279.365642502256,1680.013583001636
56.0,9410.932588387423,1680.564757032518
57.0,9542.500470747738,1681.1163766150864
58.0,9674.069289583205,1681.6684417493414
59.0,9805.639044893824,1682.2209524352827
60.0,9937.209736679593,1682.7739086729105
61.0,10068.781364940514,1683.327310462225
62.0,10200.353929676585,1683.8811578032255
63.0,10331.927430887807,1684.4354506959128
64.0,10461.75244140625,1683.568359375
65.0,10595.077242735704,1685.5453731363468
66.0,10726.65355337238,1686.1010026840934
67.0,10858.230800484205,1686.6570777835266
68.0,10989.808984071184,1687.2135984346462
69.0,11121.38810413331,1687.7705646374523
70.0,11252.96816067059,1688.327976391945
71.0,11384.549153683021,1688.8858336981239
72.0,11516.131083170601,1689.4441365559894
73.0,11647.713949133335,1690.0028849655414
74.0,11779.29775157122,1690.5620789267798
75.0,11910.882490484251,1691.1217184397049
76.0,12042.468165872438,1691.6818035043161
77.0,12174.054777735775,1692.242334120614
78.0,12305.642326074261,1692.8033102885984
79.0,12437.230810887899,1693.3647320082691
80.0,12569.15771484375,1694.1298828125
81.0,12700.41058994063,1694.4889121026704
82.0,12832.001884179721,1695.0516704774006
83.0,12963.594114893966,1695.6148744038173
84.0,13095.187282083358,1696.1785238819205
85.0,13226.781385747901,1696.74261891171
86.0,13358.376425887598,1697.3071594931862
87.0,13489.972402502444,1697.8721456263488
88.0,13621.569315592442,1698.4375773111979
89.0,13753.16716515759,1699.0034545477336
90.0,13884.76595119789,1699.5697773359555
91.0,14016.36567371334,1700.136545675864
92.0,14147.966332703942,1700.703759567459
93.0,14279.567928169696,1701.2714190107404
94.0,14411.1704601106,1701.8395240057082
95.0,14542.773928526653,1702.4080745523627
96.0,14675.9375,1704.62841796875
97.0,14805.983674784216,1703.546512300731
98.0,14937.589952625724,1704.1163995024447
99.0,15069.197166942382,1704.686732255845
100.0,15200.805317734194,1705.2575105609317
101.0,15332.414405001153,1705.828734417705
102.0,15464.024428743263,1706.4004038261646
103.0,15595.635388960529,1706.9725187863107
104.0,15727.247285652942,1707.5450792981435
105.0,15858.860118820505,1708.1180853616625
106.0,15990.47388846322,1708.691536976868
107.0,16122.08859458109,1709.26543414376
108.0,16253.704237174106,1709.8397768623388
109.0,16385.320816242274,1710.4145651326037
110.0,16516.938331785597,1710.9897989545552
111.0,16648.556783804066,1711.5654783281932
112.0,16779.06103515625,1711.033203125
113.0,16911.796497266463,1712.7181737305284
114.0,17043.417758710384,1713.2951897592259
115.0,17175.039956629458,1713.8726513396098
