batch_size,peak,persistent
1.0,578.5517578125,335.7353515625
2.0,810.759765625,336.57421875
3.0,1047.24169921875,341.29296875
4.0,1275.40478515625,338.818359375
5.0,1509.60498046875,339.96923828125
6.0,1741.1865234375,343.00341796875
7.0,1974.59765625,342.70751953125
8.0,2206.88037109375,343.80615234375
9.0,2433.01513671875,341.072265625
10.0,2663.31640625,343.43408203125
11.0,2899.43017578125,345.07666015625
12.0,3126.76806640625,344.89892578125
13.0,3361.07177734375,347.50830078125
14.0,3599.66455078125,355.02490234375
15.0,3842.31884765625,348.25146484375
16.0,4053.18603515625,347.16162109375
17.0,4284.8583984375,348.24853515625
18.0,4516.4462890625,348.10888671875
19.0,4751.29296875,353.36083984375
20.0,4993.77294921875,348.25146484375
21.0,5212.83349609375,351.6328125
22.0,5445.00439453125,349.6943359375
23.0,5673.501953125,351.34521484375
24.0,5902.228515625,346.44775390625
25.0,6138.23583984375,350.724609375
26.0,6375.4990234375,352.40869140625
27.0,6620.38671875,353.85205078125
28.0,6845.6845703125,360.65673828125
29.0,7109.8564453125,360.22705078125
30.0,7327.9208984375,361.1396484375
31.0,7562.2177734375,358.1484375
32.0,7791.23095703125,358.8486328125
33.0,8029.6728515625,358.98193359375
34.0,8257.330078125,360.31787109375
35.0,8469.33447265625,360.13427734375
36.0,8701.05078125,361.63525390625
37.0,8953.1982421875,360.6904296875
38.0,9194.7314453125,361.30029296875
39.0,9415.2353515625,362.451171875
40.0,9652.29248046875,361.1923828125
41.0,9873.20556640625,364.423828125
42.0,10124.68359375,366.2138671875
43.0,10331.45849609375,364.45361328125
44.0,10582.41845545429,365.6530587865781
45.0,10807.96435546875,366.39501953125
46.0,11049.8958578908,366.8045450464012
47.0,11283.710343053064,367.37527168167406
48.0,11517.575350844665,367.94265398718784
49.0,11751.490881265603,368.5066919629425
50.0,11985.45693431588,369.067385608938
51.0,12219.473509995494,369.6247349251745
52.0,12453.540608304447,370.1787399116518
53.0,12687.65822924274,370.72940056837
54.0,12921.826372810368,371.27671689532906
55.0,13156.045039007335,371.82068889252906
56.0,13390.314227833638,372.3613165599699
57.0,13624.633939289282,372.89859989765165
58.0,13859.004173374264,373.4325389055743
59.0,14093.424930088582,373.96313358373783
60.0,14327.896209432241,374.4903839321422
61.0,14562.418011405236,375.01428995078754
62.0,14796.990336007568,375.53485163967366
63.0,15031.61318323924,376.05206899880073
64.0,15266.28655310025,376.5659420281687
65.0,15501.010445590597,377.0764707277775
66.0,15735.784860710282,377.58365509762723
67.0,15970.609798459305,378.08749513771784
68.0,16205.485258837667,378.58799084804934
69.0,16440.411241845366,379.08514222862175
70.0,16675.387747482404,379.578949279435
71.0,16910.414775748777,380.06941200048914
72.0,17145.492326644493,380.5565303917842
73.0,17380.620400169544,381.04030445332006
74.0,17615.798996323938,381.5207341850969
75.0,17851.028115107663,381.9978195871146
76.0,18086.307756520728,382.47156065937315
77.0,18321.637920563135,382.9419574018726
78.0,18557.018607234873,383.409009814613
79.0,18792.449816535955,383.8727178975942
80.0,19027.93154846637,384.3330816508163
81.0,19263.46380302613,384.79010107427933
82.0,19499.04658021522,385.24377616798324
83.0,19734.679880033655,385.694106931928
84.0,19970.363702481427,386.1410933661137
85.0,20206.09804755853,386.58473547054024
86.0,20441.88291526498,387.0250332452076
87.0,20677.718305600763,387.46198669011596
88.0,20913.604218565884,387.8955958052652
89.0,21149.540654160348,388.3258605906553
90.0,21385.527612384143,388.75278104628626
91.0,21621.56509323728,389.17635717215813
92.0,21857.653096719754,389.5965889682709
93.0,22093.79162283157,390.0134764346245
94.0,22329.98067157272,390.42701957121903
95.0,22566.220242943207,390.83721837805444
96.0,22802.510336943036,391.24407285513075
97.0,23038.850953572197,391.6475830024479
98.0,23275.242092830704,392.047748820006
99.0,23511.683754718542,392.44457030780495
100.0,23748.17593923572,392.8380474658448
101.0,23984.71864638224,393.22818029412554
102.0,24221.31187615809,393.6149687926471
103.0,24457.955628563286,393.9984129614096
104.0,24694.649903597816,394.378512800413
105.0,24931.394701261685,394.75526830965725
106.0,25168.190021554892,395.1286794891424
107.0,25405.03586447744,395.49874633886844
108.0,25641.932230029324,395.86546885883536
109.0,25878.87911821054,396.22884704904317
110.0,26115.876529021105,396.5888809094919
111.0,26352.924462461,396.9455704401815
112.0,26590.022918530234,397.29891564111193
113.0,26827.171897228807,397.6489165122833
114.0,27064.37139855672,397.9955730536955
115.0,27301.62142251397,398.33888526534867
116.0,27538.921969100556,398.67885314724265
117.0,27776.27303831648,399.0154766993776
118.0,28013.674630161746,399.34875592175337
119.0,28251.126744636345,399.67869081437004
120.0,28488.629381740287,400.00528137722756
121.0,28726.182541473565,400.32852761032603
122.0,28963.78622383618,400.64842951366535
123.0,29201.440428828133,400.96498708724556
124.0,29439.145156449424,401.27820033106667
125.0,29676.900406700057,401.5880692451286
126.0,29914.706179580022,401.8945938294315
127.0,30152.56247508933,402.1977740839753
128.0,30390.469293227972,402.4976100087599
129.0,30628.426633995954,402.7941016037854
130.0,30866.434497393275,403.0872488690519
131.0,31104.49288341993,403.3770518045592
132.0,31342.60179207593,403.66351041030737
133.0,31580.761223361264,403.94662468629645
134.0,31818.971177275933,404.22639463252636
135.0,32057.231653819945,404.5028202489972
136.0,32295.542652993292,404.77590153570895
137.0,32533.90417479598,405.04563849266157
138.0,32772.316219228,405.3120311198551
139.0,33010.778786289375,405.57507941728943
140.0,33249.29187598007,405.83478338496474
141.0,33487.855488300105,406.0911430228809
142.0,33726.46962324948,406.34415833103793
143.0,33965.1342808282,406.5938293094359
144.0,34203.849461036254,406.84015595807466
145.0,34442.61516387364,407.0831382769544
146.0,34681.43138934037,407.322776266075
147.0,34920.29813743643,407.55906992543646
148.0,35159.21540816184,407.7920192550388
149.0,35398.183201516586,408.02162425488206
150.0,35637.20151750067,408.2478849249662
151.0,35876.27035611408,408.4708012652912
152.0,36115.38971735684,408.6903732758571
153.0,36354.55960122894,408.9066009566639
154.0,36593.78000773037,409.11948430771156
155.0,36833.05093686114,409.3290233290001
156.0,37072.37238862125,409.53521802052956
157.0,37311.7443630107,409.7380683822999
158.0,37551.16686002949,409.93757441431114
159.0,37790.639879677605,410.1337361165632
160.0,38030.16342195507,410.3265534890562
161.0,38269.737486861864,410.5160265317901
162.0,38509.36207439801,410.70215524476487
163.0,38749.03718456348,410.88493962798054
164.0,38988.76281735829,411.06437968143706
165.0,39228.538972782444,411.2404754051345
166.0,39468.36565083593,411.41322679907273
167.0,39708.242851518764,411.582633863252
168.0,39948.170574830925,411.74869659767205
169.0,40188.14882077243,411.911415002333
170.0,40428.17758934327,412.07078907723485
171.0,40668.25688054345,412.2268188223776
172.0,40908.38669437297,412.3795042377612
173.0,41148.56703083183,412.5288453233857
174.0,41388.79788992002,412.6748420792511
175.0,41629.07927163755,412.8174945053574
176.0,41869.411175984416,412.95680260170457
177.0,42109.79360296063,413.0927663682926
178.0,42350.22655256618,413.2253858051215
179.0,42590.71002480106,413.3546609121913
180.0,42831.244019665275,413.48059168950203
181.0,43071.828537158835,413.60317813705365
182.0,43312.46357728174,413.72242025484616
183.0,43553.14914003397,413.8383180428795
184.0,43793.88522541555,413.95087150115376
185.0,44034.67183342646,414.0600806296689
186.0,44275.508964066714,414.16594542842495
187.0,44516.3966173363,414.26846589742183
188.0,44757.334793235226,414.3676420366596
189.0,44998.32349176349,414.4634738461383
190.0,45239.362712921094,414.5559613258579
191.0,45480.45245670804,414.64510447581836
192.0,45721.59272312431,414.7309032960197
193.0,45962.78351216993,414.8133577864619
194.0,46204.024823844884,414.89246794714495
195.0,46445.316658149175,414.96823377806896
196.0,46686.65901508281,415.0406552792339
197.0,46928.05189464578,415.1097324506396
198.0,47169.49529683808,415.1754652922863
199.0,47410.98922165973,415.2378538041738
200.0,47652.53366911071,415.29689798630227
201.0,47894.12863919103,415.35259783867156
202.0,48135.77413190069,415.40495336128174
203.0,48377.470147239685,415.4539645541329
204.0,48619.21668520802,415.4996314172248
205.0,48861.01374580569,415.5419539505576
206.0,49102.86132903271,415.5809321541314
207.0,49344.759434889056,415.616566027946
208.0,49586.70806337475,415.64885557200154
209.0,49828.70721448977,415.67780078629795
210.0,50070.75688823413,415.7034016708352
211.0,50312.85708460784,415.7256582256134
212.0,50555.007803610875,415.7445704506324
213.0,50797.20904524325,415.76013834589236
214.0,51039.46080950496,415.7723619113932
215.0,51281.763096396026,415.78124114713495
216.0,51524.11590591641,415.78677605311753
217.0,51766.51923806614,415.788966629341
218.0,52008.973092845205,415.78781287580534
219.0,52251.47747025361,415.7833147925106
220.0,52494.03237029136,415.7754723794568
221.0,52736.63779295844,415.7642856366438
222.0,52979.29373825486,415.74975456407174
223.0,53222.000206180615,415.7318791617405
224.0,53464.75719673571,415.7106594296502
225.0,53707.56470992015,415.6860953678008
226.0,53950.42274573392,415.65818697619227
227.0,54193.33130417703,415.62693425482456
228.0,54436.29038524948,415.5923372036978
229.0,54679.29998895126,415.5543958228119
230.0,54922.36011528239,415.51311011216694
231.0,55165.47076424285,415.4684800717628
232.0,55408.63193583265,415.4205057015996
233.0,55651.843630051786,415.36918700167723
234.0,55895.10584690026,415.31452397199575
235.0,56138.41858637808,415.2565166125552
236.0,56381.78184848523,415.1951649233555
237.0,56625.19563322172,415.13046890439676
238.0,56868.659940587546,415.0624285556788
239.0,57112.174770582715,414.9910438772018
240.0,57355.74012320722,414.9163148689656
241.0,57599.35599846106,414.8382415309704
242.0,57843.02239634424,414.756823863216
243.0,58086.73931685676,414.6720618657026
244.0,58330.50675999862,414.58395553842996
245.0,58574.32472576982,414.49250488139825
246.0,58818.19321417035,414.39770989460743
247.0,59062.11222520022,414.29957057805746
248.0,59306.08175885942,414.19808693174843
249.0,59550.10181514798,414.09325895568026
250.0,59794.17239406586,413.985086649853
251.0,60038.293495613085,413.8735700142666
252.0,60282.46511978964,413.75870904892105
253.0,60526.68726659554,413.64050375381646
254.0,60770.959936030784,413.5189541289527
255.0,61015.283128095354,413.39406017432987
256.0,61259.65684278927,413.2658218899479
