batch_size,peak,persistent
1.0,153.0986328125,102.203125
2.0,199.4267578125,104.6201171875
3.0,247.23291015625,107.0732421875
4.0,294.33447265625,108.27587890625
5.0,343.59375,110.35888671875
6.0,389.03955078125,111.9296875
7.0,435.57275390625,112.810546875
8.0,484.0771484375,114.2666015625
9.0,533.9697265625,116.30029296875
10.0,582.1220703125,117.6953125
11.0,625.37255859375,118.5341796875
12.0,672.08837890625,119.81689453125
13.0,721.16748046875,120.6201171875
14.0,769.4853515625,123.86376953125
15.0,818.283203125,125.888671875
16.0,862.7177734375,126.111328125
17.0,905.83056640625,127.41357421875
18.0,955.19580078125,130.119140625
19.0,1003.5478515625,130.80859375
20.0,1054.0732421875,132.7763671875
21.0,1098.94921875,134.056640625
22.0,1148.36962890625,135.9716796875
23.0,1197.07861328125,139.72021484375
24.0,1235.50146484375,137.98681640625
25.0,1290.67578125,140.5869140625
26.0,1333.4970703125,141.1259765625
27.0,1388.06591796875,142.3740234375
28.0,1426.037109375,142.2744140625
29.0,1477.1748046875,145.87109375
30.0,1530.4736328125,148.78271484375
31.0,1575.9697265625,147.27880859375
32.0,1623.66357421875,151.51708984375
33.0,1664.57177734375,151.16748046875
34.0,1718.71728515625,154.34765625
35.0,1767.33447265625,155.28515625
36.0,1809.32763671875,157.4384765625
37.0,1861.7705078125,159.96044921875
38.0,1908.34423828125,158.689453125
39.0,1950.56298828125,159.7734375
40.0,2004.6611328125,161.8037109375
41.0,2045.787109375,164.8095703125
42.0,2097.41162109375,166.73046875
43.0,2141.58349609375,167.5986328125
44.0,2189.18701171875,168.82763671875
45.0,2229.16552734375,169.7255859375
46.0,2284.7509765625,170.93017578125
47.0,2337.97900390625,172.28125
48.0,2381.244140625,174.0751953125
49.0,2421.892578125,175.2734375
50.0,2465.61767578125,176.2734375
51.0,2514.5927734375,178.70947265625
52.0,2558.951171875,179.0927734375
53.0,2613.2841796875,180.671875
54.0,2657.5205078125,183.13525390625
55.0,2707.82421875,184.01123046875
56.0,2752.77978515625,185.04541015625
57.0,2799.0458984375,185.86181640625
58.0,2853.537109375,189.17138671875
59.0,2900.97216796875,189.3271484375
60.0,2945.6357421875,192.0830078125
61.0,2992.2216796875,193.2314453125
62.0,3040.5029296875,193.56787109375
63.0,3084.904296875,195.849609375
64.0,3133.43408203125,197.48095703125
65.0,3178.64697265625,198.76025390625
66.0,3223.3095703125,201.4052734375
67.0,3278.57666015625,201.78173828125
68.0,3329.7958984375,205.27685546875
69.0,3371.37646484375,205.978515625
70.0,3418.47412109375,205.40966796875
71.0,3464.744140625,206.85888671875
72.0,3505.35009765625,210.67138671875
73.0,3557.94921875,210.8916015625
74.0,3601.1123046875,212.20458984375
75.0,3652.22998046875,215.42431640625
76.0,3693.61279296875,214.3857421875
77.0,3743.48828125,216.28466796875
78.0,3788.12890625,217.94189453125
79.0,3844.16064453125,220.3046875
80.0,3893.62841796875,220.32080078125
81.0,3934.673828125,223.7783203125
82.0,3986.28955078125,223.33447265625
83.0,4028.98486328125,226.0078125
84.0,4072.66748046875,227.39892578125
85.0,4124.31298828125,228.974609375
86.0,4170.896484375,231.1796875
87.0,4217.21875,231.85791015625
88.0,4265.4501953125,231.5732421875
89.0,4316.71826171875,237.03271484375
90.0,4358.2392578125,235.791015625
91.0,4408.41455078125,237.2314453125
92.0,4457.32763671875,241.3310546875
93.0,4500.33740234375,239.78173828125
94.0,4549.0947265625,241.904296875
95.0,4595.916015625,243.06005859375
96.0,4644.150390625,245.564453125
97.0,4694.03076171875,246.025390625
98.0,4739.07421875,247.86083984375
99.0,4783.5068359375,249.8857421875
100.0,4831.92138671875,251.5947265625
101.0,4878.47265625,251.65087890625
102.0,4929.517578125,253.26220703125
103.0,4973.734375,255.86865234375
104.0,5017.05517578125,256.27197265625
105.0,5064.06298828125,258.60009765625
106.0,5113.0400390625,258.85205078125
107.0,5157.916015625,261.51904296875
108.0,5210.373046875,263.6708984375
109.0,5252.8505859375,264.48388671875
110.0,5297.4326171875,265.13427734375
111.0,5348.1484375,266.6748046875
112.0,5400.75439453125,267.93505859375
113.0,5447.9150390625,269.7666015625
114.0,5495.8837890625,272.63720703125
115.0,5542.76953125,271.732421875
116.0,5581.76318359375,272.841796875
117.0,5633.25048828125,277.40283203125
118.0,5680.26708984375,277.01513671875
119.0,5724.5244140625,279.0869140625
120.0,5768.0361328125,279.5390625
121.0,5819.5810546875,281.54931640625
122.0,5867.0166015625,281.658203125
123.0,5904.701171875,283.6357421875
124.0,5963.70556640625,286.6474609375
125.0,6006.87451171875,287.6328125
126.0,6060.154296875,288.9169921875
127.0,6109.958984375,290.5380859375
128.0,6152.1923828125,293.4716796875
129.0,6196.91552734375,294.53857421875
130.0,6245.93310546875,297.271484375
131.0,6285.8291015625,297.37939453125
132.0,6342.17724609375,299.08544921875
133.0,6388.1435546875,300.89599609375
134.0,6432.38525390625,300.1826171875
135.0,6482.4853515625,304.455078125
136.0,6525.7265625,306.7119140625
137.0,6579.4384765625,306.787109375
138.0,6616.55615234375,308.818359375
139.0,6670.017578125,308.69482421875
140.0,6718.77685546875,311.74267578125
141.0,6760.6005859375,312.1611328125
142.0,6808.33544921875,314.58251953125
143.0,6852.2109375,316.158203125
144.0,6909.52734375,316.2822265625
145.0,6962.67431640625,321.2138671875
146.0,6996.02099609375,318.93701171875
147.0,7045.96044921875,323.4658203125
148.0,7090.62890625,322.02392578125
149.0,7138.35302734375,325.1748046875
150.0,7190.24365234375,326.68408203125
151.0,7226.556640625,326.71337890625
152.0,7286.45361328125,329.03076171875
153.0,7323.552734375,329.75830078125
154.0,7376.11328125,329.31298828125
155.0,7426.580078125,334.48486328125
156.0,7473.18359375,335.49169921875
157.0,7516.279296875,336.8173828125
158.0,7572.20849609375,337.95556640625
159.0,7616.8720703125,339.46826171875
160.0,7665.81298828125,341.13134765625
161.0,7718.8271484375,340.59228515625
162.0,7764.22021484375,344.830078125
