batch_size,peak,persistent
1.0,659.2816548484436,522.8079278673446
2.0,779.8526517596275,523.189314705985
3.0,900.4620141711252,523.5749222346716
4.0,1021.1097420829369,523.9647504534041
5.0,1141.7958354950624,524.3587993621827
6.0,1262.5202944075018,524.7570689610073
7.0,1383.283118820255,525.159559249878
8.0,1504.0843087333224,525.5662702287947
9.0,1624.9238641467032,525.9772018977575
10.0,1745.801785060398,526.3923542567662
11.0,1866.718071474407,526.811727305821
12.0,1987.6727233887295,527.235321044922
13.0,2108.665740803366,527.6631354740688
14.0,2229.697123718317,528.0951705932617
15.0,2350.7668721335813,528.5314264025008
16.0,2473.947265625,530.04150390625
17.0,2593.0214654650513,529.4166000911168
18.0,2714.2063103812575,529.8655179704939
19.0,2835.429520797777,530.318656539917
20.0,2956.691096714611,530.7760157993862
21.0,3077.9910381317586,531.2375957489014
22.0,3199.32934504922,531.7033963884627
23.0,3320.706017466996,532.1734177180699
24.0,3442.121055385085,532.6476597377232
25.0,3563.574458803488,533.1261224474226
26.0,3685.0662277222054,533.608805847168
27.0,3806.5963621412366,534.0957099369595
28.0,3928.1648620605815,534.5868347167968
29.0,4049.7717274802403,535.0821801866804
30.0,4171.416958400213,535.58174634661
31.0,4293.100554820499,536.0855331965855
32.0,4412.00830078125,533.8525390625
33.0,4536.582844162014,537.1057689666748
34.0,4658.381537083242,537.6222178867885
35.0,4780.2185955047835,538.1428874969482
36.0,4902.0940194266395,538.667777797154
37.0,5024.00780884881,539.1968887874058
38.0,5145.959963771294,539.7302204677037
39.0,5267.950484194091,540.2677728380476
40.0,5389.979370117203,540.8095458984375
41.0,5512.046621540628,541.3555396488734
42.0,5634.152238464368,541.9057540893555
43.0,5756.29622088842,542.4601892198834
44.0,5878.478568812788,543.0188450404576
45.0,6000.699282237469,543.5817215510776
46.0,6122.958361162463,544.1488187517438
47.0,6245.255805587772,544.7201366424559
48.0,6363.6005859375,547.10107421875
49.0,6489.965790939331,545.8754344940185
50.0,6612.3783318655815,546.4594144548688
51.0,6734.829238292145,547.0476151057651
52.0,6857.318510219024,547.6400364467075
53.0,6979.846147646216,548.2366784776959
54.0,7102.412150573722,548.8375411987304
55.0,7225.016519001541,549.4426246098109
56.0,7347.659252929675,550.0519287109374
57.0,7470.340352358123,550.6654535021099
58.0,7593.059817286884,551.2831989833286
59.0,7715.8176477159595,551.9051651545932
60.0,7838.613843645348,552.5313520159038
61.0,7961.448405075052,553.1617595672607
62.0,8084.321332005069,553.7963878086634
63.0,8207.2326244354,554.4352367401121
64.0,8338.31787109375,555.412109375
65.0,8453.170305797004,555.7255966731478
66.0,8576.196694728274,556.3771076747348
67.0,8699.261449159862,557.0328393663677
68.0,8822.364569091762,557.6927917480467
69.0,8945.506054523976,558.3569648197717
70.0,9068.685905456503,559.0253585815428
71.0,9191.904121889347,559.6979730333599
72.0,9315.160703822501,560.374808175223
73.0,9438.455651255972,561.0558640071322
74.0,9561.788964189756,561.7411405290875
75.0,9685.160642623854,562.4306377410887
76.0,9808.570686558265,563.1243556431359
77.0,9932.01909599299,563.8222942352293
78.0,10055.505870928027,564.5244535173687
79.0,10179.031011363382,565.230833489554
80.0,10299.19189453125,565.4736328125
81.0,10426.196388735028,566.656255504063
82.0,10549.836625671323,567.3752975463865
83.0,10673.515228107932,568.098560278756
84.0,10797.232196044853,568.8260437011717
85.0,10920.987529482092,569.5577478136332
86.0,11044.78122841964,570.293672616141
87.0,11168.613292857506,571.0338181086946
88.0,11292.483722795685,571.7781842912943
89.0,11416.392518234174,572.5267711639401
90.0,11540.33967917298,573.2795787266319
91.0,11664.325205612102,574.0366069793698
92.0,11788.349097551534,574.7978559221538
93.0,11912.41135499128,575.5633255549836
94.0,12036.511977931343,576.3330158778597
95.0,12160.650966371719,577.1069268907817
96.0,12284.828320312408,577.8850585937497
97.0,12409.044039753411,578.6674109867638
98.0,12533.298124694727,579.453984069824
99.0,12657.590575136357,580.24477784293
100.0,12781.921391078304,581.0397923060823
101.0,12906.29057252056,581.8390274592805
102.0,13030.698119463133,582.6424833025247
103.0,13155.14403190602,583.450159835815
104.0,13279.62830984922,584.2620570591514
105.0,13404.150953292734,585.0781749725338
106.0,13528.71196223656,585.8985135759623
107.0,13653.311336680705,586.7230728694367
108.0,13777.949076625158,587.5518528529572
109.0,13902.625182069929,588.3848535265238
110.0,14027.339653015013,589.2220748901364
111.0,14152.09248946041,590.063516943795
112.0,14276.883691406121,590.9091796874995
113.0,14401.713258852145,591.7590631212503
114.0,14526.581191798487,592.6131672450471
115.0,14651.487490245137,593.4714920588898
116.0,14776.432154192105,594.3340375627786
117.0,14901.415183639387,595.2008037567134
118.0,15026.436578586981,596.0717906406943
119.0,15151.49633903489,596.9469982147212
120.0,15276.59446498311,597.8264264787942
121.0,15401.730956431646,598.7100754329132
122.0,15526.905813380497,599.5979450770782
123.0,15652.119035829663,600.4900354112892
124.0,15777.370623779138,601.3863464355464
125.0,15902.66057722893,602.2868781498496
126.0,16027.988896179038,603.1916305541987
127.0,16153.355580629457,604.100603648594
128.0,16278.76063058019,605.0137974330352
129.0,16404.20404603124,605.9312119075225
130.0,16529.685826982597,606.8528470720559
131.0,16655.205973434273,607.7787029266352
132.0,16780.764485386262,608.7087794712606
133.0,16906.361362838565,609.6430767059321
134.0,17031.99660579118,610.5815946306495
135.0,17157.67021424411,611.5243332454131
136.0,17283.382188197353,612.4712925502226
137.0,17409.132527650912,613.4224725450782
138.0,17534.921232604785,614.3778732299799
139.0,17660.748303058972,615.3374946049275
140.0,17786.61373901347,616.3013366699213
141.0,17912.517540468285,617.2693994249611
142.0,18038.45970742341,618.2416828700468
143.0,18164.440239878855,619.2181870051786
144.0,18290.45913783461,620.1989118303566
145.0,18416.51640129068,621.1838573455805
146.0,18542.612030247063,622.1730235508503
147.0,18668.74602470376,623.1664104461663
148.0,18794.91838466077,624.1640180315284
149.0,18921.129110118098,625.1658463069364
150.0,19047.378201075735,626.1718952723905
151.0,19173.66565753369,627.1821649278907
152.0,19299.991479491953,628.1966552734368
153.0,19426.355666950534,629.215366309029
154.0,19552.75821990943,630.2382980346673
155.0,19679.199138368636,631.2654504503515
156.0,19805.67842232816,632.2968235560819
157.0,19932.196071787996,633.3324173518582
158.0,20058.752086748147,634.3722318376806
159.0,20185.34646720861,635.416267013549
160.0,20311.979213169387,636.4645228794635
161.0,20438.65032463048,637.516999435424
162.0,20565.359801591883,638.5736966814306
163.0,20692.107644053605,639.6346146174832
164.0,20818.893852015637,640.6997532435818
165.0,20945.718425477986,641.7691125597264
166.0,21072.581364440644,642.8426925659172
167.0,21199.48266890362,643.920493262154
168.0,21326.42233886691,645.0025146484367
169.0,21453.40037433051,646.0887567247655
170.0,21580.41677529443,647.1792194911403
171.0,21707.47154175866,648.2739029475613
172.0,21834.564673723205,649.3728070940282
173.0,21961.69617118806,650.4759319305412
174.0,22088.866034153234,651.5832774571002
175.0,22216.07426261872,652.6948436737052
176.0,22343.32085658452,653.8106305803562
177.0,22470.605816050633,654.9306381770534
178.0,22597.929141017063,656.0548664637965
179.0,22725.290831483802,657.1833154405857
180.0,22852.69088745086,658.3159851074209
181.0,22980.12930891823,659.4528754643022
182.0,23107.606095885913,660.5939865112296
183.0,23235.12124835391,661.7393182482028
184.0,23362.67476632222,662.8888706752223
185.0,23490.266649790843,664.0426437922877
186.0,23617.896898759784,665.2006375993992
187.0,23745.565513229038,666.3628520965567
188.0,23873.2724931986,667.5292872837601
189.0,24001.017838668482,668.6999431610097
190.0,24128.801549638676,669.8748197283053
191.0,24256.623626109184,671.053916985647
192.0,24384.484068080008,672.2372349330346
193.0,24512.382875551142,673.4247735704685
194.0,24640.320048522593,674.6165328979482
195.0,24768.295586994358,675.8125129154739
196.0,24896.309490966436,677.0127136230458
197.0,25024.361760438827,678.2171350206637
198.0,25152.452395411532,679.4257771083276
199.0,25280.58139588455,680.6386398860375
200.0,25408.748761857885,681.8557233537936
201.0,25536.95449333153,683.0770275115956
202.0,25665.198590305492,684.3025523594437
203.0,25793.481052779767,685.5322978973377
204.0,25921.801880754356,686.7662641252779
205.0,26050.161074229258,688.004451043264
206.0,26178.558633204473,689.2468586512963
207.0,26306.994557680006,690.4934869493745
208.0,26435.468847655848,691.7443359374988
209.0,26563.981503132007,692.9994056156692
210.0,26692.53252410848,694.2586959838854
211.0,26821.121910585265,695.5222070421479
212.0,26949.749662562364,696.7899387904564
213.0,27078.415780039777,698.0618912288109
214.0,27207.120263017507,699.3380643572114
215.0,27335.863111495546,700.6184581756579
216.0,27464.644325473902,701.9030726841505
217.0,27593.463904952572,703.1919078826892
218.0,27722.321849931555,704.4849637712739
219.0,27851.218160410852,705.7822403499046
220.0,27980.15283639046,707.0837376185813
221.0,28109.12587787039,708.389455577304
222.0,28238.137284850625,709.6993942260729
223.0,28367.18705733118,711.0135535648878
224.0,28496.275195312046,712.3319335937487
225.0,28625.401698793226,713.6545343126556
226.0,28754.56656777472,714.9813557216086
227.0,28883.769802256527,716.3123978206077
228.0,29013.01140223865,717.6476606096526
229.0,29142.291367721085,718.9871440887437
230.0,29271.609698703836,720.3308482578809
231.0,29400.9663951869,721.678773117064
232.0,29530.36145717028,723.0309186662932
233.0,29659.79488465397,724.3872849055684
234.0,29789.266677637974,725.7478718348898
235.0,29918.77683612229,727.112679454257
236.0,30048.325360106926,728.4817077636703
237.0,30177.91224959187,729.8549567631298
238.0,30307.537504577132,731.2324264526352
239.0,30437.201125062707,732.6141168321867
240.0,30566.903111048596,734.0000279017843
241.0,30696.643462534797,735.3901596614278
242.0,30826.422179521316,736.7845121111174
243.0,30956.239262008145,738.183085250853
244.0,31086.09470999529,739.5858790806346
245.0,31215.98852348275,740.9928936004624
246.0,31345.92070247052,742.404128810336
247.0,31475.891246958607,743.8195847102559
248.0,31605.900156947006,745.2392613002216
249.0,31735.947432435718,746.6631585802335
250.0,31866.033073424747,748.0912765502914
251.0,31996.157079914086,749.5236152103953
252.0,32126.319451903742,750.9601745605453
253.0,32256.520189393712,752.4009546007412
254.0,32386.759292383995,753.8459553309833
255.0,32517.03676087459,755.2951767512714
256.0,32647.3525948655,756.7486188616055
