batch_size,peak,persistent
1.0,387.6930826731546,292.18307290758344
2.0,496.0033478872584,292.71284844534676
3.0,604.3090182985057,293.24381880078937
4.0,712.6100939068966,293.77598397391125
5.0,820.906574712431,294.30934396471235
6.0,929.198460715109,294.8438987731928
7.0,1037.4857519149307,295.37964839935245
8.0,1145.7684483118956,295.9165928431914
9.0,1254.0465499060042,296.4547321047096
10.0,1362.3200566972566,296.9940661839071
11.0,1470.5889686856522,297.53459508078384
12.0,1578.8532858711915,298.0763187953399
13.0,1687.1130082538743,298.61923732757515
14.0,1795.3681358337008,299.1633506774897
15.0,1903.6186686106707,299.70865884508356
16.0,2015.42041015625,300.1591796875
17.0,2120.105949756041,300.802859633309
18.0,2228.342698124442,301.3517522539406
19.0,2336.574851689986,301.90183969225154
20.0,2444.8024104526735,302.4531219482417
21.0,2553.025374412505,303.00559902191117
22.0,2661.2437435694796,303.55927091325987
23.0,2769.4575179235976,304.11413762228784
24.0,2877.6666974748596,304.6701991489951
25.0,2985.871282223265,305.2274554933816
26.0,3094.0712721688137,305.7859066554474
27.0,3202.266667311507,306.34555263519246
28.0,3310.457467651343,306.90639343261677
29.0,3418.6436731883223,307.4684290477204
30.0,3526.8252839224456,308.03165948050327
31.0,3635.002299853712,308.5960847309654
32.0,3740.4814453125,309.53271484375
33.0,3851.3425473076763,309.72851968492745
34.0,3959.5057788303734,310.2965293884274
35.0,4067.6644155502145,310.8657339096066
36.0,4175.818457467199,311.43613324846507
37.0,4283.967904581326,312.0077274050028
38.0,4392.112756892599,312.58051637921983
39.0,4500.253014401013,313.1545001711161
40.0,4608.388677106573,313.7296787806917
41.0,4716.519745009274,314.3060522079465
42.0,4824.64621810912,314.8836204528806
43.0,4932.76809640611,315.46238351549397
44.0,5040.885379900242,316.0423413957866
45.0,5148.998068591519,316.6234940937585
46.0,5257.106162479939,317.2058416094097
47.0,5365.209661565503,317.78938394274013
48.0,5463.35498046875,318.09375
49.0,5581.40287532806,318.9600530624388
50.0,5689.492590005054,319.54717984880705
51.0,5797.577709879191,320.13550145285456
52.0,5905.658234950472,320.72501787458134
53.0,6013.734165218897,321.3157291139874
54.0,6121.805500684466,321.9076351710727
55.0,6229.872241347178,322.5007360458373
56.0,6337.934387207033,323.0950317382812
57.0,6445.991938264032,323.6905222484043
58.0,6554.044894518175,324.2872075762067
59.0,6662.09325596946,324.88508772168836
60.0,6770.137022617891,325.4841626848493
61.0,6878.176194463463,326.08443246568953
62.0,6986.21077150618,326.685897064209
63.0,7094.24075374604,327.28855648040775
64.0,7212.728515625,327.46728515625
65.0,7310.286933817192,328.497459765843
66.0,7418.303131648482,329.10370363507957
67.0,7526.314734676917,329.7111423219954
68.0,7634.321742902494,330.3197758265905
69.0,7742.324156325217,330.9296041488648
70.0,7850.321974945081,331.5406272888185
71.0,7958.31519876209,332.15284524645136
72.0,8066.303827776242,332.7662580217635
73.0,8174.287861987538,333.38086561475495
74.0,8282.267301395976,333.99666802542566
75.0,8390.242146001561,334.61366525377565
76.0,8498.212395804287,335.2318572998049
77.0,8606.178050804157,335.8512441635134
78.0,8714.13911100117,336.4718258449012
79.0,8822.095576395326,337.09360234396826
80.0,8931.9775390625,338.40380859375
81.0,9037.994722775073,338.34073979514017
82.0,9145.93740376066,338.96610074724504
83.0,9253.87548994339,339.5926565170291
84.0,9361.808981323265,340.22040710449255
85.0,9469.737877900285,340.8493525096352
86.0,9577.662179674446,341.4794927324571
87.0,9685.58188664575,342.1108277729583
88.0,9793.4969988142,342.7433576311388
89.0,9901.407516179794,343.37708230699855
90.0,10009.313438742529,344.0120018005376
91.0,10117.214766502408,344.6481161117558
92.0,10225.111499459432,345.28542524065335
93.0,10333.003637613598,345.9239291872302
94.0,10440.891180964909,346.5636279514863
95.0,10548.774129513362,347.20452153342166
96.0,10653.35107421875,347.58984375
97.0,10764.5262422017,348.48989315033015
98.0,10872.395406341586,349.13437118530334
99.0,10980.259975678613,349.78004403795575
100.0,11088.119950212784,350.42691170828743
101.0,11195.9753299441,351.07497419629846
102.0,11303.826114872558,351.7242315019887
103.0,11411.672304998161,352.37468362535816
104.0,11519.513900320906,353.02633056640695
105.0,11627.350900840795,353.679172325135
106.0,11735.183306557828,354.3332089015423
107.0,11843.011117472006,354.9884402956289
108.0,11950.834333583325,355.6448665073948
109.0,12058.652954891788,356.30248753683986
110.0,12166.466981397396,356.96130338396426
111.0,12274.276413100146,357.62131404876794
