batch_size,peak,persistent
1.0,1963.0151003330097,1522.6283863918093
2.0,2009.6325754570548,1523.229194479278
3.0,2056.250118824548,1523.8298377668707
4.0,2102.8677304354883,1524.4303162545873
5.0,2149.485410289877,1525.0306299424278
6.0,2196.1031583877134,1525.6307788303923
7.0,2242.7209747289976,1526.2307629184809
8.0,2289.3388593137297,1526.8305822066934
9.0,2335.9568121419097,1527.4302366950299
10.0,2382.574833213537,1528.0297263834902
11.0,2429.192922528613,1528.6290512720748
12.0,2475.8110800871364,1529.228211360783
13.0,2522.4293058891076,1529.8272066496154
14.0,2569.0475999345267,1530.4260371385717
15.0,2615.6659622233938,1531.0247028276522
16.0,2662.580078125,1531.68896484375
17.0,2708.902891531471,1532.2215398061846
18.0,2755.5214585506815,1532.8197110956369
19.0,2802.1400938133393,1533.417717585213
20.0,2848.758797319446,1534.0155592749131
21.0,2895.3775690689995,1534.6132361647374
22.0,2941.9964090620015,1535.2107482546855
23.0,2988.615317298451,1535.8080955447576
24.0,3035.2342937783487,1536.4052780349537
25.0,3081.8533385016935,1537.0022957252736
26.0,3128.4724514684867,1537.5991486157177
27.0,3175.0916326787274,1538.1958367062857
28.0,3221.7108821324164,1538.7923599969777
29.0,3268.330199829553,1539.3887184877935
30.0,3314.9495857701377,1539.9849121787333
31.0,3361.56903995417,1540.5809410697973
32.0,3407.57861328125,1541.0625
33.0,3454.808153052578,1541.772504452297
34.0,3501.4278119669534,1542.3680389437327
35.0,3548.0475391247774,1542.9634086352924
36.0,3594.6673345260488,1543.5586135269762
37.0,3641.2871981707676,1544.153653618784
38.0,3687.907130058935,1544.7485289107155
39.0,3734.5271301905495,1545.3432394027711
40.0,3781.1471985656126,1545.9377850949509
41.0,3827.767335184123,1546.5321659872545
42.0,3874.387540046082,1547.126382079682
43.0,3921.007813151488,1547.7204333722336
44.0,3967.628154500342,1548.314319864909
45.0,4014.2485640926443,1548.9080415577084
46.0,4060.8690419283935,1549.501598450632
47.0,4107.489588007591,1550.0949905436794
48.0,4154.5146484375,1550.90478515625
49.0,4200.730884896329,1551.2812803301463
50.0,4247.351635705871,1551.8741780235655
51.0,4293.97245475886,1552.4669109171089
52.0,4340.593342055297,1553.0594790107762
53.0,4387.214297595181,1553.6518823045674
54.0,4433.835321378514,1554.2441207984828
55.0,4480.456413405294,1554.8361944925218
56.0,4527.077573675522,1555.428103386685
57.0,4573.698802189198,1556.0198474809722
58.0,4620.320098946322,1556.6114267753833
59.0,4666.941463946894,1557.2028412699185
60.0,4713.562897190914,1557.7940909645774
61.0,4760.184398678381,1558.3851758593605
62.0,4806.805968409296,1558.9760959542675
63.0,4853.427606383659,1559.5668512492987
64.0,4900.01318359375,1560.1220703125
65.0,4946.6710870627285,1560.7478674397325
66.0,4993.2929297674345,1561.3381283351355
67.0,5039.914840715589,1561.9282244306623
68.0,5086.536819907191,1562.5181557263131
69.0,5133.158867342241,1563.107922222088
70.0,5179.780983020739,1563.6975239179867
71.0,5226.403166942684,1564.2869608140095
72.0,5273.0254191080785,1564.8762329101562
73.0,5319.6477395169195,1565.465340206427
74.0,5366.270128169208,1566.0542827028216
75.0,5412.892585064946,1566.6430603993404
76.0,5459.515110204131,1567.231673295983
77.0,5506.137703586763,1567.8201213927496
78.0,5552.760365212844,1568.4084046896403
79.0,5599.383095082372,1568.9965231866547
80.0,5645.94970703125,1569.15234375
81.0,5692.6287595517715,1570.1722657810558
82.0,5739.251694151644,1570.7598898784422
83.0,5785.874696994963,1571.3473491759528
84.0,5832.497768081731,1571.934643673587
85.0,5879.120907411947,1572.5217733713455
86.0,5925.7441149856095,1573.1087382692278
87.0,5972.36739080272,1573.6955383672343
88.0,6018.99073486328,1574.2821736653646
89.0,6065.614147167285,1574.868644163619
90.0,6112.2376277147405,1575.4549498619972
91.0,6158.861176505643,1576.0410907604994
92.0,6205.484793539993,1576.6270668591255
93.0,6252.108478817791,1577.2128781578756
94.0,6298.732232339037,1577.7985246567498
95.0,6345.3560541037305,1578.384006355748
96.0,6391.8857421875,1579.18212890625
97.0,6438.603902363461,1579.5544753541162
98.0,6485.227928858499,1580.1394626534861
99.0,6531.852023596984,1580.7242851529802
100.0,6578.476186578917,1581.3089428525982
101.0,6625.100417804298,1581.89343575234
102.0,6671.724717273126,1582.477763852206
103.0,6718.3490849854015,1583.061927152196
104.0,6764.9735209411265,1583.6459256523099
105.0,6811.598025140299,1584.2297593525477
106.0,6858.222597582918,1584.8134282529095
107.0,6904.847238268986,1585.3969323533952
108.0,6951.471947198502,1585.980271654005
109.0,6998.096724371465,1586.5634461547388
110.0,7044.721569787876,1587.1464558555965
111.0,7091.346483447735,1587.7293007565781
112.0,7137.41552734375,1587.9306640625
113.0,7184.596515497797,1588.8944961589134
114.0,7231.221633887999,1589.476846660267
115.0,7277.8468205216495,1590.0590323617446
116.0,7324.472075398748,1590.641053263346
117.0,7371.097398519294,1591.2229093650717
118.0,7417.722789883287,1591.8046006669213
119.0,7464.348249490729,1592.3861271688947
120.0,7510.973777341619,1592.9674888709922
121.0,7557.599373435956,1593.5486857732135
122.0,7604.225037773742,1594.129717875559
123.0,7650.850770354974,1594.7105851780282
124.0,7697.476571179656,1595.2912876806215
125.0,7744.102440247784,1595.8718253833388
126.0,7790.7283775593605,1596.4521982861802
127.0,7837.354383114385,1597.0324063891453
128.0,7885.2578125,1598.61669921875
129.0,7930.606598954777,1598.1923281954478
130.0,7977.232809240146,1598.772041898785
131.0,8023.859087768961,1599.3515908022462
132.0,8070.485434541224,1599.9309749058311
133.0,8117.111849556936,1600.5101942095403
134.0,8163.738332816095,1601.0892487133733
135.0,8210.364884318702,1601.6681384173303
136.0,8256.991504064757,1602.2468633214114
137.0,8303.618192054259,1602.8254234256162
138.0,8350.24494828721,1603.4038187299452
139.0,8396.87177276361,1603.9820492343981
140.0,8443.498665483454,1604.5601149389752
141.0,8490.125626446748,1605.138015843676
142.0,8536.75265565349,1605.7157519485008
143.0,8583.37975310368,1606.2933232534497
144.0,8629.3818359375,1606.33447265625
145.0,8676.634152734405,1607.447971463719
146.0,8723.261454914937,1608.02504836904
147.0,8769.88882533892,1608.6019604744845
148.0,8816.516264006346,1609.1787077800532
149.0,8863.143770917224,1609.7552902857458
