batch_size,peak,persistent
1.0,2032.2157775878552,1523.7451171874998
2.0,2143.8358520507486,1524.4376831054685
3.0,2255.4573913573918,1525.127502441406
4.0,2367.0803955077854,1525.8145751953123
5.0,2478.704864501928,1526.4989013671873
6.0,2590.3307983398213,1527.180480957031
7.0,2701.9581970214645,1527.8593139648435
8.0,2813.587060546857,1528.535400390625
9.0,2925.2173889160003,1529.208740234375
10.0,3036.8491821288926,1529.8793334960938
11.0,3148.482440185536,1530.5471801757812
12.0,3260.117163085928,1531.2122802734375
13.0,3371.7533508300703,1531.8746337890625
14.0,3483.391003417963,1532.5342407226562
15.0,3595.0301208496057,1533.1911010742188
16.0,3706.564453125,1533.89990234375
17.0,3818.3127502441394,1534.49658203125
18.0,3929.9562622070316,1535.1452026367188
19.0,4041.601239013674,1535.7910766601562
20.0,4153.247680664066,1536.4342041015625
21.0,4264.8955871582075,1537.0745849609375
22.0,4376.5449584961,1537.7122192382812
23.0,4488.195794677742,1538.3471069335938
24.0,4599.848095703133,1538.979248046875
25.0,4711.501861572275,1539.608642578125
26.0,4823.157092285166,1540.2352905273438
27.0,4934.813787841807,1540.8591918945312
28.0,5046.471948242199,1541.4803466796875
29.0,5158.13157348634,1542.0987548828125
30.0,5269.7926635742315,1542.7144165039062
31.0,5381.455218505872,1543.3273315429688
32.0,5493.43798828125,1543.7734375
33.0,5604.784722900404,1544.544921875
34.0,5716.451672363295,1545.1495971679688
35.0,5828.1200866699355,1545.7515258789062
36.0,5939.789965820326,1546.3507080078125
37.0,6051.461309814466,1546.9471435546875
38.0,6163.134118652358,1547.5408325195312
39.0,6274.808392333997,1548.1317749023438
40.0,6386.484130859388,1548.719970703125
41.0,6498.161334228528,1549.305419921875
42.0,6609.840002441419,1549.8881225585938
43.0,6721.520135498058,1550.4680786132812
44.0,6833.201733398449,1551.0452880859375
45.0,6944.884796142588,1551.6197509765625
46.0,7056.569323730479,1552.1914672851562
47.0,7168.255316162118,1552.7604370117188
48.0,7279.6240234375,1553.49072265625
49.0,7391.631695556648,1553.89013671875
50.0,7503.322082519538,1554.4508666992188
51.0,7615.013934326176,1555.0088500976562
52.0,7726.707250976567,1555.5640869140625
53.0,7838.402032470705,1556.1165771484375
54.0,7950.098278808594,1556.6663208007812
55.0,8061.795989990234,1557.2133178710938
56.0,8173.495166015623,1557.757568359375
57.0,8285.195806884762,1558.299072265625
58.0,8396.897912597651,1558.8378295898438
59.0,8508.601483154289,1559.3738403320312
60.0,8620.30651855468,1559.9071044921875
61.0,8732.013018798818,1560.4376220703125
62.0,8843.720983886706,1560.9653930664062
63.0,8955.430413818343,1561.4904174804688
64.0,9067.24755859375,1561.9580078125
65.0,9178.85366821287,1562.5322265625
66.0,9290.56749267576,1563.0490112304685
67.0,9402.282781982398,1563.563049316406
68.0,9513.999536132786,1564.0743408203123
69.0,9625.717755126923,1564.5828857421873
70.0,9737.437438964811,1565.088684082031
71.0,9849.15858764645,1565.5917358398435
72.0,9960.881201171836,1566.0920410156248
73.0,10072.605279540974,1566.5895996093748
74.0,10184.330822753862,1567.0844116210935
75.0,10296.0578308105,1567.576477050781
76.0,10407.78630371089,1568.0657958984373
77.0,10519.516241455025,1568.5523681640623
78.0,10631.247644042913,1569.0361938476558
79.0,10742.98051147455,1569.5172729492183
80.0,10854.714843749936,1569.9956054687495
81.0,10966.450640869076,1570.4711914062495
82.0,11078.187902831962,1570.9440307617183
83.0,11189.926629638598,1571.4141235351558
84.0,11301.666821288985,1571.881469726562
85.0,11413.408477783121,1572.346069335937
86.0,11525.151599121007,1572.8079223632808
87.0,11636.896185302647,1573.2670288085933
88.0,11748.642236328033,1573.7233886718745
89.0,11860.389752197168,1574.1770019531243
90.0,11972.138732910054,1574.627868652343
91.0,12083.88917846669,1575.0759887695306
92.0,12195.641088867078,1575.5213623046868
93.0,12307.394464111214,1575.9639892578118
94.0,12419.1493041991,1576.4038696289056
95.0,12530.905609130736,1576.841003417968
96.0,12642.66337890612,1577.2753906249993
97.0,12754.422613525256,1577.707031249999
98.0,12866.183312988143,1578.1359252929678
99.0,12977.94547729478,1578.5620727539053
100.0,13089.709106445163,1578.9854736328116
101.0,13201.4742004393,1579.4061279296866
102.0,13313.240759277185,1579.8240356445303
103.0,13425.008782958821,1580.2391967773428
104.0,13536.778271484207,1580.6516113281239
105.0,13648.549224853341,1581.0612792968739
106.0,13760.321643066225,1581.4682006835926
107.0,13872.095526122861,1581.87237548828
108.0,13983.870874023245,1582.2738037109364
109.0,14095.647686767381,1582.6724853515614
110.0,14207.425964355265,1583.068420410155
111.0,14319.205706786901,1583.4616088867174
112.0,14430.986914062285,1583.8520507812486
113.0,14542.769586181419,1584.2397460937486
114.0,14654.553723144303,1584.6246948242174
115.0,14766.339324950939,1585.0068969726549
116.0,14878.126391601323,1585.3863525390611
117.0,14989.914923095457,1585.763061523436
118.0,15101.704919433341,1586.1370239257797
119.0,15213.496380614974,1586.5082397460922
120.0,15325.28930664036,1586.8767089843734
121.0,15437.083697509494,1587.2424316406234
122.0,15548.879553222378,1587.605407714842
123.0,15660.67687377901,1587.9656372070294
124.0,15772.475659179394,1588.3231201171857
125.0,15884.275909423526,1588.6778564453107
126.0,15996.077624511412,1589.0298461914044
127.0,16107.880804443044,1589.379089355467
128.0,16219.685449218428,1589.725585937498
129.0,16331.49155883756,1590.069335937498
130.0,16443.299133300443,1590.4103393554667
131.0,16555.108172607077,1590.7485961914042
132.0,16666.91867675746,1591.0841064453102
133.0,16778.730645751595,1591.4168701171852
134.0,16890.544079589476,1591.746887207029
135.0,17002.35897827111,1592.0741577148415
136.0,17114.175341796494,1592.3986816406227
137.0,17225.993170165624,1592.7204589843725
138.0,17337.81246337851,1593.0394897460912
139.0,17449.633221435142,1593.3557739257787
140.0,17561.455444335523,1593.669311523435
141.0,17673.279132079653,1593.98010253906
142.0,17785.104284667537,1594.2881469726535
143.0,17896.93090209917,1594.593444824216
144.0,18008.75898437455,1594.8959960937473
145.0,18120.588531493682,1595.1958007812473
146.0,18232.419543456563,1595.4928588867158
147.0,18344.2520202632,1595.7871704101533
148.0,18456.08596191358,1596.0787353515595
149.0,18567.92136840771,1596.3675537109345
150.0,18679.75823974559,1596.653625488278
151.0,18791.596575927222,1596.9369506835906
152.0,18903.436376952603,1597.2175292968718
153.0,19015.277642821733,1597.4953613281218
154.0,19127.12037353462,1597.7704467773403
155.0,19238.964569091244,1598.0427856445278
156.0,19350.81022949163,1598.312377929684
157.0,19462.657354735762,1598.579223632809
158.0,19574.505944823642,1598.8433227539026
159.0,19686.355999755273,1599.104675292965
160.0,19798.207519530653,1599.3632812499964
161.0,19910.060504149784,1599.6191406249964
162.0,20021.914953612664,1599.8722534179649
163.0,20133.770867919295,1600.1226196289024
164.0,20245.628247069675,1600.3702392578086
165.0,20357.487091063806,1600.6151123046834
166.0,20469.347399901686,1600.8572387695272
167.0,20581.209173583316,1601.0966186523397
168.0,20693.072412108697,1601.333251953121
169.0,20804.937115477827,1601.5671386718707
170.0,20916.803283690708,1601.7982788085894
171.0,21028.67091674734,1602.026672363277
172.0,21140.54001464772,1602.2523193359332
173.0,21252.41057739185,1602.475219726558
174.0,21364.28260497973,1602.6953735351517
175.0,21476.156097411353,1602.9127807617142
176.0,21588.031054686733,1603.1274414062452
177.0,21699.907476805864,1603.3393554687452
178.0,21811.785363768744,1603.548522949214
179.0,21923.664715575374,1603.7549438476512
180.0,22035.545532225755,1603.9586181640575
181.0,22147.427813719885,1604.1595458984325
182.0,22259.31156005776,1604.3577270507762
183.0,22371.19677123939,1604.5531616210885
184.0,22483.08344726477,1604.7458496093698
185.0,22594.9715881339,1604.9357910156198
186.0,22706.86119384678,1605.1229858398383
187.0,22818.752264403403,1605.3074340820258
188.0,22930.644799803784,1605.489135742182
189.0,23042.538800047907,1605.6680908203068
190.0,23154.434265135787,1605.8442993164006
191.0,23266.331195067418,1606.017761230463
192.0,23378.2295898428,1606.188476562494
193.0,23490.12944946193,1606.356445312494
194.0,23602.030773924802,1606.5216674804628
195.0,23713.933563231432,1606.6841430664
196.0,23825.837817381813,1606.8438720703064
197.0,23937.743536375936,1607.0008544921811
198.0,24049.650720213816,1607.1550903320249
199.0,24161.55936889544,1607.3065795898374
200.0,24273.46948242082,1607.4553222656186
201.0,24385.38106078995,1607.6013183593684
202.0,24497.294104002824,1607.7445678710872
203.0,24609.208612059454,1607.8850708007744
204.0,24721.124584959827,1608.0228271484307
205.0,24833.042022703958,1608.1578369140557
206.0,24944.960925291838,1608.2901000976492
207.0,25056.88129272346,1608.4196166992117
208.0,25168.80312499884,1608.546386718743
209.0,25280.726422117965,1608.6704101562427
210.0,25392.651184080845,1608.7916870117115
211.0,25504.57741088747,1608.910217285149
212.0,25616.50510253785,1609.026000976555
213.0,25728.434259031972,1609.13903808593
214.0,25840.364880369845,1609.2493286132735
215.0,25952.296966551476,1609.356872558586
216.0,26064.23051757685,1609.4616699218673
217.0,26176.16553344598,1609.563720703117
218.0,26288.102014158852,1609.6630249023358
219.0,26400.039959715483,1609.759582519523
220.0,26511.979370115856,1609.8533935546793
221.0,26623.92024535998,1609.9444580078043
222.0,26735.86258544786,1610.0327758788978
223.0,26847.806390379483,1610.1183471679603
224.0,26959.751660154856,1610.2011718749914
225.0,27071.698394773986,1610.2812499999914
226.0,27183.64659423686,1610.35858154296
227.0,27295.59625854349,1610.4331665038974
228.0,27407.547387693863,1610.5050048828036
229.0,27519.499981687986,1610.5740966796784
230.0,27631.454040525867,1610.6404418945222
231.0,27743.40956420749,1610.7040405273347
232.0,27855.366552732863,1610.7648925781157
233.0,27967.325006101986,1610.8229980468657
