batch_size,peak,persistent
1.0,938.1974481311081,794.8611609867646
2.0,1044.703059823263,795.5002801077711
3.0,1151.2323624203077,796.1388417380201
4.0,1257.785355922242,796.7768458775116
5.0,1364.362040329066,797.4142925262455
6.0,1470.96241564078,798.051181684222
7.0,1577.586481857384,798.6875133514409
8.0,1684.2342389788773,799.3232875279022
9.0,1790.9056870052605,799.958504213606
10.0,1897.6008259365335,800.5931634085523
11.0,2004.3196557726963,801.2272651127411
12.0,2111.0621765137485,801.8608093261722
13.0,2217.828388159691,802.4937960488459
14.0,2324.618290710523,803.126225280762
15.0,2431.431884166245,803.7580970219207
16.0,2538.64501953125,803.9072265625
17.0,2645.1301437923576,805.0201680319653
18.0,2752.0148099627486,805.6503673008513
19.0,2858.9231670380295,806.2800090789798
20.0,2965.8552150182004,806.9090933663507
21.0,3072.8109539032607,807.5376201629641
22.0,3179.790383693211,808.16558946882
23.0,3286.7935043880507,808.7930012839183
24.0,3393.8203159877803,809.4198556082591
25.0,3500.8708184924,810.0461524418424
26.0,3607.945011901909,810.6718917846682
27.0,3715.0428962163082,811.2970736367364
28.0,3822.164471435597,811.9216979980471
29.0,3929.3097375597754,812.5457648686001
30.0,4036.4786945888436,813.1692742483958
31.0,4143.671342522801,813.7922261374339
32.0,4249.6044921875,815.34326171875
33.0,4358.127711105387,815.0364574432374
34.0,4465.391431754014,815.657736860003
35.0,4572.678843307531,816.2784587860109
36.0,4679.989945765938,816.8986232212612
37.0,4787.324739129234,817.5182301657542
38.0,4894.683223397421,818.1372796194895
39.0,5002.065398570497,818.7557715824673
40.0,5109.471264648463,819.3737060546875
41.0,5216.900821631318,819.9910830361503
42.0,5324.354069519064,820.6079025268555
43.0,5431.831008311699,821.2241645268032
44.0,5539.331638009224,821.8398690359934
45.0,5646.855958611639,822.455016054426
46.0,5754.403970118943,823.069605582101
47.0,5861.975672531138,823.6836376190186
48.0,5971.16552734375,824.404296875
49.0,6077.190150070195,824.910029220581
50.0,6184.832925197058,825.522388785226
51.0,6292.499391228812,826.1341908591133
52.0,6400.189548165455,826.7454354422432
53.0,6507.903396006987,827.3561225346156
54.0,6615.640934753411,827.9662521362304
55.0,6723.4021644047225,828.5758242470877
56.0,6831.187084960925,829.1848388671874
57.0,6938.995696422016,829.7932959965297
58.0,7046.827998787999,830.4011956351143
59.0,7154.683992058869,831.0085377829414
60.0,7262.563676234631,831.615322440011
61.0,7370.467051315281,832.2215496063232
62.0,7478.3941173008225,832.8272192818777
63.0,7586.3448741912525,833.4323314666747
64.0,7693.4765625,832.96533203125
65.0,7802.317460686783,834.6408833639961
66.0,7910.339290291882,835.2443230765205
67.0,8018.384810801873,835.8472052982873
68.0,8126.454022216752,836.4495300292967
69.0,8234.54692453652,837.0512972695485
70.0,8342.663517761179,837.6525070190428
71.0,8450.803801890728,838.2531592777796
72.0,8558.967776925165,838.8532540457587
73.0,8667.155442864494,839.4527913229804
74.0,8775.36679970871,840.0517711094445
75.0,8883.60184745782,840.6501934051512
76.0,8991.860586111816,841.2480582101002
77.0,9100.143015670703,841.8453655242918
78.0,9208.44913613448,842.4421153477258
79.0,9316.778947503146,843.0383076804022
80.0,9425.2880859375,844.15185546875
81.0,9533.509642955152,844.2290198734826
82.0,9641.910527038486,844.8235397338865
83.0,9750.335102026711,845.4175021035328
84.0,9858.783367919827,846.0109069824216
85.0,9967.255324717833,846.6037543705529
86.0,10075.750972420727,847.1960442679266
87.0,10184.270311028511,847.7877766745428
88.0,10292.813340541186,848.3789515904015
89.0,10401.380060958752,848.9695690155027
90.0,10509.970472281206,849.5596289498462
91.0,10618.584574508546,850.1491313934323
92.0,10727.222367640781,850.7380763462609
93.0,10835.883851677907,851.3264638083318
94.0,10944.56902661992,851.9142937796453
95.0,11053.27789246682,852.5015662602012
96.0,11162.010449218615,853.0882812499997
97.0,11270.766696875296,853.6744387490405
98.0,11379.54663543687,854.2600387573239
99.0,11488.350264903333,854.8450812748497
100.0,11597.177585274683,855.4295663016179
101.0,11706.028596550925,856.0134938376286
102.0,11814.903298732053,856.5968638828818
103.0,11923.801691818077,857.1796764373776
104.0,12032.723775808987,857.7619315011157
105.0,12141.669550704788,858.3436290740963
106.0,12250.639016505476,858.9247691563194
107.0,12359.63217321106,859.5053517477849
