batch_size,peak,persistent
1.0,320.5068359375,163.31689453125
2.0,471.80859375,163.89501953125
3.0,623.90869140625,164.47314453125
4.0,773.7041015625,165.05126953125
5.0,931.73193359375,165.62939453125
6.0,1072.2216796875,167.0390625
7.0,1222.75830078125,167.267578125
8.0,1377.072265625,167.36328125
9.0,1536.13623046875,167.94140625
10.0,1677.10693359375,168.51953125
11.0,1842.736328125,169.525390625
12.0,2002.955078125,169.86279296875
13.0,2147.9228515625,170.25341796875
14.0,2301.98974609375,171.23779296875
15.0,2445.64453125,171.40966796875
16.0,2598.73046875,173.3818359375
17.0,2767.470703125,173.4599609375
18.0,2902.9833984375,174.1787109375
19.0,3046.99951171875,173.7216796875
20.0,3210.1298828125,175.3896484375
21.0,3339.6376953125,175.7724609375
22.0,3498.13330078125,176.09033203125
23.0,3658.828125,177.07373046875
24.0,3794.2568359375,176.83056640625
25.0,3958.51416015625,177.18994140625
26.0,4101.2939453125,177.76806640625
27.0,4253.40625,179.560546875
28.0,4388.34765625,178.923828125
29.0,4568.12060546875,179.501953125
30.0,4707.69580078125,180.853515625
31.0,4858.052734375,180.900390625
32.0,5004.8720703125,181.23583984375
33.0,5150.962890625,182.07958984375
34.0,5328.2734375,183.16943359375
35.0,5466.060546875,183.45068359375
36.0,5611.9921875,183.60107421875
37.0,5760.42822265625,186.24560546875
38.0,5905.25439453125,185.0126953125
39.0,6063.572265625,185.4228515625
40.0,6225.63916015625,185.8837890625
41.0,6374.44677734375,186.93896484375
42.0,6555.833984375,187.333984375
43.0,6686.18212890625,187.6943359375
44.0,6834.1689453125,188.93994140625
45.0,6997.462890625,189.015625
46.0,7153.2841796875,189.50537109375
47.0,7289.630859375,190.1552734375
48.0,7432.30224609375,191.2421875
49.0,7577.46923828125,191.203125
50.0,7767.35205078125,192.09375
51.0,7911.4873046875,193.1884765625
52.0,8038.82373046875,193.025390625
53.0,8184.15087890625,193.94677734375
54.0,8322.76513671875,195.50732421875
55.0,8519.20751953125,195.24755859375
56.0,8652.5029296875,195.56982421875
57.0,8802.4248046875,196.26171875
58.0,8945.80224609375,198.36083984375
59.0,9078.60400390625,198.7099609375
60.0,9229.37548828125,198.3994140625
61.0,9407.51025390625,200.63037109375
62.0,9560.541015625,199.4140625
63.0,9679.30859375,199.2548828125
64.0,9838.884765625,200.23291015625
65.0,9993.54638671875,201.7509765625
66.0,10160.310546875,201.0244140625
67.0,10301.73006518777,202.41345347653032
68.0,10453.86767578125,203.1630859375
69.0,10589.47021484375,203.0283203125
70.0,10753.848238806151,204.19408368365998
71.0,10904.523562173405,204.78788517445432
72.0,11055.183518287888,205.38181570945756
73.0,11205.8281071496,205.97587528866973
74.0,11356.457328758543,206.57006391209077
75.0,11507.071183114715,207.16438157972075
76.0,11657.669670218118,207.7588282915596
77.0,11808.25279006875,208.3534040476074
78.0,11958.820542666612,208.94810884786406
79.0,12109.372928011702,209.54294269232963
80.0,12259.909946104026,210.1379055810041
81.0,12410.431596943576,210.73299751388748
82.0,12560.937880530357,211.32821849097976
83.0,12711.428796864368,211.92356851228095
84.0,12861.904345945606,212.51904757779104
85.0,13012.364527774078,213.11465568751004
86.0,13162.809342349778,213.7103928414379
87.0,13313.238789672707,214.3062590395747
88.0,13463.652869742866,214.90225428192042
89.0,13614.051582560256,215.49837856847503
90.0,13764.434928124876,216.09463189923852
91.0,13914.802906436724,216.69101427421094
92.0,14065.155517495803,217.28752569339224
93.0,14215.49276130211,217.88416615678247
94.0,14365.81463785565,218.48093566438158
95.0,14516.121147156417,219.07783421618961
96.0,14666.412289204414,219.67486181220653
97.0,14816.688063999642,220.27201845243235
98.0,14966.948471542099,220.86930413686707
99.0,15117.193511831787,221.4667188655107
100.0,15267.423184868703,222.06426263836323
101.0,15417.637490652849,222.66193545542467
102.0,15567.836429184226,223.259737316695
103.0,15718.020000462833,223.85766822217425
104.0,15868.188204488668,224.4557281718624
105.0,16018.341041261734,225.05391716575946
106.0,16168.47851078203,225.65223520386542
107.0,16318.600613049553,226.25068228618028
108.0,16468.70734806431,226.84925841270405
109.0,16618.79871582629,227.4479635834367
110.0,16768.874716335507,228.04679779837824
111.0,16918.935349591953,228.64576105752872
112.0,17068.980615595625,229.2448533608881
113.0,17219.01051434653,229.84407470845636
114.0,17369.025045844664,230.44342510023353
115.0,17519.02421009003,231.04290453621962
116.0,17669.008007082622,231.64251301641463
117.0,17818.976436822442,232.24225054081847
118.0,17968.929499309495,232.84211710943129
119.0,18118.86719454378,233.44211272225297
120.0,18268.78952252529,234.04223737928356
121.0,18418.696483254036,234.64249108052306
122.0,18568.588076730004,235.24287382597146
123.0,18718.46430295321,235.84338561562876
124.0,18868.32516192364,236.44402644949497
125.0,19018.1706536413,237.04479632757005
126.0,19168.00077810619,237.64569524985407
127.0,19317.81553531831,238.246723216347
128.0,19467.614925277663,238.8478802270488
129.0,19617.398947984242,239.44916628195952
130.0,19767.16760343805,240.05058138107916
131.0,19916.920891639093,240.65212552440767
132.0,20066.65881258736,241.2537987119451
133.0,20216.38136628286,241.85560094369143
134.0,20366.088552725592,242.45753221964668
135.0,20515.78037191555,243.0595925398108
136.0,20665.45682385274,243.66178190418384
137.0,20815.117908537155,244.26410031276578
138.0,20964.763625968804,244.86654776555665
139.0,21114.393976147683,245.4691242625564
140.0,21264.008959073788,246.071829803765
141.0,21413.608574747126,246.6746643891826
142.0,21563.192823167697,247.27762801880905
143.0,21712.76170433549,247.8807206926444
144.0,21862.31521825052,248.48394241068866
145.0,22011.853364912775,249.08729317294183
146.0,22161.37614432226,249.6907729794039
147.0,22310.883556478977,250.29438183007488
148.0,22460.375601382922,250.89811972495477
149.0,22609.8522790341,251.50198666404356
150.0,22759.313589432502,252.10598264734122
151.0,22908.75953257814,252.7101076748478
152.0,23058.190108471004,253.3143617465633
153.0,23207.605317111098,253.9187448624877
154.0,23357.005158498425,254.52325702262095
155.0,23506.389632632978,255.12789822696317
156.0,23655.75873951476,255.7326684755143
157.0,23805.112479143776,256.33756776827425
158.0,23954.450851520018,256.9425961052432
159.0,24103.773856643493,257.54775348642096
160.0,24253.081494514197,258.1530399118077
161.0,24402.373765132128,258.7584553814033
162.0,24551.650668497292,259.3639998952078
163.0,24700.91220460968,259.9696734532213
164.0,24850.15837346931,260.5754760554436
165.0,24999.38917507616,261.1814077018748
166.0,25148.60460943024,261.78746839251494
167.0,25297.804676531552,262.39365812736395
168.0,25446.989376380094,262.99997690642186
169.0,25596.158708975865,263.6064247296887
170.0,25745.312674318866,264.21300159716446
171.0,25894.451272409096,264.8197075088491
172.0,26043.574503246557,265.4265424647426
173.0,26192.682366831246,266.03350646484506
174.0,26341.774863163166,266.64059950915646
175.0,26490.85199224232,267.2478215976767
176.0,26639.913754068697,267.85517273040585
177.0,26788.960148642305,268.4626529073439
178.0,26937.991175963143,269.07026212849087
179.0,27087.006836031214,269.67800039384673
180.0,27236.007128846515,270.2858677034115
181.0,27384.992054409042,270.89386405718517
182.0,27533.9616127188,271.50198945516775
183.0,27682.915803775788,272.1102438973592
184.0,27831.854627580004,272.7186273837596
185.0,27980.778084131452,273.3271399143689
186.0,28129.686173430127,273.9357814891871
187.0,28278.578895476036,274.54455210821413
188.0,28427.456250269177,275.15345177145014
189.0,28576.31823780954,275.76248047889504
190.0,28725.164858097138,276.37163823054885
191.0,28873.99611113196,276.98092502641157
192.0,29022.81199691402,277.59034086648313
193.0,29171.612515443307,278.19988575076366
194.0,29320.39766671982,278.8095596792531
195.0,29469.167450743567,279.41936265195136
196.0,29617.92186751454,280.0292946688586
197.0,29766.660917032747,280.63935572997474
198.0,29915.38459929818,281.2495458352997
199.0,30064.092914310844,281.8598649848337
200.0,30212.785862070737,282.4703131785765
201.0,30361.46344257786,283.08089041652823
202.0,30510.125655832217,283.69159669868884
203.0,30658.772501833802,284.3024320250584
204.0,30807.40398058261,284.9133963956368
205.0,30956.020092078656,285.52448981042414
206.0,31104.62083632193,286.1357122694204
207.0,31253.20621331243,286.74706377262555
208.0,31401.776223050165,287.35854432003964
209.0,31550.330865535125,287.9701539116626
210.0,31698.870140767318,288.5818925474944
211.0,31847.39404874674,289.1937602275352
212.0,31995.90258947339,289.8057569517848
213.0,32144.39576294727,290.4178827202434
214.0,32292.87356916838,291.0301375329109
215.0,32441.336008136725,291.64252138978725
216.0,32589.783079852295,292.2550342908725
217.0,32738.214784315092,292.8676762361667
218.0,32886.63112152512,293.48044722566976
219.0,33035.03209148238,294.09334725938174
220.0,33183.41769418688,294.7063763373027
221.0,33331.787929638595,295.3195344594324
222.0,33480.14279783754,295.9328216257711
223.0,33628.482298783725,296.5462378363187
224.0,33776.806432477126,297.15978309107527
225.0,33925.115198917774,297.7734573900406
226.0,34073.40859810564,298.38726073321493
227.0,34221.68663004073,299.00119312059815
228.0,34369.94929472306,299.6152545521902
229.0,34518.19659215263,300.22944502799123
230.0,34666.428522329414,300.84376454800116
231.0,34814.64508525342,301.45821311222
232.0,34962.84628092467,302.07279072064773
233.0,35111.03210934314,302.6874973732843
234.0,35259.202570508845,303.30233307012986
235.0,35407.3576644218,303.9172978111843
236.0,35555.49739108195,304.5323915964476
237.0,35703.62175048936,305.14761442591987
238.0,35851.73074264398,305.762966299601
239.0,35999.824367545836,306.37844721749104
240.0,36147.90262519491,306.99405717958996
241.0,36295.96551559123,307.60979618589784
242.0,36444.013038734774,308.22566423641456
243.0,36592.04519462555,308.84166133114024
244.0,36740.06198326356,309.4577874700748
245.0,36888.0634046488,310.0740426532182
246.0,37036.04945878126,310.6904268805706
247.0,37184.02014566095,311.30694015213186
248.0,37331.97546528788,311.92358246790207
249.0,37479.91541766202,312.54035382788106
250.0,37627.8400027834,313.1572542320691
251.0,37775.74922065201,313.77428368046594
252.0,37923.643071267856,314.3914421730717
253.0,38071.521554630934,315.00872970988644
254.0,38219.38467074123,315.62614629091
255.0,38367.232419598775,316.2436919161425
256.0,38515.06480120352,316.8613665855839
