batch_size,peak,persistent
1.0,110.09228515625,63.56298828125
2.0,153.21630859375,64.14111328125
3.0,194.99560546875,64.71923828125
4.0,237.27587890625,65.29736328125
5.0,281.28955078125,65.87548828125
6.0,324.216796875,66.453125
7.0,363.1728515625,67.03125
8.0,411.20751953125,67.8115234375
9.0,447.0810546875,68.1875
10.0,494.87158203125,68.765625
11.0,538.78857421875,69.34326171875
12.0,579.47705078125,69.92138671875
13.0,624.6171875,70.49951171875
14.0,669.06787109375,71.07763671875
15.0,713.91015625,72.03662109375
16.0,752.853515625,72.2333984375
17.0,792.65380859375,73.4794921875
18.0,840.6357421875,73.4833984375
19.0,882.36328125,73.9677734375
20.0,928.6796875,75.0615234375
21.0,965.1328125,75.1240234375
22.0,1014.0654296875,75.70166015625
23.0,1049.541015625,77.07275390625
24.0,1084.6142578125,77.09619140625
25.0,1136.3037109375,77.43603515625
26.0,1179.57080078125,78.01416015625
27.0,1219.95947265625,80.10498046875
28.0,1269.5908203125,80.1708984375
29.0,1300.373046875,80.9287109375
30.0,1351.65185546875,82.45947265625
31.0,1398.72314453125,82.64306640625
32.0,1436.3564453125,83.20068359375
33.0,1476.54248046875,82.06005859375
34.0,1526.12744140625,83.11474609375
35.0,1560.59130859375,83.50244140625
36.0,1603.71923828125,83.79443359375
37.0,1650.59716796875,85.12646484375
38.0,1699.9697265625,85.1298828125
39.0,1732.85400390625,85.5283203125
40.0,1769.8056640625,86.8681640625
41.0,1817.033203125,88.2626953125
42.0,1874.4423828125,88.7421875
43.0,1912.845703125,88.62451171875
44.0,1941.59423828125,89.15283203125
45.0,1975.189453125,89.15673828125
46.0,2033.9345703125,89.57470703125
47.0,2069.46923828125,90.15283203125
48.0,2120.603515625,91.4453125
49.0,2157.794921875,91.30859375
50.0,2202.98779296875,92.04638671875
51.0,2239.162109375,93.1796875
52.0,2279.06103515625,93.18359375
53.0,2353.33837890625,93.62109375
54.0,2391.29345703125,95.310546875
55.0,2418.03515625,95.494140625
56.0,2445.8154296875,95.35498046875
57.0,2492.21826171875,95.93310546875
58.0,2540.6142578125,97.20654296875
59.0,2589.02783203125,97.2099609375
60.0,2621.85205078125,97.822265625
61.0,2660.193359375,99.79248046875
62.0,2726.3681640625,99.4130859375
63.0,2760.61181640625,99.4013671875
64.0,2802.8701171875,99.97900390625
65.0,2848.98876953125,101.2333984375
66.0,2886.990234375,101.2802734375
67.0,2922.0615234375,101.7138671875
68.0,2956.86328125,103.2451171875
69.0,3000.10205078125,103.2490234375
70.0,3065.48193359375,103.44775390625
71.0,3099.71533203125,104.02587890625
72.0,3128.56591796875,105.26025390625
73.0,3182.640625,105.26416015625
74.0,3239.34375,105.76025390625
75.0,3270.83837890625,107.27294921875
76.0,3318.51513671875,107.275390625
77.0,3346.94384765625,107.494140625
78.0,3391.75537109375,108.869140625
79.0,3423.4345703125,109.43408203125
80.0,3478.06103515625,109.29052734375
81.0,3532.310546875,110.3603515625
82.0,3573.146484375,111.29833984375
83.0,3606.9140625,112.08203125
84.0,3653.9130859375,111.8525390625
85.0,3700.0205078125,112.47900390625
86.0,3737.009765625,114.05908203125
87.0,3784.81787109375,113.453125
88.0,3823.41259765625,114.2236328125
89.0,3851.24072265625,115.6826171875
90.0,3900.9140625,115.857421875
91.0,3938.7734375,115.91259765625
92.0,3997.96484375,116.57470703125
93.0,4033.716796875,117.6328125
94.0,4071.25439453125,118.20361328125
95.0,4131.75439453125,118.9560546875
96.0,4167.27099609375,119.3515625
97.0,4208.177734375,120.53564453125
98.0,4268.55517578125,119.6328125
99.0,4295.39990234375,120.2109375
100.0,4314.44384765625,122.12890625
101.0,4361.72021484375,122.51953125
102.0,4408.6904296875,122.79736328125
103.0,4443.05419921875,124.81982421875
104.0,4497.37353515625,123.62646484375
105.0,4530.73583984375,124.546875
106.0,4601.6494140625,124.85302734375
107.0,4628.87451171875,126.1083984375
108.0,4670.17919921875,126.4150390625
109.0,4724.94677734375,126.916015625
110.0,4768.63232421875,127.771484375
111.0,4798.0908203125,128.27978515625
112.0,4826.78369140625,127.89306640625
113.0,4872.205078125,129.19189453125
114.0,4922.4970703125,129.4765625
115.0,4974.51806640625,129.45947265625
116.0,5004.1767578125,130.03759765625
117.0,5036.72021484375,131.43212890625
118.0,5102.44775390625,131.435546875
119.0,5137.53515625,131.771484375
120.0,5189.86962890625,133.9326171875
121.0,5215.921875,133.447265625
122.0,5262.6669921875,133.505859375
123.0,5288.1201171875,134.08349609375
124.0,5342.6171875,135.45849609375
125.0,5383.88134765625,136.21533203125
