batch_size,peak,persistent
1.0,388.451171875,295.79931640625
2.0,475.087890625,301.43994140625
3.0,554.146484375,298.89697265625
4.0,637.009765625,301.11181640625
5.0,714.404296875,297.80322265625
6.0,804.1416015625,302.791015625
7.0,885.1884765625,302.845703125
8.0,962.9931640625,300.345703125
9.0,1048.5087890625,304.478515625
10.0,1140.7197265625,305.087890625
11.0,1213.1396484375,305.99755859375
12.0,1296.7626953125,305.70458984375
13.0,1382.2880859375,311.14013671875
14.0,1467.0361328125,307.90771484375
15.0,1542.8251953125,308.52685546875
16.0,1633.11376953125,308.0322265625
17.0,1726.38916015625,307.6279296875
18.0,1803.40283203125,308.3955078125
19.0,1870.86572265625,308.9619140625
20.0,1954.00439453125,310.0087890625
21.0,2037.10009765625,310.3876953125
22.0,2119.34375,309.67626953125
23.0,2202.83984375,313.59423828125
24.0,2287.64453125,312.54736328125
25.0,2383.55078125,312.33251953125
26.0,2453.9296875,318.49658203125
27.0,2531.85302734375,312.55859375
28.0,2617.26123046875,314.453125
29.0,2703.40185546875,315.75390625
30.0,2783.80419921875,316.89453125
31.0,2869.18310546875,316.78515625
32.0,2952.2998046875,315.65576171875
33.0,3027.8857421875,315.87841796875
34.0,3122.4521484375,317.48388671875
35.0,3209.0810546875,318.49365234375
36.0,3276.6982421875,318.09326171875
37.0,3360.6982421875,320.40966796875
38.0,3449.10400390625,318.5576171875
39.0,3529.24267578125,319.3642578125
40.0,3612.25244140625,320.7021484375
41.0,3698.06103515625,320.8134765625
42.0,3772.50634765625,322.3310546875
43.0,3855.576171875,321.68603515625
44.0,3952.119140625,325.60791015625
45.0,4022.041015625,322.48291015625
46.0,4111.962890625,324.57275390625
47.0,4186.267578125,325.81494140625
48.0,4269.67333984375,326.310546875
49.0,4361.93896484375,328.875
50.0,4442.79833984375,327.841796875
51.0,4526.88818359375,330.802734375
52.0,4600.93115234375,327.998046875
53.0,4685.74755859375,329.873046875
54.0,4767.0712890625,331.43505859375
55.0,4850.1396484375,329.92138671875
56.0,4940.2197265625,331.16943359375
57.0,5021.5537109375,331.06201171875
58.0,5094.5908203125,331.75537109375
