batch_size,peak,persistent
1,50.29150390625,26.8583984375
2,68.361328125,28.1455078125
3,86.21533203125,28.55322265625
4,104.30224609375,28.6259765625
5,122.5166015625,29.1708984375
6,142.05126953125,30.63525390625
7,159.27587890625,30.32666015625
8,177.9697265625,30.90478515625
9,195.47119140625,32.4482421875
10,218.14501953125,32.16259765625
11,235.8212890625,33.365234375
12,251.140625,33.701171875
13,274.78515625,34.470703125
14,291.25537109375,35.240234375
15,310.71435546875,35.255859375
16,328.93212890625,36.21630859375
17,350.06982421875,37.00146484375
18,363.98828125,37.00537109375
19,384.9873046875,37.26318359375
20,406.8974609375,37.84130859375
21,419.84912109375,38.42724609375
22,445.66650390625,39.091796875
23,455.89111328125,40.2568359375
24,477.380859375,40.6533203125
25,500.75634765625,40.7314453125
26,528.41796875,42.19580078125
27,532.7607421875,42.91259765625
28,560.8662109375,43.08154296875
29,571.75,43.74658203125
30,595.7119140625,44.39501953125
31,605.115234375,44.52587890625
32,638.78173828125,45.740234375
33,645.77392578125,45.35546875
34,677.72216796875,46.76953125
35,685.31396484375,47.15869140625
36,698.4716796875,47.8671875
37,729.57470703125,49.32958984375
38,743.55810546875,48.42529296875
39,756.24951171875,48.82373046875
40,789.51953125,49.40185546875
41,799.9755859375,50.43701171875
42,808.947265625,50.56591796875
43,828.63037109375,51.1396484375
44,871.3916015625,52.54296875
45,876.15380859375,52.462890625
46,885.056640625,53.13525390625
47,902.513671875,53.84326171875
48,921.23779296875,54.7919921875
49,966.14697265625,54.99853515625
50,975.41259765625,55.7607421875
51,982.2744140625,57.15771484375
52,993.52001953125,57.16015625
53,1014.93798828125,58.09228515625
54,1032.75390625,59.2998046875
55,1082.46533203125,59.38037109375
56,1088.39990234375,59.63232421875
57,1096.02734375,60.259765625
58,1108.03369140625,60.53369140625
59,1125.9912109375,60.54833984375
60,1142.92626953125,61.2666015625
61,1168.7177734375,62.64599609375
62,1185.45068359375,62.60107421875
63,1209.38427734375,62.70849609375
64,1247.19970703125,63.3876953125
65,1262.6552734375,65.125
66,1270.08642578125,64.53857421875
67,1290.654296875,65.1015625
68,1305.60107421875,66.63427734375
69,1314.6689453125,66.77734375
70,1330.88232421875,67.4931640625
71,1349.646484375,67.3232421875
72,1367.65625,69.08154296875
73,1389.3896484375,68.6201171875
74,1416.111328125,69.10595703125
75,1458.99365234375,70.61767578125
76,1469.625,71.03955078125
77,1479.34765625,70.86962890625
78,1498.5380859375,71.43505859375
79,1512.98828125,72.70263671875
80,1521.7783203125,72.61181640625
81,1534.62451171875,73.1875
82,1552.2958984375,74.609375
83,1570.8984375,74.78759765625
84,1593.96484375,74.90625
85,1611.00146484375,75.91845703125
86,1627.01123046875,76.86328125
87,1670.1181640625,76.61767578125
88,1701.169921875,77.240234375
89,1711.52587890625,78.845703125
90,1726.69580078125,78.9853515625
91,1734.69970703125,78.9423828125
92,1739.93212890625,79.84375
93,1755.14697265625,80.81640625
94,1774.72412109375,81.84033203125
95,1792.8720703125,81.72314453125
96,1817.3271484375,82.71435546875
97,1832.59130859375,82.85888671875
98,1859.99560546875,83.076171875
99,1888.958984375,84.005859375
100,1909.34716796875,84.74755859375
101,1928.451171875,84.904296875
102,1936.912109375,85.5380859375
103,1948.91259765625,87.35400390625
104,1960.697265625,87.30810546875
105,1977.7001953125,87.650390625
106,1997.17236328125,88.73779296875
107,2023.12646484375,89.72021484375
108,2037.537109375,89.51806640625
109,2054.29052734375,89.8408203125
110,2121.31005859375,91.08642578125
111,2132.87060546875,91.61083984375
112,2138.90869140625,91.62451171875
113,2154.59423828125,91.8818359375
114,2162.04541015625,92.76123046875
115,2166.93017578125,93.53515625
116,2182.76318359375,94.1572265625
117,2202.7060546875,94.99462890625
118,2219.49072265625,95.87158203125
119,2242.16845703125,95.08837890625
120,2260.0224609375,96.39404296875
121,2278.365234375,97.5830078125
122,2319.5693359375,96.87939453125
123,2335.841796875,98.87841796875
124,2356.35107421875,98.904296875
125,2365.48046875,99.46240234375
126,2374.8916015625,99.7265625
127,2418.79638671875,100.5380859375
128,2433.9384765625,101.12451171875
129,2449.31982421875,100.88671875
130,2471.48095703125,101.599609375
131,2489.18798828125,103.08203125
132,2501.7890625,103.72998046875
133,2544.30322265625,103.19921875
134,2554.9501953125,104.72900390625
135,2564.63427734375,105.6376953125
136,2580.3251953125,105.140625
