batch_size,peak,persistent
1.0,2102.7265625,1587.19091796875
2.0,2224.986328125,1587.96435546875
3.0,2347.3203125,1588.89013671875
4.0,2467.748046875,1589.45654296875
5.0,2588.56640625,1589.22607421875
6.0,2710.37646484375,1589.8623046875
7.0,2831.99560546875,1591.0458984375
8.0,2954.27099609375,1592.1748046875
9.0,3073.92529296875,1592.0341796875
10.0,3196.64208984375,1592.1748046875
11.0,3319.4541015625,1592.88916015625
12.0,3442.4267578125,1593.79931640625
13.0,3564.4501953125,1595.97900390625
14.0,3686.5791015625,1595.85009765625
15.0,3804.5146484375,1595.21728515625
16.0,3928.41064453125,1597.580078125
17.0,4048.17236328125,1595.349609375
18.0,4169.67236328125,1596.544921875
19.0,4290.30322265625,1597.458984375
20.0,4414.34814453125,1599.728515625
21.0,4536.88330078125,1599.255859375
22.0,4657.09765625,1599.54052734375
23.0,4778.26953125,1600.07568359375
24.0,4899.37890625,1600.81396484375
25.0,5022.21484375,1602.14404296875
26.0,5144.11328125,1602.88427734375
27.0,5265.32958984375,1603.2314453125
28.0,5386.37841796875,1602.2431640625
29.0,5507.06005859375,1602.4541015625
30.0,5630.14013671875,1605.3525390625
31.0,5752.45654296875,1604.9970703125
32.0,5875.0029296875,1606.95361328125
33.0,5996.0458984375,1606.85791015625
34.0,6115.1982421875,1606.42626953125
35.0,6238.0009765625,1606.94775390625
36.0,6358.6513671875,1606.87548828125
37.0,6481.5009765625,1609.45166015625
38.0,6603.52197265625,1608.64453125
39.0,6724.23486328125,1609.03515625
40.0,6847.76806640625,1609.6875
41.0,6968.55908203125,1611.12890625
42.0,7091.59619140625,1612.1484375
43.0,7211.5703125,1611.92333984375
44.0,7334.322265625,1613.49951171875
45.0,7455.509765625,1614.11279296875
46.0,7575.205078125,1612.98779296875
47.0,7695.787109375,1612.96826171875
48.0,7819.43896484375,1614.9521484375
49.0,7942.23193359375,1616.2744140625
50.0,8061.20458984375,1614.9951171875
51.0,8183.47802734375,1616.3447265625
52.0,8305.55615234375,1617.1005859375
53.0,8426.86865234375,1617.3330078125
54.0,8549.9384765625,1618.93994140625
55.0,8671.6923828125,1619.42236328125
56.0,8793.0634765625,1618.93603515625
57.0,8913.9404296875,1619.69189453125
58.0,9035.7275390625,1621.03369140625
59.0,9155.87939453125,1619.9765625
60.0,9278.71923828125,1620.912109375
61.0,9401.35595703125,1622.94140625
62.0,9521.00439453125,1621.990234375
63.0,9642.98291015625,1622.376953125
64.0,9764.3125,1623.13818359375
65.0,9886.965290282547,1624.3587697278288
66.0,10008.583292670559,1624.916140070597
67.0,10130.201026735518,1625.4728861080293
68.0,10251.818492477425,1626.0290078401254
69.0,10375.03955078125,1627.61328125
70.0,10495.421875,1627.75537109375
71.0,10616.669279764832,1627.6936272043963
72.0,10738.28567221453,1628.2472517151477
73.0,10859.901796341172,1628.8002519205627
74.0,10981.517652144765,1629.3526278206416
75.0,11103.133239625306,1629.9043794153843
76.0,11224.748558782794,1630.4555067047909
77.0,11346.36360961723,1631.0060096888612
78.0,11467.978392128614,1631.5558883675953
79.0,11589.592906316946,1632.1051427409932
80.0,11711.207152182222,1632.653772809055
81.0,11832.821129724449,1633.2017785717806
82.0,11954.434838943624,1633.7491600291698
83.0,12076.048279839746,1634.295917181223
84.0,12197.661452412813,1634.84205002794
85.0,12319.27435666283,1635.3875585693208
86.0,12440.886992589796,1635.9324428053653
87.0,12562.499360193706,1636.4767027360738
88.0,12684.111459474567,1637.020338361446
89.0,12805.723290432376,1637.5633496814821
90.0,12927.334853067128,1638.1057366961818
91.0,13048.946147378832,1638.6474994055454
92.0,13170.557173367484,1639.188637809573
93.0,13292.16793103308,1639.7291519082642
94.0,13413.778420375627,1640.2690417016192
95.0,13535.388641395119,1640.808307189638
96.0,13656.998594091561,1641.3469483723209
97.0,13778.608278464948,1641.8849652496672
98.0,13900.217694515286,1642.4223578216775
99.0,14021.826842242572,1642.9591260883517
100.0,14143.435721646802,1643.4952700496897
101.0,14265.044332727979,1644.0307897056912
102.0,14386.652675486104,1644.5656850563569
103.0,14508.26074992118,1645.099956101686
104.0,14629.868556033201,1645.6336028416792
105.0,14751.476093822173,1646.1666252763362
106.0,14873.08336328809,1646.699023405657
107.0,14994.690364430957,1647.2307972296414
108.0,15116.297097250768,1647.7619467482898
109.0,15237.903561747527,1648.2924719616021
110.0,15359.509757921234,1648.822372869578
111.0,15481.115685771892,1649.3516494722178
112.0,15602.721345299495,1649.8803017695216
113.0,15724.326736504045,1650.4083297614889
114.0,15845.931859385542,1650.9357334481201
115.0,15967.536713943988,1651.4625128294151
116.0,16089.141300179384,1651.9886679053739
117.0,16210.745618091725,1652.5141986759966
118.0,16332.349667681014,1653.039105141283
119.0,16453.95344894725,1653.5633873012332
120.0,16575.556961890434,1654.0870451558474
121.0,16697.160206510565,1654.6100787051253
122.0,16818.763182807645,1655.132487949067
123.0,16940.365890781675,1655.6542728876725
124.0,17061.96833043265,1656.1754335209416
125.0,17183.570501760572,1656.695969848875
126.0,17305.17240476544,1657.2158818714718
127.0,17426.77403944726,1657.7351695887326
128.0,17548.375405806026,1658.253833000657
129.0,17669.976503841735,1658.7718721072454
130.0,17791.5773335544,1659.2892869084976
131.0,17913.17789494401,1659.8060774044134
132.0,18034.77818801056,1660.3222435949933
133.0,18156.378212754065,1660.8377854802368
134.0,18277.977969174517,1661.3527030601442
135.0,18399.577457271917,1661.8669963347154
136.0,18521.176677046264,1662.3806653039503
137.0,18642.775628497555,1662.8937099678492
138.0,18764.374311625797,1663.4061303264118
139.0,18885.972726430988,1663.9179263796382
140.0,19007.570872913126,1664.4290981275285
141.0,19129.16875107221,1664.9396455700826
142.0,19250.766360908245,1665.4495687073004
143.0,19372.363702421222,1665.958867539182
144.0,19493.96077561115,1666.4675420657275
145.0,19615.557580478024,1666.9755922869367
146.0,19737.154117021848,1667.4830182028097
147.0,19858.75038524262,1667.9898198133467
