batch_size,peak,persistent
1.0,1670.30419921875,1471.69921875
2.0,1832.39794921875,1475.91015625
3.0,2001.97998046875,1484.0625
4.0,2142.51513671875,1468.93359375
5.0,2314.20263671875,1474.02734375
6.0,2479.8115234375,1491.27685546875
7.0,2642.2685546875,1492.75341796875
8.0,2782.7802734375,1478.93310546875
9.0,2944.9599609375,1482.98388671875
10.0,3100.8193359375,1481.98779296875
11.0,3262.05322265625,1481.8857421875
12.0,3430.07666015625,1488.6044921875
13.0,3592.10400390625,1497.7880859375
14.0,3735.17822265625,1483.7529296875
15.0,3893.06103515625,1482.9794921875
16.0,4051.560546875,1482.68212890625
17.0,4212.357421875,1481.28369140625
18.0,4373.630859375,1489.60400390625
19.0,4523.267578125,1482.71728515625
20.0,4688.998046875,1487.26025390625
21.0,4846.943359375,1487.30322265625
22.0,5003.83349609375,1487.416015625
23.0,5161.88818359375,1488.583984375
24.0,5322.96630859375,1490.337890625
25.0,5485.18896484375,1490.931640625
26.0,5644.75537109375,1497.611328125
27.0,5798.1103515625,1491.81005859375
28.0,5954.6064453125,1491.25927734375
29.0,6111.5126953125,1490.06396484375
30.0,6276.9423828125,1497.39208984375
31.0,6437.7900390625,1499.73974609375
32.0,6590.45751953125,1490.9306640625
33.0,6751.76611328125,1495.3056640625
34.0,6913.09033203125,1493.2587890625
35.0,7072.81298828125,1497.7666015625
36.0,7236.20751953125,1502.6806640625
37.0,7390.85986328125,1496.5751953125
38.0,7544.35546875,1491.59423828125
39.0,7709.8125,1498.00048828125
40.0,7871.58203125,1500.02392578125
41.0,8030.9375,1501.00830078125
42.0,8187.39453125,1497.46923828125
43.0,8344.85107421875,1495.63671875
44.0,8507.42529296875,1499.8984375
45.0,8671.11279296875,1502.7890625
46.0,8829.47998046875,1503.453125
47.0,8999.01513671875,1513.65234375
48.0,9149.8935546875,1505.36669921875
49.0,9307.6904296875,1503.34326171875
50.0,9468.845803611179,1505.332191700556
51.0,9628.3271484375,1506.05029296875
52.0,9795.2998046875,1505.33544921875
53.0,9947.7998046875,1507.02294921875
54.0,10109.94775390625,1509.2646484375
55.0,10266.80322265625,1505.6357421875
56.0,10430.51806640625,1510.8662109375
57.0,10590.41228056626,1509.5142505624729
58.0,10750.820636380606,1510.1170074981192
59.0,10911.275135543005,1510.7210944226088
60.0,11071.775778053448,1511.3265113359414
61.0,11232.322563911941,1511.933258238117
62.0,11392.915493118482,1512.541335129136
63.0,11553.554565673072,1513.150742008998
64.0,11714.23978157571,1513.7614788777032
65.0,11874.971140826397,1514.3735457352514
66.0,12035.748643425133,1514.9869425816428
67.0,12196.572289371914,1515.6016694168775
68.0,12357.442078666747,1516.217726240955
69.0,12518.358011309625,1516.8351130538758
70.0,12679.320087300555,1517.45382985564
71.0,12840.32830663953,1518.073876646247
72.0,13001.382669326558,1518.6952534256973
73.0,13162.48317536163,1519.3179601939905
74.0,13323.629824744752,1519.941996951127
75.0,13484.822617475922,1520.5673636971067
76.0,13646.06155355514,1521.1940604319293
77.0,13807.346632982408,1521.8220871555952
78.0,13968.677855757724,1522.4514438681042
79.0,14130.055221881088,1523.0821305694565
80.0,14291.478731352501,1523.7141472596516
81.0,14452.948384171963,1524.3474939386901
82.0,14614.46418033947,1524.9821706065716
83.0,14776.026119855029,1525.6181772632963
84.0,14937.634202718637,1526.255513908864
85.0,15099.28842893029,1526.894180543275
86.0,15260.98879848999,1527.534177166529
87.0,15422.73531139774,1528.1755037786263
88.0,15584.527967653543,1528.8181603795665
89.0,15746.36676725739,1529.46214696935
90.0,15908.251710209286,1530.1074635479765
91.0,16070.18279650923,1530.7541101154463
92.0,16232.160026157224,1531.4020866717592
93.0,16394.183399153266,1532.0513932169151
94.0,16556.252915497356,1532.7020297509143
95.0,16718.368575189492,1533.3539962737566
96.0,16880.53037822968,1534.007292785442
97.0,17042.738324617912,1534.6619192859703
98.0,17204.992414354198,1535.3178757753421
99.0,17367.292647438528,1535.9751622535568
100.0,17529.63902387091,1536.6337787206148
101.0,17692.031543651337,1537.2937251765156
102.0,17854.470206779813,1537.95500162126
103.0,18016.955013256338,1538.6176080548473
104.0,18179.48596308091,1539.2815444772777
105.0,18342.063056253533,1539.9468108885512
106.0,18504.686292774204,1540.613407288668
107.0,18667.355672642923,1541.2813336776278
108.0,18830.07119585969,1541.9505900554307
109.0,18992.832862424508,1542.6211764220768
110.0,19155.640672337373,1543.293092777566
111.0,19318.494625598283,1543.9663391218983
112.0,19481.394722207242,1544.6409154550738
113.0,19644.340962164253,1545.3168217770924
114.0,19807.33334546931,1545.9940580879543
115.0,19970.371872122418,1546.6726243876592
116.0,20133.45654212357,1547.3525206762072
117.0,20296.587355472773,1548.0337469535982
118.0,20459.764312170024,1548.7163032198325
119.0,20622.987412215323,1549.40018947491
120.0,20786.256655608675,1550.0854057188305
121.0,20949.572042350068,1550.7719519515942
122.0,21112.933572439513,1551.459828173201
123.0,21276.341245877004,1552.1490343836508
124.0,21439.795062662546,1552.839570582944
125.0,21603.295022796137,1553.5314367710803
126.0,21766.841126277774,1554.2246329480595
127.0,21930.433373107462,1554.919159113882
128.0,22094.071763285196,1555.6150152685475
129.0,22257.75629681098,1556.3122014120563
130.0,22421.486973684812,1557.0107175444082
131.0,22585.26379390669,1557.710563665603
132.0,22749.086757476623,1558.4117397756413
133.0,22912.9558643946,1559.1142458745226
134.0,23076.871114660622,1559.8180819622469
135.0,23240.832508274696,1560.5232480388145
136.0,23404.84004523682,1561.2297441042251
137.0,23568.893725546986,1561.9375701584788
138.0,23732.993549205206,1562.6467262015758
139.0,23897.139516211475,1563.3572122335158
140.0,24061.331626565792,1564.0690282542992
141.0,24225.569880268155,1564.7821742639253
142.0,24389.85427731857,1565.4966502623947
143.0,24554.18481771703,1566.2124562497074
144.0,24718.561501463537,1566.929592225863
145.0,24882.984328558097,1567.648058190862
146.0,25047.4532990007,1568.3678541447039
147.0,25211.968412791353,1569.088980087389
148.0,25376.529669930056,1569.8114360189172
149.0,25541.137070416808,1570.5352219392885
150.0,25705.790614251608,1571.260337848503
151.0,25870.490301434456,1571.9867837465608
152.0,26035.236131965354,1572.7145596334615
153.0,26200.028105844296,1573.4436655092054
154.0,26364.86622307129,1574.1741013737924
155.0,26529.75048364633,1574.9058672272226
156.0,26694.680887569422,1575.6389630694957
157.0,26859.65743484056,1576.3733889006123
158.0,27024.680125459745,1577.1091447205717
159.0,27189.74895942698,1577.8462305293745
160.0,27354.863936742262,1578.5846463270202
161.0,27520.025057405594,1579.3243921135092
162.0,27685.232321416974,1580.0654678888413
163.0,27850.485728776403,1580.8078736530165
164.0,28015.78527948388,1581.551609406035
165.0,28181.130973539406,1582.2966751478964
166.0,28346.52281094298,1583.043070878601
167.0,28511.960791694604,1583.7907965981487
168.0,28677.444915794273,1584.5398523065396
169.0,28842.97518324199,1585.2902380037735
170.0,29008.551594037755,1586.0419536898507
171.0,29174.174148181573,1586.794999364771
172.0,29339.842845673436,1587.5493750285343
173.0,29505.55768651335,1588.305080681141
174.0,29671.318670701312,1589.0621163225906
175.0,29837.12579823732,1589.8204819528833
176.0,30002.97906912138,1590.5801775720192
177.0,30168.878483353485,1591.3412031799983
178.0,30334.82404093364,1592.1035587768206
179.0,30500.815741861843,1592.867244362486
180.0,30666.853586138095,1593.6322599369944
181.0,30832.93757376239,1594.3986055003459
182.0,30999.067704734738,1595.1662810525406
183.0,31165.243979055136,1595.9352865935784
184.0,31331.46639672358,1596.7056221234595
185.0,31497.734957740075,1597.4772876421835
186.0,31664.049662104615,1598.2502831497509
187.0,31830.410509817204,1599.0246086461611
188.0,31996.81750087784,1599.8002641314147
189.0,32163.27063528653,1600.5772496055113
190.0,32329.769913043267,1601.3555650684511
191.0,32496.31533414805,1602.135210520234
192.0,32662.906898600882,1602.91618596086
193.0,32829.54460640176,1603.6984913903293
194.0,32996.228457550686,1604.4821268086414
195.0,33162.958452047664,1605.267092215797
196.0,33329.734589892694,1606.0533876117954
197.0,33496.55687108576,1606.8410129966371
198.0,33663.42529562689,1607.6299683703219
199.0,33830.339863516056,1608.42025373285
200.0,33997.30057475328,1609.211869084221
201.0,34164.30742933854,1610.0048144244352
202.0,34331.360427271866,1610.7990897534926
203.0,34498.459568553226,1611.594695071393
204.0,34665.60485318264,1612.3916303781368
205.0,34832.796281160096,1613.1898956737234
206.0,35000.033852485605,1613.9894909581533
207.0,35167.31756715917,1614.7904162314264
208.0,35334.647425180774,1615.5926714935426
209.0,35502.023426550426,1616.396256744502
210.0,35669.44557126813,1617.2011719843042
211.0,35836.91385933388,1618.0074172129498
212.0,36004.42829074768,1618.8149924304385
213.0,36171.98886550953,1619.6238976367702
214.0,36339.595583619426,1620.4341328319451
215.0,36507.24844507737,1621.2456980159632
216.0,36674.947449883366,1622.0585931888245
217.0,36842.69259803741,1622.8728183505286
218.0,37010.48388953949,1623.6883735010763
219.0,37178.32132438963,1624.5052586404668
220.0,37346.20490258782,1625.3234737687005
221.0,37514.13462413406,1626.1430188857773
222.0,37682.11048902833,1626.9638939916974
223.0,37850.132497270664,1627.7860990864606
224.0,38018.20064886104,1628.6096341700668
225.0,38186.31494379947,1629.434499242516
226.0,38354.47538208595,1630.2606943038086
227.0,38522.681963720475,1631.0882193539444
228.0,38690.93468870305,1631.917074392923
229.0,38859.23355703367,1632.747259420745
230.0,39027.57856871234,1633.57877443741
231.0,39195.969723739065,1634.4116194429182
232.0,39364.40702211383,1635.2457944372695
233.0,39532.890463836644,1636.081299420464
234.0,39701.42004890751,1636.9181343925015
235.0,39869.995777326425,1637.7562993533822
236.0,40038.61764909339,1638.595794303106
237.0,40207.28566420839,1639.436619241673
238.0,40375.99982267145,1640.2787741690831
239.0,40544.76012448256,1641.1222590853363
240.0,40713.56656964171,1641.9670739904327
241.0,40882.419158148914,1642.8132188843722
242.0,41051.31789000417,1643.660693767155
243.0,41220.262765207466,1644.5094986387805
244.0,41389.25378375882,1645.3596334992494
245.0,41558.290945658206,1646.2110983485616
246.0,41727.37425090565,1647.0638931867168
247.0,41896.50369950114,1647.918018013715
248.0,42065.679291444685,1648.7734728295563
249.0,42234.901026736276,1649.630257634241
250.0,42404.16890537591,1650.4883724277686
251.0,42573.4829273636,1651.3478172101395
252.0,42742.84309269934,1652.2085919813535
253.0,42912.24940138312,1653.0706967414105
254.0,43081.701853414954,1653.9341314903106
255.0,43251.20044879483,1654.798896228054
256.0,43420.74518752276,1655.6649909546404
