batch_size,peak,persistent
1.0,223.1015625,92.35595703125
2.0,346.6689453125,92.93408203125
3.0,472.70849609375,93.51220703125
4.0,597.578125,94.68408203125
5.0,728.1298828125,94.66845703125
6.0,845.712890625,95.54296875
7.0,968.9267578125,96.50390625
8.0,1093.7412109375,96.40234375
9.0,1223.6220703125,96.98046875
10.0,1343.0048828125,98.27734375
11.0,1482.88525390625,98.33935546875
12.0,1615.4765625,99.91748046875
13.0,1723.9560546875,99.29248046875
14.0,1865.310546875,99.87060546875
15.0,1982.4931640625,100.44873046875
16.0,2105.5107421875,101.9326171875
17.0,2242.97265625,101.6044921875
18.0,2365.8720703125,102.1826171875
19.0,2479.4130859375,102.7607421875
20.0,2613.4404296875,103.9482421875
21.0,2720.8076171875,103.9169921875
22.0,2856.3642578125,104.49462890625
23.0,2985.30322265625,105.95947265625
24.0,3098.623046875,105.96337890625
25.0,3235.70361328125,106.51025390625
26.0,3347.4150390625,107.16259765625
27.0,3476.9755859375,108.05078125
28.0,3595.8857421875,107.97265625
29.0,3743.1533203125,108.595703125
30.0,3860.00927734375,110.1279296875
31.0,3970.63330078125,110.12158203125
32.0,4111.3818359375,110.71240234375
33.0,4224.61328125,111.1982421875
34.0,4378.890625,112.33642578125
35.0,4488.77734375,112.2109375
36.0,4611.03466796875,112.61279296875
37.0,4722.4580078125,113.98193359375
38.0,4846.68798828125,114.4423828125
39.0,4965.1640625,114.615234375
40.0,5127.52978515625,115.4462890625
41.0,5234.88330078125,117.28955078125
42.0,5362.66064453125,116.2041015625
43.0,5477.36279296875,117.03857421875
44.0,5602.1728515625,118.75439453125
45.0,5739.91162109375,118.35009765625
46.0,5861.66357421875,119.16064453125
47.0,5976.90625,119.69384765625
48.0,6108.89599609375,121.3046875
49.0,6225.36474609375,122.265625
50.0,6378.47802734375,122.2421875
51.0,6490.21630859375,123.56201171875
52.0,6601.9111328125,122.6875
53.0,6737.3056640625,122.8984375
54.0,6840.33544921875,124.72216796875
55.0,6999.2314453125,124.38134765625
56.0,7112.8125,124.40185546875
57.0,7230.55078125,124.72607421875
58.0,7355.82763671875,126.68115234375
59.0,7468.56787109375,126.3037109375
60.0,7595.3466796875,126.8134765625
61.0,7725.1513671875,128.11669921875
62.0,7865.18896484375,128.2412109375
63.0,7955.44482421875,128.2294921875
64.0,8096.33984375,128.86572265625
65.0,8228.84619140625,130.98095703125
66.0,8367.6298828125,130.5234375
67.0,8483.7763671875,130.74072265625
68.0,8594.89306640625,132.5537109375
69.0,8721.3349609375,132.0419921875
70.0,8845.6923828125,133.16650390625
71.0,8978.86328125,132.93798828125
72.0,9100.744140625,134.35400390625
73.0,9210.3916015625,134.33056640625
74.0,9336.626953125,134.55322265625
75.0,9461.33447265625,136.064453125
76.0,9600.57421875,136.068359375
77.0,9714.1357421875,136.40380859375
78.0,9844.26123046875,136.865234375
79.0,9958.96142578125,138.294921875
80.0,10089.7333984375,138.58349609375
81.0,10223.53466796875,138.67626953125
82.0,10365.7431640625,140.47021484375
83.0,10473.34521484375,140.361328125
84.0,10565.6650390625,140.34326171875
85.0,10705.40771484375,140.9453125
86.0,10833.783203125,142.1640625
87.0,10974.89501953125,142.1279296875
88.0,11089.49462890625,144.2197265625
89.0,11198.11474609375,144.24755859375
90.0,11333.03271484375,144.7451171875
91.0,11464.150390625,144.90625
92.0,11597.08154296875,144.98486328125
93.0,11704.90869140625,146.21337890625
94.0,11818.4853515625,146.83251953125
95.0,11952.5830078125,147.53173828125
96.0,12089.28662109375,148.44140625
97.0,12222.556640625,148.46923828125
98.0,12342.97509765625,149.50244140625
99.0,12457.2822265625,149.0703125
100.0,12592.02978515625,150.552734375
101.0,12696.6640625,150.4775390625
102.0,12846.1923828125,151.24560546875
103.0,12959.59619140625,152.26708984375
104.0,13094.9931640625,152.42529296875
105.0,13189.021484375,154.36865234375
106.0,13321.19873046875,153.31982421875
107.0,13443.7255859375,154.6494140625
108.0,13576.30419921875,154.6279296875
109.0,13694.06494140625,155.09814453125
110.0,13820.51904296875,157.03759765625
111.0,13942.5947265625,156.85791015625
112.0,14069.2265625,157.49462890625
113.0,14201.6826171875,157.77587890625
114.0,14327.0966796875,158.72900390625
115.0,14457.40966796875,159.18115234375
116.0,14575.87109375,159.49462890625
117.0,14708.5869140625,160.34814453125
118.0,14821.70654296875,160.5927734375
119.0,14941.9013671875,161.26953125
120.0,15074.14794921875,161.650390625
121.0,15190.69513377074,162.37559997010916
122.0,15314.76148529381,162.94749903894274
123.0,15438.81724686288,163.51923086006693
124.0,15562.862418477955,164.0907954334818
125.0,15686.89700013903,164.6621927591873
126.0,15810.920991846106,165.23342283718338
127.0,15934.934393599182,165.80448566747015
128.0,16058.937205398262,166.37538125004752
129.0,16182.929427243344,166.94610958491558
130.0,16306.911059134429,167.5166706720742
131.0,16430.88210107151,168.08706451152352
132.0,16554.8425530546,168.65729110326345
133.0,16678.792415083688,169.22735044729401
134.0,16802.73168715878,169.7972425436152
135.0,16926.66036927987,170.36696739222705
136.0,17050.578461446967,170.93652499312952
137.0,17174.48596366006,171.50591534632264
138.0,17298.382875919157,172.0751384518064
139.0,17422.269198224258,172.64419430958077
140.0,17546.14493057536,173.2130829196458
141.0,17670.01007297246,173.78180428200147
142.0,17793.864625415565,174.35035839664778
143.0,17917.70858790467,174.9187452635847
144.0,18041.54196043978,175.48696488281226
145.0,18165.364743020888,176.05501725433047
146.0,18289.176935648,176.62290237813932
147.0,18412.978538321113,177.19062025423875
148.0,18536.76955104023,177.7581708826289
149.0,18660.549973805344,178.32555426330964
150.0,18784.319806616462,178.892770396281
151.0,18908.079049473585,179.45981928154302
152.0,19031.827702376708,180.02670091909567
153.0,19155.56576532583,180.59341530893897
154.0,19279.293238320955,181.1599624510729
155.0,19403.010121362084,181.72634234549747
156.0,19526.716414449213,182.29255499221267
157.0,19650.412117582342,182.85860039121852
158.0,19774.097230761476,183.42447854251498
159.0,19897.77175398661,183.99018944610208
160.0,20021.435687257745,184.55573310197983
161.0,20145.089030574884,185.12110951014822
162.0,20268.731783938023,185.68631867060722
163.0,20392.363947347163,186.25136058335687
164.0,20515.985520802307,186.81623524839716
165.0,20639.596504303452,187.38094266572807
166.0,20763.196897850597,187.94548283534965
167.0,20886.786701443747,188.50985575726185
168.0,21010.365915082897,189.07406143146466
169.0,21133.934538768048,189.63809985795814
170.0,21257.4925724992,190.20197103674224
171.0,21381.040016276354,190.76567496781698
172.0,21504.576870099514,191.32921165118236
173.0,21628.10313396867,191.8925810868384
174.0,21751.61880788383,192.455783274785
175.0,21875.123891844993,193.0188182150223
176.0,21998.618385852158,193.58168590755022
177.0,22122.102289905324,194.14438635236877
178.0,22245.57560400449,194.70691954947796
179.0,22369.03832814966,195.2692854988778
180.0,22492.49046234083,195.83148420056827
181.0,22615.932006578,196.3935156545494
182.0,22739.362960861174,196.9553798608211
183.0,22862.78332519035,197.51707681938348
184.0,22986.193099565528,198.07860653023647
185.0,23109.59228398671,198.63996899338014
186.0,23232.98087845389,199.20116420881442
187.0,23356.358882967073,199.76219217653932
188.0,23479.72629752626,200.32305289655488
189.0,23603.083122131444,200.88374636886107
190.0,23726.429356782635,201.4442725934579
191.0,23849.765001479824,202.00463157034534
192.0,23973.090056223016,202.56482329952345
193.0,24096.40452101221,203.12484778099218
194.0,24219.708395847407,203.68470501475156
195.0,24343.0016807286,204.24439500080155
196.0,24466.284375655803,204.8039177391422
197.0,24589.556480629002,205.36327322977348
198.0,24712.817995648205,205.92246147269537
199.0,24836.06892071341,206.48148246790794
200.0,24959.309255824614,207.04033621541112
201.0,25082.539000981822,207.59902271520497
202.0,25205.75815618503,208.1575419672894
203.0,25328.966721434244,208.7158939716645
204.0,25452.16469672946,209.27407872833024
205.0,25575.352082070673,209.8320962372866
206.0,25698.528877457888,210.38994649853362
207.0,25821.695082891107,210.94762951207122
208.0,25944.850698370326,211.50514527789952
209.0,26067.995723895547,212.06249379601843
210.0,26191.13015946677,212.619675066428
211.0,26314.254005083996,213.17668908912816
212.0,26437.367260747225,213.73353586411898
213.0,26560.46992645645,214.29021539140044
214.0,26683.562002211682,214.8467276709725
215.0,26806.643488012916,215.40307270283523
216.0,26929.714383860148,215.9592504869886
217.0,27052.774689753387,216.51526102343263
218.0,27175.824405692623,217.07110431216725
219.0,27298.863531677864,217.6267803531925
220.0,27421.892067709105,218.18228914650842
221.0,27544.910013786346,218.73763069211498
222.0,27667.91736990959,219.29280499001214
223.0,27790.914136078838,219.84781204019995
224.0,27913.900312294085,220.4026518426784
225.0,28036.875898555336,220.9573243974475
226.0,28159.840894862587,221.51182970450722
227.0,28282.79530121584,222.06616776385758
228.0,28405.739117615096,222.62033857549858
229.0,28528.672344060353,223.17434213943022
230.0,28651.59498055161,223.72817845565245
231.0,28774.50702708887,224.28184752416539
232.0,28897.40848367213,224.83534934496893
233.0,29020.299350301393,225.3886839180631
234.0,29143.179626976656,225.94185124344793
235.0,29266.049313697924,226.49485132112335
236.0,29388.908410465196,227.04768415108944
237.0,29511.756917278464,227.60034973334618
238.0,29634.594834137737,228.1528480678935
239.0,29757.42216104301,228.7051791547315
240.0,29880.238897994288,229.25734299386014
241.0,30003.045044991566,229.80933958527942
242.0,30125.840602034845,230.36116892898931
243.0,30248.625569124128,230.91283102498983
244.0,30371.39994625941,231.464325873281
245.0,30494.163733440695,232.0156534738628
246.0,30616.91693066798,232.56681382673526
247.0,30739.65953794127,233.11780693189834
248.0,30862.39155526056,233.66863278935207
249.0,30985.11298262585,234.21929139909642
250.0,31107.823820037145,234.7697827611314
251.0,31230.52406749444,235.32010687545701
252.0,31353.21372499774,235.8702637420733
253.0,31475.892792547034,236.42025336098018
