batch_size,peak,persistent
1.0,2052.3327222836247,1589.4696890157397
2.0,2122.2543140010066,1590.0035884083545
3.0,2192.1763311416084,1590.5378605831454
4.0,2262.0987737054297,1591.072505540112
5.0,2332.021641692471,1591.6075232792546
6.0,2401.944935102732,1592.142913800573
7.0,2471.8686539362125,1592.6786771040674
8.0,2541.7927981929133,1593.214813189738
9.0,2611.717367872833,1593.751322057584
10.0,2681.6423629759734,1594.2882037076063
11.0,2751.567783502333,1594.8254581398044
12.0,2821.4936294519125,1595.3630853541783
13.0,2891.4199008247115,1595.9010853507282
14.0,2961.346597620731,1596.4394581294541
15.0,3031.273719839969,1596.9782036903557
16.0,3101.33203125,1597.25341796875
17.0,3171.1292405481063,1598.056813158687
18.0,3241.0576390370043,1598.5966770661164
19.0,3310.9864629491217,1599.1369137557217
20.0,3380.915712284459,1599.6775232275031
21.0,3450.845387043016,1600.2185054814602
22.0,3520.7754872247933,1600.7598605175933
23.0,3590.70601282979,1601.3015883359024
24.0,3660.6369638580063,1601.8436889363873
25.0,3730.5683403094426,1602.3861623190483
26.0,3800.500142184099,1602.929008483885
27.0,3870.4323694819745,1603.4722274308976
28.0,3940.36502220307,1604.0158191600863
29.0,4010.298100347385,1604.5597836714508
30.0,4080.23160391492,1605.1041209649911
31.0,4150.165532905676,1605.6488310407076
32.0,4220.64306640625,1606.814453125
33.0,4290.034667156844,1606.739369538668
34.0,4359.969872417258,1607.285197960912
35.0,4429.905503100892,1607.831399165332
36.0,4499.841559207745,1608.3779731519278
37.0,4569.778040737818,1608.9249199206997
38.0,4639.714947691111,1609.4722394716475
39.0,4709.652280067624,1610.019931804771
40.0,4779.590037867357,1610.5679969200705
41.0,4849.528221090309,1611.1164348175462
42.0,4919.466829736481,1611.6652454971975
43.0,4989.405863805872,1612.2144289590249
44.0,5059.345323298484,1612.763985203028
45.0,5129.285208214316,1613.313914229207
46.0,5199.225518553367,1613.864216037562
47.0,5269.166254315638,1614.4148906280932
48.0,5338.8603515625,1615.03173828125
49.0,5409.049002109838,1615.5173581556828
50.0,5478.991014141768,1616.0691510927415
51.0,5548.9334515969185,1616.6213168119762
52.0,5618.8763144752875,1617.1738553133866
53.0,5688.819602776877,1617.726766596973
54.0,5758.763316501686,1618.2800506627354
55.0,5828.707455649715,1618.8337075106735
56.0,5898.652020220963,1619.3877371407877
57.0,5968.5970102154315,1619.9421395530778
58.0,6038.542425633119,1620.4969147475438
59.0,6108.488266474028,1621.0520627241858
60.0,6178.434532738155,1621.6075834830035
61.0,6248.381224425502,1622.1634770239973
62.0,6318.32834153607,1622.719743347167
63.0,6388.275884069856,1623.2763824525125
64.0,6456.64013671875,1622.9990234375
65.0,6528.172245407089,1624.3907790097314
66.0,6598.121064210535,1624.9485364616048
67.0,6668.070308437202,1625.5066666956538
68.0,6738.019978087087,1626.065169711879
69.0,6807.970073160192,1626.6240455102802
70.0,6877.920593656517,1627.183294090857
71.0,6947.871539576063,1627.7429154536098
72.0,7017.822910918827,1628.3029095985387
73.0,7087.774707684811,1628.8632765256434
74.0,7157.726929874015,1629.424016234924
75.0,7227.679577486439,1629.9851287263805
76.0,7297.632650522083,1630.546614000013
77.0,7367.586148980946,1631.1084720558213
78.0,7437.540072863029,1631.6707028938056
79.0,7507.494422168332,1632.2333065139658
80.0,7577.95166015625,1633.029296875
81.0,7647.404397048597,1633.359632100814
82.0,7717.360022623559,1633.9233540675018
83.0,7787.3160736217405,1634.4874488163657
84.0,7857.2725500431425,1635.0519163474055
85.0,7927.229451887764,1635.6167566606211
86.0,7997.186779155605,1636.1819697560127
87.0,8067.144531846666,1636.74755563358
88.0,8137.102709960946,1637.3135142933236
89.0,8207.061313498447,1637.879845735243
90.0,8277.020342459167,1638.446549959338
91.0,8346.979796843108,1639.0136269656093
92.0,8416.939676650267,1639.5810767540563
93.0,8486.899981880646,1640.1488993246792
94.0,8556.860712534246,1640.7170946774781
95.0,8626.821868611063,1641.285662812453
96.0,8697.4501953125,1642.24658203125
97.0,8766.745457034362,1642.4239174289303
98.0,8836.70788938084,1642.9936039104327
99.0,8906.670747150538,1643.5636631741113
100.0,8976.634030343455,1644.1340952199655
101.0,9046.597738959594,1644.7049000479958
102.0,9116.56187299895,1645.276077658202
103.0,9186.526432461527,1645.8476280505843
104.0,9256.491417347323,1646.4195512251422
105.0,9326.45682765634,1646.9918471818762
106.0,9396.422663388576,1647.5645159207859
107.0,9466.388924544031,1648.1375574418716
108.0,9536.355611122708,1648.7109717451333
109.0,9606.322723124602,1649.284758830571
110.0,9676.290260549718,1649.8589186981844
111.0,9746.258223398054,1650.433451347974
112.0,9815.79248046875,1650.0888671875
113.0,9886.195425364382,1651.5836349940805
114.0,9956.164664482378,1652.1592859903976
115.0,10026.134329023589,1652.7353097688906
116.0,10096.104418988023,1653.3117063295597
117.0,10166.074934375678,1653.8884756724044
118.0,10236.045875186552,1654.4656177974252
119.0,10306.017241420643,1655.043132704622
120.0,10375.989033077956,1655.6210203939947
121.0,10445.961250158489,1656.1992808655432
122.0,10515.93389266224,1656.7779141192677
123.0,10585.906960589211,1657.356920155168
124.0,10655.880453939404,1657.9362989732442
125.0,10725.854372712816,1658.5160505734966
126.0,10795.828716909447,1659.0961749559247
127.0,10865.803486529298,1659.6766721205286
128.0,10937.009765625,1661.49365234375
129.0,11005.754302038658,1660.8387847962645
130.0,11075.730347928169,1661.4204003073962
131.0,11145.706819240899,1662.0023886007039
