batch_size,peak,persistent
1.0,2106.2592077255536,1590.6024738039293
2.0,2227.7677504403528,1591.0841601780487
3.0,2349.278460175677,1591.5673247473585
4.0,2470.791336931527,1592.0519675118587
5.0,2592.306380707902,1592.5380884715494
6.0,2713.823591504802,1593.0256876264305
7.0,2835.342969322228,1593.5147649765017
8.0,2956.8645141601783,1594.0053205217637
9.0,3078.3882260186547,1594.497354262216
10.0,3199.9141048976558,1594.9908661978588
11.0,3321.4421507971824,1595.485856328692
12.0,3442.9723637172347,1595.9823246547157
13.0,3564.5047436578116,1596.4802711759298
14.0,3686.0392906189136,1596.9796958923343
15.0,3807.5760046005416,1597.4805988039293
16.0,3928.41064453125,1597.580078125
17.0,4050.6559336253727,1598.4868392126905
18.0,4172.1991486685765,1598.9921767098567
19.0,4293.744530732305,1599.4989924022134
20.0,4415.292079816559,1600.0072862897605
21.0,4536.841795921338,1600.5170583724978
22.0,4658.393679046642,1601.0283086504257
23.0,4779.947729192472,1601.5410371235441
24.0,4901.503946358827,1602.055243791853
25.0,5023.0623305457075,1602.5709286553522
26.0,5144.622881753114,1603.0880917140419
27.0,5266.185599981043,1603.606732967922
28.0,5387.7504852295,1604.1268524169925
29.0,5509.31753749848,1604.6484500612535
30.0,5630.886756787988,1605.1715259007049
31.0,5752.45814309802,1605.6960799353467
32.0,5875.1904296875,1606.95361328125
33.0,5995.60741677966,1606.7496225902014
34.0,6117.185304151267,1607.2786112104145
35.0,6238.765358543399,1607.809078025818
36.0,6360.347579956057,1608.341023036412
37.0,6481.931968389241,1608.8744462421964
38.0,6603.51852384295,1609.4093476431713
39.0,6725.107246317183,1609.9457272393365
40.0,6846.698135811943,1610.4835850306922
41.0,6968.291192327228,1611.0229210172383
42.0,7089.886415863038,1611.5637351989749
43.0,7211.483806419373,1612.1060275759019
44.0,7333.083363996232,1612.649798148019
45.0,7454.685088593618,1613.1950469153269
46.0,7576.288980211529,1613.7417738778252
47.0,7697.895038849965,1614.2899790355139
48.0,7819.93896484375,1614.9521484375
49.0,7941.113657188413,1615.3908239364625
50.0,8062.7262168884245,1615.9434636797225
51.0,8184.340943608962,1616.497581618173
52.0,8305.957837350024,1617.0531777518138
53.0,8427.576898111613,1617.610252080645
54.0,8549.198125893725,1618.1688046046668
55.0,8670.821520696363,1618.7288353238787
56.0,8792.447082519528,1619.2903442382812
57.0,8914.074811363214,1619.8533313478742
58.0,9035.704707227429,1620.4177966526577
59.0,9157.336770112168,1620.9837401526315
60.0,9278.971000017433,1621.5511618477958
61.0,9400.607396943222,1622.1200617381505
62.0,9522.245960889537,1622.6904398236957
63.0,9643.886691856378,1623.2622961044312
64.0,9764.3125,1623.13818359375
65.0,9887.174654851635,1624.4104432514735
66.0,10008.82188688005,1624.9867341177803
67.0,10130.47128592899,1625.5645031792776
68.0,10252.12285199846,1626.1437504359653
69.0,10373.77658508845,1626.7244758878435
70.0,10495.432485198966,1627.306679534912
71.0,10617.09055233001,1627.890361377171
72.0,10738.750786481576,1628.4755214146205
73.0,10860.41318765367,1629.0621596472604
74.0,10982.077755846289,1629.6502760750905
75.0,11103.744491059431,1630.2398706981112
76.0,11225.413393293102,1630.8309435163223
77.0,11347.084462547295,1631.423494529724
78.0,11468.757698822013,1632.017523738316
79.0,11590.433102117258,1632.6130311420984
80.0,11712.1240234375,1633.35595703125
81.0,11833.790409769324,1633.8084805352346
82.0,11955.472314126144,1634.4084225245883
83.0,12077.156385503487,1635.0098427091325
84.0,12198.84262390136,1635.6127410888669
85.0,12320.531029319754,1636.217117663792
86.0,12442.221601758678,1636.8229724339074
87.0,12563.914341218124,1637.4303053992132
88.0,12685.609247698094,1638.0391165597096
89.0,12807.306321198594,1638.6494059153963
90.0,12929.005561719614,1639.2611734662735
91.0,13050.706969261164,1639.874419212341
92.0,13172.410543823236,1640.489143153599
93.0,13294.116285405833,1641.1053452900474
94.0,13415.824194008957,1641.7230256216862
95.0,13537.534269632606,1642.3421841485156
96.0,13659.56005859375,1643.0732421875
97.0,13780.96092194148,1643.5849357877455
98.0,13902.677498626703,1644.2085289001461
99.0,14024.396242332454,1644.8336002077372
100.0,14146.117153058729,1645.4601497105186
101.0,14267.840230805528,1646.0881774084903
102.0,14389.565475572854,1646.7176833016526
103.0,14511.292887360705,1647.3486673900054
104.0,14633.022466169083,1647.9811296735486
105.0,14754.754211997983,1648.6150701522822
106.0,14876.488124847408,1649.2504888262063
107.0,14998.22420471736,1649.8873856953207
108.0,15119.962451607838,1650.5257607596257
109.0,15241.70286551884,1651.1656140191208
110.0,15363.445446450369,1651.8069454738065
111.0,15485.190194402421,1652.4497551236827
112.0,15606.937109375,1653.0940429687494
113.0,15728.686191368102,1653.7398090090064
114.0,15850.437440381733,1654.387053244454
115.0,15972.190856415886,1655.0357756750918
116.0,16093.946439470565,1655.6859763009202
117.0,16215.70418954577,1656.337655121939
118.0,16337.464106641499,1656.990812138148
119.0,16459.226190757752,1657.6454473495476
120.0,16580.990441894537,1658.3015607561376
121.0,16702.75686005184,1658.9591523579181
122.0,16824.525445229672,1659.618222154889
123.0,16946.296197428026,1660.2787701470504
124.0,17068.069116646908,1660.9407963344022
125.0,17189.844202886314,1661.6043007169442
126.0,17311.621456146248,1662.2692832946768
127.0,17433.400876426706,1662.9357440676
128.0,17555.182463727688,1663.6036830357134
129.0,17676.966218049194,1664.2731001990173
130.0,17798.752139391225,1664.9439955575117
131.0,17920.540227753787,1665.6163691111965
132.0,18042.33048313687,1666.2902208600717
133.0,18164.122905540476,1666.9655508041371
134.0,18285.91749496461,1667.6423589433932
135.0,18407.71425140927,1668.3206452778397
136.0,18529.513174874453,1669.0004098074767
137.0,18651.314265360168,1669.681652532304
138.0,18773.1175228664,1670.3643734523218
139.0,18894.922947393155,1671.04857256753
140.0,19016.730538940443,1671.7342498779285
141.0,19138.540297508254,1672.4214053835176
142.0,19260.35222309659,1673.1100390842971
143.0,19382.166315705457,1673.800150980267
144.0,19503.98257533484,1674.4917410714274
145.0,19625.80100198475,1675.1848093577782
146.0,19747.62159565519,1675.8793558393195
147.0,19869.444356346154,1676.5753805160512
148.0,19991.269284057642,1677.272883387973
149.0,20113.096378789654,1677.9718644550856
150.0,20234.92564054219,1678.6723237173885
151.0,20356.757069315252,1679.374261174882
152.0,20478.590665108844,1680.0776768275657
153.0,20600.426427922954,1680.78257067544
154.0,20722.264357757595,1681.4889427185044
155.0,20844.10445461276,1682.1967929567595
156.0,20965.94671848845,1682.906121390205
157.0,21087.79114938467,1683.616928018841
158.0,21209.637747301407,1684.3292128426674
159.0,21331.48651223867,1685.0429758616842
160.0,21453.337444196462,1685.7582170758915
161.0,21575.190543174773,1686.474936485289
162.0,21697.045809173622,1687.193134089877
163.0,21818.903242192988,1687.9128098896556
164.0,21940.762842232878,1688.6339638846246
165.0,22062.624609293292,1689.356596074784
166.0,22184.48854337424,1690.0807064601338
167.0,22306.35464447571,1690.8062950406738
168.0,22428.222912597696,1691.5333618164045
169.0,22550.093347740214,1692.2619067873256
170.0,22671.965949903257,1692.9919299534372
171.0,22793.840719086824,1693.7234313147392
172.0,22915.717655290922,1694.4564108712316
173.0,23037.596758515545,1695.1908686229144
174.0,23159.478028760685,1695.9268045697877
175.0,23281.361466026356,1696.6642187118512
176.0,23403.24707031255,1697.4031110491053
177.0,23525.13484161927,1698.1434815815498
178.0,23647.024779946514,1698.8853303091848
179.0,23768.91688529429,1699.6286572320103
180.0,23890.81115766258,1700.3734623500259
181.0,24012.707597051405,1701.1197456632322
182.0,24134.606203460753,1701.8675071716289
183.0,24256.506976890625,1702.616746875216
184.0,24378.40991734102,1703.3674647739936
185.0,24500.315024811942,1704.1196608679616
186.0,24622.222299303387,1704.87333515712
187.0,24744.131740815363,1705.6284876414686
188.0,24866.043349347863,1706.385118321008
189.0,24987.957124900888,1707.1432271957376
190.0,25109.873067474437,1707.9028142656578
191.0,25231.79117706851,1708.6638795307683
192.0,25353.711453683107,1709.4264229910693
193.0,25475.633897318236,1710.1904446465605
194.0,25597.55850797388,1710.9559444972424
195.0,25719.48528565006,1711.7229225431147
196.0,25841.414230346752,1712.4913787841774
197.0,25963.345342063978,1713.2613132204306
198.0,26085.278620801735,1714.0327258518741
