batch_size,peak,persistent
1.0,1673.3709379468344,1479.8308282579694
2.0,1831.7014415195686,1480.182478768485
3.0,1990.060065405675,1480.5388382502965
4.0,2148.4468096051532,1480.899906703404
5.0,2306.861674118004,1481.2656841278076
6.0,2465.3046589442265,1481.6361705235072
7.0,2623.775764083821,1482.011365890503
8.0,2782.274989536787,1482.3912702287946
9.0,2940.802335303126,1482.7758835383825
10.0,3099.3578013828364,1483.1652058192662
11.0,3257.941387775919,1483.559237071446
12.0,3416.5530944823736,1483.9579772949219
13.0,3575.1929215022,1484.3614264896937
14.0,3733.860868835399,1484.7695846557617
15.0,3892.5569364819694,1485.1824517931257
16.0,4053.623046875,1486.55712890625
17.0,4210.033432715227,1486.0223129817416
18.0,4368.813861301914,1486.4493070329938
19.0,4527.622410201972,1486.881010055542
20.0,4686.459079415403,1487.317422049386
21.0,4845.323868942206,1487.7585430145264
22.0,5004.216778782381,1488.2043729509626
23.0,5163.137808935928,1488.6549118586947
24.0,5322.086959402847,1489.110159737723
25.0,5481.064230183138,1489.5701165880475
26.0,5640.069621276802,1490.034782409668
27.0,5799.1031326838365,1490.5041572025843
28.0,5958.164764404243,1490.9782409667969
29.0,6117.254516438023,1491.4570337023054
30.0,6276.372388785174,1491.9405354091098
31.0,6435.518381445697,1492.4287460872104
32.0,6588.70751953125,1490.1806640625
33.0,6753.894727706859,1493.4192943572998
34.0,6913.1250813074985,1493.9216319492884
35.0,7072.38355522151,1494.4286785125732
36.0,7231.6701494488925,1494.940434047154
37.0,7390.984863989648,1495.4568985530307
38.0,7550.327698843776,1495.9780720302035
39.0,7709.698654011275,1496.5039544786725
40.0,7869.097729492146,1497.0345458984375
41.0,8028.52492528639,1497.5698462894984
42.0,8187.980241394005,1498.1098556518555
43.0,8347.463677814992,1498.6545739855085
44.0,8506.97523454935,1499.2040012904574
45.0,8666.514911597083,1499.7581375667025
46.0,8826.082708958187,1500.3169828142438
47.0,8985.678626632664,1500.880537033081
48.0,9149.2060546875,1503.92919921875
49.0,9304.95482292173,1502.0217723846436
50.0,9464.635101536322,1502.5994535173688
51.0,9624.343500464285,1503.1818436213903
52.0,9784.080019705621,1503.7689426967077
53.0,9943.844659260329,1504.360750743321
54.0,10103.637419128409,1504.9572677612305
55.0,10263.45829930986,1505.558493750436
56.0,10423.307299804685,1506.1644287109375
57.0,10583.184420612879,1506.775072642735
58.0,10743.089661734448,1507.3904255458287
59.0,10903.023023169388,1508.0104874202184
60.0,11062.9845049177,1508.635258265904
61.0,11222.974106979384,1509.2647380828857
62.0,11382.99182935444,1509.8989268711634
63.0,11543.037672042867,1510.5378246307373
64.0,11703.89208984375,1510.615234375
65.0,11863.21371835984,1511.829747063773
66.0,12023.343921988384,1512.482771737235
67.0,12183.502245930302,1513.1405053819929
68.0,12343.688690185589,1513.8029479980469
69.0,12503.90325475425,1514.4700995853968
70.0,12664.14593963628,1515.141960144043
71.0,12824.416744831686,1515.818529673985
72.0,12984.715670340462,1516.4998081752233
73.0,13145.04271616261,1517.1857956477575
74.0,13305.39788229813,1517.8764920915876
75.0,13465.781168747024,1518.5718975067139
76.0,13626.192575509287,1519.2720118931363
77.0,13786.632102584925,1519.9768352508545
78.0,13947.099749973931,1520.686367579869
79.0,14107.595517676313,1521.4006088801793
80.0,14267.07861328125,1521.9892578125
81.0,14428.67141402119,1522.8432183946884
82.0,14589.251542663686,1523.571586608887
83.0,14749.859791619556,1524.3046637943814
84.0,14910.496160888795,1525.042449951172
