batch_size,peak,persistent
1,98.240234375,51.02783203125
2,140.689453125,51.58251953125
3,185.19482421875,52.7568359375
4,227.916015625,52.73876953125
5,269.70947265625,54.2197265625
6,312.869140625,54.0673828125
7,356.81201171875,54.5849609375
8,398.8505859375,55.42578125
9,437.86572265625,56.2197265625
10,481.70947265625,57.13916015625
11,526.09130859375,57.052734375
12,565.2421875,58.19287109375
13,608.1845703125,58.09423828125
14,654.26708984375,60.42138671875
15,701.529296875,60.38037109375
16,737.46337890625,59.9169921875
17,784.138671875,61.5654296875
18,840.19970703125,62.43017578125
19,872.36669921875,61.4091796875
20,910.66064453125,63.4423828125
21,953.6259765625,62.6552734375
22,994.79248046875,63.93701171875
23,1037.83984375,65.3798828125
24,1081.376953125,64.60595703125
25,1128.79736328125,64.966796875
26,1168.91015625,65.6044921875
27,1224.57861328125,66.77197265625
28,1258.25537109375,66.8798828125
29,1295.4521484375,67.408203125
30,1342.17724609375,68.92919921875
31,1400.16943359375,69.8896484375
32,1442.4853515625,69.43115234375
33,1467.33251953125,70.0693359375
34,1511.7265625,70.93115234375
35,1559.02978515625,73.4794921875
36,1606.763671875,71.98291015625
37,1647.74169921875,73.375
38,1688.517578125,73.43798828125
39,1734.31201171875,73.896484375
40,1769.44189453125,73.5771484375
41,1816.89599609375,74.86865234375
42,1867.216796875,76.16064453125
43,1910.26416015625,75.44189453125
44,1942.98828125,76.75537109375
45,1983.9501953125,76.65185546875
46,2029.79443359375,77.03076171875
47,2066.94189453125,77.82958984375
48,2126.99169921875,78.8125
49,2162.2958984375,79.69091796875
50,2197.83984375,79.419921875
51,2234.5146484375,80.888671875
52,2284.35400390625,81.2568359375
53,2354.50341796875,81.1845703125
54,2383.70703125,82.80517578125
55,2424.21435546875,83.22998046875
56,2446.2353515625,83.13427734375
57,2499.275390625,83.61474609375
58,2532.73486328125,84.833984375
59,2595.8251953125,85.56591796875
60,2635.45458984375,85.142578125
61,2675.67578125,86.71533203125
62,2718.662109375,87.0224609375
63,2758.52001953125,87.02685546875
64,2806.466796875,88.27978515625
65,2849.05029296875,88.74169921875
66,2881.1572265625,88.74609375
67,2919.38916015625,89.4111328125
68,2967.34228515625,90.720703125
69,3011.330078125,91.494140625
70,3075.90380859375,91.20703125
71,3116.8154296875,91.5712890625
72,3149.068359375,93.02978515625
73,3180.46923828125,93.099609375
74,3222.90087890625,93.3798828125
75,3260.2451171875,94.93408203125
76,3322.59326171875,94.81640625
77,3355.12109375,94.98095703125
78,3400.4892578125,96.919921875
79,3442.76171875,96.966796875
80,3487.4814453125,97.23583984375
81,3548.51953125,97.34033203125
82,3577.5927734375,98.9404296875
83,3612.79150390625,98.87890625
84,3639.53515625,99.31005859375
85,3694.23291015625,99.681640625
86,3734.71142578125,101.572265625
87,3785.8671875,100.95947265625
88,3827.85009765625,101.4150390625
89,3872.17041015625,102.92919921875
90,3913.79638671875,103.2021484375
91,3954.95556640625,103.29736328125
92,4022.2353515625,104.71728515625
93,4040.388671875,105.00048828125
94,4076.359375,105.00927734375
95,4121.951171875,105.9150390625
96,4161.10498046875,106.87890625
97,4207.1044921875,106.98291015625
98,4273.2197265625,107.28515625
99,4311.22509765625,108.07568359375
100,4340.15966796875,109.2373046875
101,4370.80078125,108.98095703125
102,4414.6171875,110.31982421875
103,4452.25830078125,111.3603515625
104,4512.0595703125,111.50537109375
105,4551.03564453125,111.34521484375
106,4593.76513671875,111.98388671875
107,4643.53857421875,113.064453125
108,4694.94384765625,113.11328125
109,4744.05859375,113.59033203125
110,4774.85546875,114.888671875
111,4807.69482421875,114.9775390625
112,4839.814453125,115.33837890625
113,4892.927734375,115.82080078125
114,4931.9990234375,117.13623046875
115,4997.43408203125,117.015625
116,5019.283203125,117.60791015625
117,5064.0673828125,119.04443359375
118,5108.39013671875,119.04443359375
119,5146.28515625,119.376953125
120,5206.65966796875,119.984375
121,5234.80078125,121.22412109375
122,5283.8115234375,122.3623046875
123,5312.283203125,122.44189453125
124,5359.0712890625,123.78271484375
125,5397.56396484375,123.3076171875
126,5467.63916015625,124.22119140625
127,5503.6533203125,123.84326171875
128,5534.85205078125,125.4462890625
129,5583.9130859375,125.123046875
130,5610.66943359375,125.921875
131,5669.92822265625,127.2919921875
132,5706.8623046875,127.29443359375
133,5747.28466796875,127.40966796875
134,5782.3916015625,128.24560546875
135,5831.26123046875,129.1044921875
136,5885.74658203125,129.5712890625
137,5934.44287109375,130.10595703125
138,5968.96533203125,132.0615234375
139,5996.85498046875,131.28564453125
140,6034.1953125,131.40673828125
141,6081.953125,132.40087890625
142,6123.57373046875,133.48046875
143,6193.79345703125,134.18994140625
144,6232.84326171875,134.19921875
145,6265.82861328125,136.216796875
146,6302.99658203125,135.4814453125
147,6349.30126953125,136.20751953125
148,6402.15185546875,136.580078125
149,6426.68310546875,137.52685546875
150,6472.09423828125,137.61865234375
151,6510.7421875,138.455078125
152,6553.5537109375,140.00537109375
153,6590.8955078125,140.79638671875
154,6660.90185546875,139.63916015625
155,6706.82177734375,142.17138671875
156,6731.81494140625,141.9423828125
157,6776.84765625,141.42822265625
158,6809.46044921875,143.37109375
159,6874.7529296875,143.39306640625
160,6908.162109375,144.09228515625
161,6944.25537109375,144.47802734375
162,6985.01806640625,145.966796875
163,7032.73193359375,145.18212890625
164,7089.150390625,146.38037109375
165,7133.78857421875,146.8857421875
166,7163.89453125,147.71923828125
167,7188.1337890625,148.43701171875
168,7225.56005859375,147.771484375
169,7275.1845703125,149.67919921875
170,7334.13330078125,150.1025390625
171,7377.6044921875,149.86767578125
172,7425.943359375,150.15576171875
173,7467.712890625,151.744140625
174,7494.54638671875,151.34765625
175,7533.32373046875,151.7236328125
176,7598.90673828125,153.2509765625
177,7629.8291015625,154.5126953125
178,7671.0966796875,153.7529296875
179,7709.185546875,154.19921875
180,7760.47705078125,156.376953125
181,7786.880859375,156.162109375
182,7856.009765625,156.22802734375
183,7891.97265625,157.50439453125
184,7925.689453125,157.47509765625
185,7974.43994140625,158.0400390625
186,8004.85791015625,158.54248046875
187,8073.9365234375,159.48583984375
188,8096.01806640625,159.3232421875
189,8135.7578125,159.87353515625
190,8175.91357421875,161.33642578125
191,8227.50537109375,161.634765625
192,8277.4091796875,162.51123046875
193,8331.0078125,162.4111328125
194,8369.6806640625,163.7734375
195,8381.90673828125,163.6953125
196,8426.19384765625,164.44140625
197,8478.0703125,165.7216796875
198,8537.62353515625,165.59228515625
199,8576.56494140625,166.15966796875
200,8617.3193359375,166.90771484375
201,8657.6318359375,167.73486328125
202,8685.0205078125,168.62744140625
203,8727.10400390625,168.94677734375
204,8782.13427734375,169.666015625
205,8817.99755859375,169.33154296875
206,8860.0634765625,169.681640625
207,8900.29638671875,170.30810546875
208,8947.751953125,171.37353515625
209,9023.189453125,172.29833984375
210,9054.51025390625,172.10888671875
211,9092.40185546875,174.3427734375
212,9118.7001953125,173.62255859375
213,9167.53466796875,174.04248046875
214,9201.353515625,174.4892578125
215,9268.02001953125,175.62548828125
216,9295.89599609375,176.08203125
217,9324.37109375,176.314453125
218,9371.7421875,177.69287109375
219,9427.541015625,178.06787109375
220,9469.7802734375,178.00341796875
221,9520.08837890625,178.75439453125
222,9559.7880859375,179.38623046875
223,9578.47265625,181.09228515625
224,9620.03173828125,180.1337890625
225,9663.98291015625,182.4755859375
226,9732.640625,182.11376953125
227,9769.43359375,182.17529296875
228,9814.11767578125,182.6337890625
229,9854.32080078125,184.2861328125
230,9894.4111328125,184.0146484375
