batch_size,peak,persistent
1.0,1983.104026580825,1525.243880990506
2.0,2048.1030140597277,1525.834128346162
3.0,2113.1020056845755,1526.4242925692
4.0,2178.1010014553694,1527.0143736596197
5.0,2243.100001372108,1527.6043716174208
6.0,2308.0990054347926,1528.194286442604
7.0,2373.0980136434227,1528.7841181351687
8.0,2438.097025997998,1529.373866695115
9.0,2503.096042498519,1529.9635321224432
10.0,2568.0950631449855,1530.553114417153
11.0,2633.0940879373975,1531.1426135792447
12.0,2698.093116875755,1531.732029608718
13.0,2763.092149960058,1532.321362505573
14.0,2828.0911871903063,1532.9106122698097
15.0,2893.0902285665,1533.4997789014283
16.0,2958.4423828125,1533.80126953125
17.0,3023.088323756724,1534.6778627668102
18.0,3088.0873775707546,1535.2667800005738
19.0,3153.0864355307303,1535.8556141017193
20.0,3218.085497636652,1536.4443650702462
21.0,3283.0845638885185,1537.033032906155
22.0,3348.0836342863304,1537.6216176094456
23.0,3413.0827088300884,1538.2101191801178
24.0,3478.0817875197913,1538.7985376181718
25.0,3543.0808703554403,1539.3868729236074
26.0,3608.079957337034,1539.9751250964248
27.0,3673.079048464574,1540.5632941366239
28.0,3738.078143738059,1541.1513800442046
29.0,3803.0772431574896,1541.739382819167
30.0,3868.0763467228653,1542.3273024615114
31.0,3933.075454434187,1542.9151389712374
32.0,3997.69091796875,1543.6748046875
33.0,4063.0736822946665,1544.0905625928344
34.0,4128.072802443825,1544.6781497047057
35.0,4193.071926738929,1545.2656536839584
36.0,4258.071055179977,1545.853074530593
37.0,4323.070187766972,1546.4404122446092
38.0,4388.069324499911,1547.0276668260071
39.0,4453.068465378797,1547.614838274787
40.0,4518.067610403627,1548.2019265909485
41.0,4583.0667595744035,1548.7889317744914
42.0,4648.065912891126,1549.3758538254165
43.0,4713.065070353792,1549.962692743723
44.0,4778.064231962406,1550.5494485294112
45.0,4843.063397716964,1551.1361211824812
46.0,4908.062567617468,1551.722710702933
47.0,4973.061741663917,1552.3092170907664
48.0,5037.376953125,1553.01708984375
49.0,5103.060102194651,1553.4819804685785
50.0,5168.059288678938,1554.0682374585572
51.0,5233.058479309168,1554.6544113159175
52.0,5298.057674085345,1555.2405020406595
53.0,5363.056873007467,1555.8265096327832
54.0,5428.056076075534,1556.4124340922888
55.0,5493.055283289548,1556.998275419176
56.0,5558.0544946495065,1557.584033613445
57.0,5623.053710155411,1558.1697086750955
58.0,5688.05292980726,1558.7553006041278
59.0,5753.052153605055,1559.340809400542
60.0,5818.051381548796,1559.9262350643378
61.0,5883.050613638481,1560.5115775955153
62.0,5948.049849874113,1561.0968369940745
63.0,6013.04909025569,1561.6820132600155
64.0,6078.12548828125,1562.234375
65.0,6143.04758345668,1562.8521163940425
66.0,6208.046836276093,1563.4370432621286
67.0,6273.046093241452,1564.0218869975963
68.0,6338.0453543527565,1564.606647600446
69.0,6403.0446196100065,1565.1913250706773
70.0,6468.043889013201,1565.7759194082903
71.0,6533.043162562342,1566.360430613285
72.0,6598.042440257428,1566.9448586856613
73.0,6663.041722098459,1567.5292036254195
74.0,6728.041008085437,1568.1134654325592
75.0,6793.04029821836,1568.6976441070808
76.0,6858.039592497228,1569.281739648984
77.0,6923.038890922041,1569.8657520582692
78.0,6988.0381934928,1570.4496813349358
79.0,7053.037500209505,1571.0335274789843
80.0,7118.28076171875,1571.2646484375
81.0,7183.036126080751,1572.2009703692263
82.0,7248.035445235292,1572.78456711542
83.0,7313.034768535778,1573.3680807289952
84.0,7378.03409598221,1573.9515112099523
85.0,7443.033427574587,1574.534858558291
86.0,7508.03276331291,1575.1181227740115
87.0,7573.032103197179,1575.7013038571138
88.0,7638.031447227393,1576.2844018075975
89.0,7703.0307954035525,1576.8674166254632
90.0,7768.030147725657,1577.4503483107105
91.0,7833.029504193707,1578.0331968633398
92.0,7898.028864807703,1578.6159622833504
93.0,7963.028229567645,1579.198644570743
94.0,8028.027598473532,1579.7812437255172
95.0,8093.0269715253635,1580.3637597476732
96.0,8158.748046875,1581.29443359375
97.0,8223.025730066864,1581.52854239413
98.0,8288.025115556533,1582.1108090184312
99.0,8353.024505192147,1582.692992510114
100.0,8418.023898973708,1583.2750928691785
101.0,8483.023296901212,1583.8571100956249
102.0,8548.022698974662,1584.4390441894527
103.0,8613.022105194059,1585.0208951506625
104.0,8678.021515559401,1585.6026629792539
105.0,8743.020930070688,1586.184347675227
106.0,8808.020348727921,1586.7659492385817
107.0,8873.019771531099,1587.3474676693183
108.0,8938.019198480222,1587.9289029674367
109.0,9003.01862957529,1588.5102551329367
110.0,9068.018064816304,1589.0915241658183
111.0,9133.017504203264,1589.6727100660817
112.0,9197.52783203125,1590.04296875
113.0,9263.016395415021,1590.8348324687538
114.0,9328.015847239818,1591.4157689711624
115.0,9393.015303210559,1591.9966223409526
116.0,9458.014763327246,1592.5773925781248
117.0,9523.01422758988,1593.1580796826784
118.0,9588.013695998457,1593.7386836546139
119.0,9653.013168552981,1594.319204493931
120.0,9718.012645253451,1594.8996422006298
121.0,9783.012126099866,1595.4799967747106
122.0,9848.011611092226,1596.060268216173
123.0,9913.011100230531,1596.640456525017
124.0,9978.010593514782,1597.2205617012428
125.0,10043.01009094498,1597.8005837448502
126.0,10108.00959252112,1598.3805226558393
127.0,10173.009098243208,1598.9603784342103
128.0,10239.2451171875,1600.72900390625
129.0,10303.008122125222,1600.1198405930973
130.0,10368.007640285145,1600.6994469736135
131.0,10433.007162591015,1601.2789702215111
132.0,10498.00668904283,1601.8584103367907
133.0,10563.00621964059,1602.437767319452
134.0,10628.005754384296,1603.0170411694949
135.0,10693.005293273947,1603.5962318869197
136.0,10758.004836309545,1604.175339471726
137.0,10823.004383491087,1604.754363923914
138.0,10888.003934818575,1605.333305243484
139.0,10953.003490292007,1605.9121634304354
140.0,11018.003049911387,1606.4909384847688
141.0,11083.002613676712,1607.0696304064836
142.0,11148.00218158798,1607.6482391955803
143.0,11213.001753645198,1608.2267648520587
144.0,11277.494140625,1608.44677734375
145.0,11343.000910197463,1609.3835667671608
146.0,11408.000494692515,1609.9618430257844
147.0,11473.000083333513,1610.5400361517895
148.0,11537.999676120457,1611.1181461451768
149.0,11602.999273053343,1611.6961730059454
150.0,11667.998874132178,1612.2741167340957
151.0,11732.998479356955,1612.851977329628
152.0,11797.998088727682,1613.4297547925419
153.0,11862.997702244349,1614.0074491228374
154.0,11927.997319906966,1614.585060320515
155.0,11992.996941715528,1615.1625883855738
156.0,12057.996567670034,1615.7400333180146
157.0,12122.996197770486,1616.3173951178371
158.0,12187.995832016883,1616.8946737850413
159.0,12252.995470409227,1617.471869319627
160.0,12317.30517578125,1617.1640625
161.0,12382.994759631749,1618.6260109909442
162.0,12447.994410461928,1619.2029571276753
163.0,12512.994065438053,1619.779820131788
164.0,12577.993724560123,1620.3566000032824
165.0,12642.993387828139,1620.9332967421587
166.0,12707.993055242101,1621.5099103484167
167.0,12772.99272680201,1622.0864408220564
168.0,12837.99240250786,1622.6628881630777
169.0,12902.992082359659,1623.2392523714807
170.0,12967.9917663574,1623.8155334472656
171.0,13032.99145450109,1624.3917313904321
172.0,13097.991146790722,1624.9678462009804
173.0,13162.990843226304,1625.5438778789103
174.0,13227.99054380783,1626.119826424222
175.0,13292.9902485353,1626.6956918369153
176.0,13358.5224609375,1627.91259765625
177.0,13422.989670428076,1627.8471732644473
178.0,13487.989387593385,1628.422789279286
179.0,13552.989108904636,1628.9983221615062
180.0,13617.988834361835,1629.5737719111082
181.0,13682.988563964978,1630.149138528092
182.0,13747.988297714068,1630.7244220124574
183.0,13812.988035609102,1631.2996223642044
184.0,13877.987777650082,1631.8747395833334
185.0,13942.987523837008,1632.449773669844
186.0,14007.987274169878,1633.0247246237363
187.0,14072.987028648695,1633.5995924450103
188.0,14137.986787273458,1634.174377133666
189.0,14202.986550044163,1634.7490786897035
190.0,14267.986316960818,1635.3236971131228
191.0,14332.986088023414,1635.8982324039237
192.0,14398.11474609375,1636.7236328125
193.0,14462.98564258645,1637.0470535876705
194.0,14527.985426086883,1637.6213394806166
195.0,14592.985213733264,1638.1955422409444
196.0,14657.985005525588,1638.7696618686539
197.0,14722.984801463861,1639.343698363745
198.0,14787.984601548076,1639.917651726218
199.0,14852.98440577824,1640.4915219560726
200.0,14917.984214154347,1641.065309053309
201.0,14982.9840266764,1641.639013017927
202.0,15047.983843344398,1642.212633849927
203.0,15112.983664158342,1642.7861715493084
204.0,15177.983489118233,1643.3596261160717
205.0,15242.983318224069,1643.9329975502167
206.0,15307.983151475848,1644.5062858517433
207.0,15372.982988873575,1645.0794910206516
208.0,15437.61376953125,1645.44140625
209.0,15502.982676106863,1646.2256519606135
210.0,15567.982525942423,1646.798607731667
211.0,15632.982379923933,1647.3714803701023
212.0,15697.982238051387,1647.9442698759194
213.0,15762.982100324785,1648.516976249118
214.0,15827.98196674413,1649.0895994896985
215.0,15892.981837309419,1649.6621395976606
216.0,15957.981712020655,1650.2345965730044
217.0,16022.981590877835,1650.8069704157301
218.0,16087.981473880962,1651.3792611258373
219.0,16152.981361030033,1651.9514687033263
220.0,16217.981252325051,1652.523593148197
221.0,16282.981147766013,1653.0956344604497
222.0,16347.981047352921,1653.6675926400837
223.0,16412.980951085774,1654.2394676870997
224.0,16477.1748046875,1653.59619140625
225.0,16542.98077098932,1655.3829683832764
226.0,16607.98068716001,1655.9545940324376
227.0,16672.980607476646,1656.5261365489803
228.0,16737.980531939225,1657.0975959329048
229.0,16802.980460547755,1657.668972184211
230.0,16867.980393302227,1658.240265302899
231.0,16932.98033020264,1658.8114752889685
232.0,16997.980271249005,1659.38260214242
233.0,17062.980216441312,1659.9536458632529
234.0,17127.98016577957,1660.5246064514677
235.0,17192.980119263768,1661.0954839070641
236.0,17257.98007689391,1661.6662782300425
237.0,17322.98003867,1662.2369894204026
