batch_size,peak,persistent
1.0,2030.8256596796332,1525.3846070318991
2.0,2142.521762623374,1525.974095602596
3.0,2254.217877748501,1526.5635061696794
4.0,2365.9140050550145,1527.152838733149
5.0,2477.610144542914,1527.7420932930052
6.0,2589.3062962122,1528.3312698492477
7.0,2701.002460062872,1528.9203684018769
8.0,2812.6986360949304,1529.5093889508923
9.0,2924.394824308375,1530.0983314962943
10.0,3036.0910247032057,1530.6871960380827
11.0,3147.7872372794227,1531.2759825762575
12.0,3259.483462037026,1531.8646911108187
13.0,3371.1796989760155,1532.4533216417665
14.0,3482.8759480963913,1533.0418741691008
15.0,3594.572209398153,1533.6303486928214
16.0,3706.564453125,1533.89990234375
17.0,3817.964768545836,1534.807063729422
18.0,3929.661066391757,1535.395304242302
19.0,4041.3573764190637,1535.9834667515684
20.0,4153.053698627757,1536.5715512572212
21.0,4264.750033017836,1537.1595577592605
22.0,4376.4463795893025,1537.7474862576862
23.0,4488.142738342154,1538.3353367524983
24.0,4599.839109276392,1538.923109243697
25.0,4711.535492392017,1539.510803731282
26.0,4823.231887689028,1540.0984202152536
27.0,4934.928295167424,1540.6859586956116
28.0,5046.624714827207,1541.273419172356
29.0,5158.321146668377,1541.8608016454868
30.0,5270.017590690932,1542.448106115004
31.0,5381.714046894874,1543.0353325809078
32.0,5493.43798828125,1543.7734375
33.0,5605.106995846916,1544.2095515018748
34.0,5716.8034885950165,1544.7965439569377
35.0,5828.499993524503,1545.3834584083872
36.0,5940.196510635376,1545.9702948562233
37.0,6051.893039927635,1546.5570533004457
38.0,6163.589581401281,1547.1437337410546
39.0,6275.2861350563135,1547.7303361780498
40.0,6386.9827008927305,1548.3168606114316
41.0,6498.679278910535,1548.9033070411997
42.0,6610.3758691097255,1549.4896754673543
43.0,6722.072471490303,1550.0759658898955
44.0,6833.769086052265,1550.662178308823
45.0,6945.465712795613,1551.2483127241371
46.0,7057.16235172035,1551.8343691358375
47.0,7168.859002826472,1552.4203475439244
48.0,7279.6240234375,1553.49072265625
49.0,7392.252341582873,1553.5920703492575
50.0,7503.949029233153,1554.1778147465036
51.0,7615.64572906482,1554.7634811401363
52.0,7727.3424410778725,1555.3490695301555
